11'多特蒙德球员罗伊斯球门线跟前尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是奥巴梅扬.                   11'开场11分钟，奥巴梅扬禁区右侧勾传，罗伊斯凌空打高
11'海勒为达姆施塔特在右路,赢得一个任意球.                   11'开场11分钟，奥巴梅扬禁区右侧勾传，罗伊斯凌空打高
11'多特蒙德球员施梅尔策拼抢犯规,对手获得控球权.                   11'开场11分钟，奥巴梅扬禁区右侧勾传，罗伊斯凌空打高
12'达姆施塔特球员卡尔迪罗拉大禁区左侧尝试右脚射门,可惜皮球高出球门.                   11'开场11分钟，奥巴梅扬禁区右侧勾传，罗伊斯凌空打高
60'射门!!!多特蒙德球员姆希塔良大禁区左侧左脚射门,被对方守门员横身扑出.                   60'多特第60分钟扳平比分，香川真司斜长传转移，金特尔禁区右侧直接垫向中路，奥巴梅扬前点凌空勾射入网，1比1
60'Aytac Sulu为达姆施塔特赢得一个任意球.                   60'多特第60分钟扳平比分，香川真司斜长传转移，金特尔禁区右侧直接垫向中路，奥巴梅扬前点凌空勾射入网，1比1
60'多特蒙德球员香川真司拼抢犯规,对手获得控球权.                   60'多特第60分钟扳平比分，香川真司斜长传转移，金特尔禁区右侧直接垫向中路，奥巴梅扬前点凌空勾射入网，1比1
61'达姆施塔特Florian Jungwirth受伤倒地,比赛暂停                   60'多特第60分钟扳平比分，香川真司斜长传转移，金特尔禁区右侧直接垫向中路，奥巴梅扬前点凌空勾射入网，1比1
62'暂停结束,球员们重新开始比赛.                   60'多特第60分钟扳平比分，香川真司斜长传转移，金特尔禁区右侧直接垫向中路，奥巴梅扬前点凌空勾射入网，1比1
63'进球啦！！！多特蒙德球员奥巴梅扬大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是金特尔. 多特蒙德 1-1 达姆施塔特.                   60'多特第60分钟扳平比分，香川真司斜长传转移，金特尔禁区右侧直接垫向中路，奥巴梅扬前点凌空勾射入网，1比1
90'进球啦！！！达姆施塔特球员Aytac Sulu大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是Florian Jungwirth. 多特蒙德 2-2 达姆施塔特.                   90'第90分钟，贾努扎伊中圈犯规，达姆施塔特任意球长传禁区制造混乱，容维尔特抽射钻进左下角，大黄蜂憾失胜局，2比2
90'+1'多特蒙德换人,阿德里安-拉莫斯换下香川真司                   90'第90分钟，贾努扎伊中圈犯规，达姆施塔特任意球长传禁区制造混乱，容维尔特抽射钻进左下角，大黄蜂憾失胜局，2比2
90'+1'卡尔迪罗拉为达姆施塔特赢得一个任意球.                   90'第90分钟，贾努扎伊中圈犯规，达姆施塔特任意球长传禁区制造混乱，容维尔特抽射钻进左下角，大黄蜂憾失胜局，2比2
90'+1'多特蒙德球员阿德里安-拉莫斯拼抢犯规,对手获得控球权.                   90'第90分钟，贾努扎伊中圈犯规，达姆施塔特任意球长传禁区制造混乱，容维尔特抽射钻进左下角，大黄蜂憾失胜局，2比2
90'+2'Tobias Kempe为达姆施塔特在左路,赢得一个任意球.                   90'第90分钟，贾努扎伊中圈犯规，达姆施塔特任意球长传禁区制造混乱，容维尔特抽射钻进左下角，大黄蜂憾失胜局，2比2
90'+2'多特蒙德球员魏格尔拼抢犯规,对手获得控球权.                   90'第90分钟，贾努扎伊中圈犯规，达姆施塔特任意球长传禁区制造混乱，容维尔特抽射钻进左下角，大黄蜂憾失胜局，2比2
90'+3'射门!!!达姆施塔特球员瓦格纳左侧远离球门处小角度左脚射门,被对方守门员横身扑出.给他传球的是Tobias Kempe.                   90'第90分钟，贾努扎伊中圈犯规，达姆施塔特任意球长传禁区制造混乱，容维尔特抽射钻进左下角，大黄蜂憾失胜局，2比2
90'+4'下半场结束,多特蒙德 2-2 达姆施塔特                   90'第90分钟，贾努扎伊中圈犯规，达姆施塔特任意球长传禁区制造混乱，容维尔特抽射钻进左下角，大黄蜂憾失胜局，2比2
