1'主裁判一声哨响，上半场开始                   1'双方第1分钟均显得小心谨慎
1'曼城开球，，回敲给到后场                   1'双方第1分钟均显得小心谨慎
1'拉波尔特，斜长传                   1'双方第1分钟均显得小心谨慎
1'送到前场右侧斯特林脚下                   1'双方第1分钟均显得小心谨慎
1'回敲，给马赫雷斯                   1'双方第1分钟均显得小心谨慎
1'右路拿球，被威廉逼抢                   1'双方第1分钟均显得小心谨慎
1'球出界了，曼城前场界外球                   1'双方第1分钟均显得小心谨慎
1'沃克给出来，斯通斯拿球                   1'双方第1分钟均显得小心谨慎
2'横传，给到拉波尔特，起高球长传                   1'双方第1分钟均显得小心谨慎
2'前场左侧找到了萨内                   1'双方第1分钟均显得小心谨慎
2'趟一下，到门前，科帕出击，大脚踢出                   1'双方第1分钟均显得小心谨慎
3'双方边路争夺，球到了阿兹皮利奎塔脚下                   1'双方第1分钟均显得小心谨慎
3'挑传向前，，阿扎尔脚后跟一磕                   1'双方第1分钟均显得小心谨慎
3'后场右侧吕迪格拿球，回给禁区内科帕                   1'双方第1分钟均显得小心谨慎
3'短传给若日尼奥，右侧接应                   1'双方第1分钟均显得小心谨慎
3'再分吕迪格，大范围的转移                   1'双方第1分钟均显得小心谨慎
4'中圈附近，马赫雷斯断下来                   1'双方第1分钟均显得小心谨慎
4'回敲给后场，，艾德森分出来                   1'双方第1分钟均显得小心谨慎
4'斯通斯，，横传拉波尔特                   1'双方第1分钟均显得小心谨慎
4'左侧接球，带了几下，倒给斯通斯                   1'双方第1分钟均显得小心谨慎
4'往前送一记直传                   1'双方第1分钟均显得小心谨慎
4'前场右路给马赫雷斯                   1'双方第1分钟均显得小心谨慎
4'阿隆索破坏出了边线                   1'双方第1分钟均显得小心谨慎
4'沃克发球，给后场斯通斯                   1'双方第1分钟均显得小心谨慎
32'阿隆索给到路易斯                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
32'挑传到禁区前沿                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
32'阿隆索争顶，，摆渡                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
32'费尔南迪尼奥顶出了边线                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
32'阿隆索发球，给左路路易斯                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
32'左路尝试突破                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
32'到了底线区域，沃克卡在对手身前，护出底线                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
32'艾德森后场给到沃克                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
32'分前场右路                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
33'找到斯特林，，强突                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
33'被阿隆索拦截，给身边佩刀                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
33'回撤，再给门将科帕                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
33'大脚开出                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
33'中圈附近，德尔夫得球                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
33'分左路席尔瓦，，吕迪格上抢得球                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
33'萨内紧跟，抢了回去                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
33'左路下底传中                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
33'到禁区内，路易斯破坏出来                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'费尔南迪尼奥中圈拿球，分左侧德尔夫                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'回敲给拉波尔特，横敲沃克                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'再分斯通斯，，给拉波尔特，转移                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'斯特林右侧头球摆渡                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'马赫雷斯得球                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'斜传左路萨内                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'调整一下，送到禁区                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'阿紫，把球碰出底线                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'左侧曼城角球                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'萨内开出                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'前点，，吕迪格头球解围                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
34'中圈附近，还是沃克拿球                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
35'带球回撤，，分左路给德尔夫                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
35'横传过来，给中路斯通斯                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
35'给禁区内的艾德森                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
35'分左侧拉波尔特，，横敲中路                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
35'斯通斯，，右侧给沃克                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
35'倒两脚，，，沃克给回去                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
35'分拉波尔特，，往前送一记直传                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
35'前场左侧给B席                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
35'分左路萨内                   32'第32分钟，马赫雷斯直传，萨内禁区左侧小角度射门被凯帕救出，席尔瓦禁区左侧斜射偏出
45'斜传，，前场右路给斯特林                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
45'回做过来，给中线沃克                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
45'大范围的转移                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
45'前场左侧拿球，坎特碰出边线                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
45'曼城前场左侧发球                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
45'德尔夫给出来                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
45'拉波尔特接应，横传                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
45'中圈内沃克拿球                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
45'分右路斯特林，，挑传                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
45'路易斯把球破坏                   45'切尔西第45分钟凭借全场首次射门打破僵局，威廉禁区左侧传中被顶出，阿隆索传球，阿扎尔禁区左侧传中，坎特14码处抢在萨内之前第一时间推射上角入网
