1'苏亚雷斯被授予10月西甲最佳球员                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
1'上半场比赛开始                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
1'上半场由巴塞罗那中场开球                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
1'阿尔巴的真专，阿图尔前插下底传中                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
1'梅西抢前点打门没有打上力量                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
1'继续是巴塞罗那中场控球                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
1'拉基蒂奇回传给皮克                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
2'布斯克茨接应回传给皮克，横传，朗格莱直传，球被断了                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
2'曼迪控球交给卡瓦略                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
2'交给曼迪                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
2'洛塞尔索接应咽传给西德内                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
2'回传给门将洛佩斯                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
2'传右侧                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
2'阿尔巴断球倒三角传中                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
2'苏亚雷斯打飞了                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
3'苏亚雷斯禁区内侧身打门，没有打上力量                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
3'拉基蒂奇右侧的横传                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
3'巴尔特拉已经卡住身位                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
3'被马尔科姆铲倒                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
3'裁判吹的是马尔科姆犯规                   1'开场不到1分钟，马尔科姆左路下底传中，梅西小禁区前推射偏出
