8'科拉斯纳克将球处理出底线,拜仁慕尼黑获得角球.                   8'开场8分钟，罗本传中，戈麦斯力压梅策尔德头球攻门被希尔德布兰得到
8'射门!!!拜仁慕尼黑球员戈麦斯大禁区中央头球,被对方守门员横身扑出.给他传球的是罗本.                   8'开场8分钟，罗本传中，戈麦斯力压梅策尔德头球攻门被希尔德布兰得到
10'沙尔克04球员米歇尔-巴斯托斯左侧远离球门处小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是巴内塔.                   8'开场8分钟，罗本传中，戈麦斯力压梅策尔德头球攻门被希尔德布兰得到
12'米歇尔-巴斯托斯将球处理出底线,拜仁慕尼黑获得角球.                   12'第12分钟，里贝里禁区左侧突破琼斯，接近底线抽射，希尔德布兰脱手漏出底线，但拜仁未获角球
12'拜仁慕尼黑球员里贝里大禁区左侧右脚射门,被防守球员封堵.                   12'第12分钟，里贝里禁区左侧突破琼斯，接近底线抽射，希尔德布兰脱手漏出底线，但拜仁未获角球
19'进球啦！！！拜仁慕尼黑球员阿拉巴左脚射门,球从左下角飞进球门,球进了! 拜仁慕尼黑 1-0 沙尔克04.                   19'拜仁第19分钟赢得点球，里贝里突入禁区左侧被身后赫格尔推倒，阿拉巴操刀左脚推进左下角，1比0
21'梅策尔德为沙尔克04赢得一个任意球.                   19'拜仁第19分钟赢得点球，里贝里突入禁区左侧被身后赫格尔推倒，阿拉巴操刀左脚推进左下角，1比0
21'拜仁慕尼黑球员里贝里拼抢犯规,对手获得控球权.                   19'拜仁第19分钟赢得点球，里贝里突入禁区左侧被身后赫格尔推倒，阿拉巴操刀左脚推进左下角，1比0
22'丹特将球处理出底线,沙尔克04获得角球.                   19'拜仁第19分钟赢得点球，里贝里突入禁区左侧被身后赫格尔推倒，阿拉巴操刀左脚推进左下角，1比0
37'沙尔克04球员米歇尔-巴斯托斯大禁区外尝试左脚射门,可惜皮球偏出球门.                   37'第37分钟，巴斯托斯左脚任意球飞向看台
38'丹特将球处理出底线,沙尔克04获得角球.                   37'第37分钟，巴斯托斯左脚任意球飞向看台
39'沙尔克04球员霍格尔大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是杰梅因-琼斯.                   37'第37分钟，巴斯托斯左脚任意球飞向看台
40'拜仁慕尼黑球员罗本大禁区中央左脚射门,被防守球员封堵.给他传球的是克罗斯.                   37'第37分钟，巴斯托斯左脚任意球飞向看台
40'马蒂普将球处理出底线,拜仁慕尼黑获得角球.                   37'第37分钟，巴斯托斯左脚任意球飞向看台
42'米歇尔-巴斯托斯将球处理出底线,拜仁慕尼黑获得角球.                   42'第42分钟，克罗斯禁区边缘打门偏出左门柱
42'拜仁慕尼黑球员克罗斯大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.                   42'第42分钟，克罗斯禁区边缘打门偏出左门柱
43'马蒂普将球处理出底线,拜仁慕尼黑获得角球.                   42'第42分钟，克罗斯禁区边缘打门偏出左门柱
44'拜仁慕尼黑球员戈麦斯大禁区中央尝试头球,可惜皮球高出球门.给他传球的是克罗斯.                   42'第42分钟，克罗斯禁区边缘打门偏出左门柱
45'+1'上半场结束,拜仁慕尼黑 2-0 沙尔克04,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，克罗斯禁区边缘打门偏出左门柱
51'进球啦！！！拜仁慕尼黑球员阿拉巴大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是戈麦斯. 拜仁慕尼黑 3-0 沙尔克04.                   51'下半时开始6分钟，罗本突入禁区左侧横传，后卫解围不远，先前有越位嫌疑的戈麦斯再回做，阿拉巴在门前8米处左脚推射入右下角，3比0
54'丹特将球处理出底线,沙尔克04获得角球.                   51'下半时开始6分钟，罗本突入禁区左侧横传，后卫解围不远，先前有越位嫌疑的戈麦斯再回做，阿拉巴在门前8米处左脚推射入右下角，3比0
60'拜仁慕尼黑球员戈麦斯大禁区中央头球,被防守球员封堵.给他传球的是阿拉巴.                   60'第60分钟，阿拉巴传中，戈麦斯头球被封堵
60'梅策尔德将球处理出底线,拜仁慕尼黑获得角球.                   60'第60分钟，阿拉巴传中，戈麦斯头球被封堵
61'沙尔克04球员科拉斯纳克拼抢犯规,对手获得控球权.                   60'第60分钟，阿拉巴传中，戈麦斯头球被封堵
61'罗本为拜仁慕尼黑赢得一个任意球.                   60'第60分钟，阿拉巴传中，戈麦斯头球被封堵
63'进球啦！！！拜仁慕尼黑球员戈麦斯大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是罗本. 拜仁慕尼黑 4-0 沙尔克04.                   60'第60分钟，阿拉巴传中，戈麦斯头球被封堵
79'射门!!!拜仁慕尼黑球员罗本大禁区外左脚射门,被对方守门员横身扑出.                   79'第79分钟，罗本左脚远射被希尔德布兰得到
79'拜仁慕尼黑球员罗本一脚直塞球给戈麦斯,但是边裁举旗显示后者已经越位.                   79'第79分钟，罗本左脚远射被希尔德布兰得到
81'沙尔克04球员杰梅因-琼斯拼抢犯规,对手获得控球权.                   79'第79分钟，罗本左脚远射被希尔德布兰得到
81'戈麦斯为拜仁慕尼黑在右路,赢得一个任意球.                   79'第79分钟，罗本左脚远射被希尔德布兰得到
82'法尔范为沙尔克04赢得一个任意球.                   79'第79分钟，罗本左脚远射被希尔德布兰得到
82'拜仁慕尼黑球员古斯塔沃拼抢犯规,对手获得控球权.                   79'第79分钟，罗本左脚远射被希尔德布兰得到
