1'裁判哨响，上半场走你                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
1'曼联先开球，回敲给马蒂奇                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
1'斜长传，前场右侧。范迪克把球踢回                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
1'双方拼抢激烈，，瓦伦西亚得球                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
1'长传到中圈，，连续争顶，，，红军后场阿诺德得球                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
1'回敲给到卡里乌斯，，停球，，在给洛夫伦                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
2'右路给阿诺德，回敲洛夫伦                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
2'在给卡里乌斯，，身前给范迪克                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
2'横敲洛夫伦，挑传，，前场右侧马塔挡出边线                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
2'阿诺德发球，给到后场范迪克                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
2'控一下，分阿诺德，在给接应的詹                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
3'转移左侧给罗伯逊，回敲詹                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
3'左脚回敲范迪克，，在给卡里乌斯                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
3'再找詹，加速推进，，横敲右侧给洛夫伦                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
3'直传给到渗透前场的菲尔米诺                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
3'右侧突破，趟出了底线                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
3'曼联后场德赫亚大脚开出门球                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
4'前场左侧卢卡库争顶                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
4'摆渡，，被阿诺德拿到，分球向前，找到马内                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
4'中路拿球，一顺，，给到身边萨拉赫                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
4'萨拉赫分给右侧下底的阿诺德                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
4'阿诺德推给身前米尔纳，右侧下底传中                   1'双方第1分钟均显得小心谨慎，利物浦前10分钟控球率接近八成
24'罗伯逊把球拿下来，分中路张伯伦                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
24'一记直塞，到禁区内，找到菲尔米诺                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
24'瓦伦西亚迅速回防，，把球扫出底线                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
24'左侧角球，米尔纳主罚                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
24'左侧角球开出，禁区内前点                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
24'范迪克头球，，，偏出底线                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
24'德赫亚大脚把球开起来                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
24'前场中路，范迪克顶到                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
24'马塔第二点拿下                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
25'马塔再把球拿回来                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
26'中路给到卢卡库                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
26'分到禁区马塔插上，在回敲                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
26'拉师傅，，，禁区左侧怒射，，，，有了                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
26'拉什福德，，，扩大比分                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
27'德赫亚后场开球！！直接找到前场中路卢卡库！！！卢卡库直塞到小禁区线上马塔的回敲，禁区内左侧拉什福德跟上右脚抽射得手                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
27'利物浦中圈开起                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
27'分右侧给到阿诺德，，回敲范迪克                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
27'斜长传，前场到了右侧                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
27'找到了萨拉赫，横敲张伯伦                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
27'分禁区内，，菲尔米诺冲起来，没拿到                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
27'德赫亚出来把球没收                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
27'后场在开，，，中圈到了左侧                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
27'詹把球拦下，，分身前的萨拉赫                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
27'没接住，，麦克托米奈把球反抢下来                   24'曼联第24分钟扩大比分，卢卡库传球马塔被范戴克铲截后偏转，拉什福德禁区左侧12码处射入远角，2-0
47'拿球，在传到门前，，阿什利扬清理出底线                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'左侧米尔纳开起来                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'禁区前点，，，洛夫伦头球，，偏出                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'德赫亚大脚开起来                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'中路卢卡库顶到                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'顺给身边的桑切斯，，接球被推倒了                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'上半场补时2分钟                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'米尔纳的犯规                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'马蒂奇定位球开起                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'后场给瓦伦西亚，横敲拜利                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'斜传，，左侧杨教授拿球，突破                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'萨拉赫回防，断下                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'马蒂奇拼抢撞倒对手犯规                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'阿诺德发球，转移给左侧罗伯逊                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'向前给到米尔纳，，横敲马内                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'再分右侧张伯伦                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'分到禁区前沿，，萨拉赫横拨                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'禁区弧顶被对手解围                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'中圈附近范迪克拿球，斜长传                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'直接飞出左侧边线                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'曼联后场界外球，瓦伦西亚大力给出                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'范迪克头球，，马内第二点拿到                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'左侧狂奔，，急停，，回敲                   47'2分钟后，菲尔米诺禁区前低射仍被没收
49'罗伯逊在给马内，，左侧起球                   47'2分钟后，菲尔米诺禁区前低射仍被没收
49'禁区后点，拉什福德头球解围                   47'2分钟后，菲尔米诺禁区前低射仍被没收
49'裁判哨响，上半场结束了                   47'2分钟后，菲尔米诺禁区前低射仍被没收
49'曼联抓机会的能力很强啊，凭借2次闪击，拉师傅梅开二度主场2-0领先                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'卡里乌斯得球，分禁区外给洛夫伦                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'横敲给到范迪克，短传给身前詹                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'分左侧罗伯逊，在给詹，，推进向前                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'中路分到弧顶附近，，被马蒂奇破坏                   47'2分钟后，菲尔米诺禁区前低射仍被没收
47'张伯伦禁区外中路得球，分右侧萨拉赫                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'背身停球，，转身，，转移                   47'2分钟后，菲尔米诺禁区前低射仍被没收
48'吊向左侧，罗伯逊没接到，出界                   47'2分钟后，菲尔米诺禁区前低射仍被没收
49'曼联界外球，瓦伦西亚大力给出                   47'2分钟后，菲尔米诺禁区前低射仍被没收
49'中圈右侧374跑过来，强势超车                   47'2分钟后，菲尔米诺禁区前低射仍被没收
49'张伯伦断回来，给到禁区内卡里乌斯，大脚                   47'2分钟后，菲尔米诺禁区前低射仍被没收
49'前场中路找到詹，斜传，分右侧阿诺德                   47'2分钟后，菲尔米诺禁区前低射仍被没收
49'晃开马蒂奇，右侧强突                   47'2分钟后，菲尔米诺禁区前低射仍被没收
50'准备起球传中，被杨教授踢出底线                   47'2分钟后，菲尔米诺禁区前低射仍被没收
50'利物浦右侧角球                   47'2分钟后，菲尔米诺禁区前低射仍被没收
50'萨拉赫开起来                   47'2分钟后，菲尔米诺禁区前低射仍被没收
50'禁区后点，，，，范迪克跃起，，，顶高了                   47'2分钟后，菲尔米诺禁区前低射仍被没收
50'德赫亚门球开起                   47'2分钟后，菲尔米诺禁区前低射仍被没收
50'中圈内马内得球，，控制一下                   47'2分钟后，菲尔米诺禁区前低射仍被没收
66'德赫亚开出定位球                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
66'前场左侧给马蒂奇，分左路                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
66'拉师傅左路45度起球                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
66'禁区内被拉拉纳破坏                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
66'自己推进向前                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
66'拉师傅回追，推倒对手                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
66'利物浦后场定位球                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
67'分前场右侧米尔纳                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
67'再分禁区右翼的萨拉赫                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
67'连续盘带过人，勉强送出横敲                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
67'马内跟上，回敲，，外围                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
67'米尔纳跟上，远射，打飞                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
67'德赫亚大脚开起来                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
67'洛夫伦头球顶出边线                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
67'杨教授左侧给拉师傅                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
67'左侧突破，，带出边线                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
68'界外球，阿诺德给出来                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
68'右侧萨拉赫回撤，，但是停出边线                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
69'杨教授发球，给到前场左侧                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
69'洛夫伦大脚破坏                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
69'阿诺德回敲禁区，给卡里乌斯                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
69'在给范迪克，右侧向前给詹                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
69'推进，中圈内给米尔纳， 左侧分马内                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
69'马内左路强突                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
69'传中到了门前，，，前点，，菲尔米诺前插                   66'利物浦第66分钟扳回一城，马内左路突破传中，拜利前点解围不慎自摆乌龙入近角，1-2
