2'Erick Pulgar将球处理出底线,AC米兰获得角球.                   2'万乔尼首次先发打左后卫，本赛季他仅出场2次，共19分钟
5'射门!!!AC米兰球员德乌洛费乌球门左侧小角度右脚射门,被对方守门员横身扑出.                   2'万乔尼首次先发打左后卫，本赛季他仅出场2次，共19分钟
5'AC米兰球员帕萨利奇大禁区中央尝试右脚射门,可惜皮球稍稍高出球门.                   2'万乔尼首次先发打左后卫，本赛季他仅出场2次，共19分钟
5'射门!!!AC米兰球员德乌洛费乌球门左侧小角度右脚射门,被对方守门员横身扑出.                   5'开场5分钟，AC米兰就险些破门，帕莱塔后场长传，克拉夫特头球解围却蹭向本方禁区左侧，德乌洛费乌快速插上距门6米处小角度推射被达科斯塔用腿挡出，帕沙利奇在门前8米处凌空弹射打高
5'AC米兰球员帕萨利奇大禁区中央尝试右脚射门,可惜皮球稍稍高出球门.                   5'开场5分钟，AC米兰就险些破门，帕莱塔后场长传，克拉夫特头球解围却蹭向本方禁区左侧，德乌洛费乌快速插上距门6米处小角度推射被达科斯塔用腿挡出，帕沙利奇在门前8米处凌空弹射打高
6'博洛尼亚A-达科斯塔受伤倒地,比赛暂停                   5'开场5分钟，AC米兰就险些破门，帕莱塔后场长传，克拉夫特头球解围却蹭向本方禁区左侧，德乌洛费乌快速插上距门6米处小角度推射被达科斯塔用腿挡出，帕沙利奇在门前8米处凌空弹射打高
7'暂停结束,球员们重新开始比赛.                   5'开场5分钟，AC米兰就险些破门，帕莱塔后场长传，克拉夫特头球解围却蹭向本方禁区左侧，德乌洛费乌快速插上距门6米处小角度推射被达科斯塔用腿挡出，帕沙利奇在门前8米处凌空弹射打高
7'加斯塔尔德罗将球处理出底线,AC米兰获得角球.                   5'开场5分钟，AC米兰就险些破门，帕莱塔后场长传，克拉夫特头球解围却蹭向本方禁区左侧，德乌洛费乌快速插上距门6米处小角度推射被达科斯塔用腿挡出，帕沙利奇在门前8米处凌空弹射打高
8'威尔第将球处理出底线,AC米兰获得角球.                   5'开场5分钟，AC米兰就险些破门，帕莱塔后场长传，克拉夫特头球解围却蹭向本方禁区左侧，德乌洛费乌快速插上距门6米处小角度推射被达科斯塔用腿挡出，帕沙利奇在门前8米处凌空弹射打高
36'泽马伊利为博洛尼亚在对方半场,赢得一个任意球.                   36'AC米兰第36分钟再遭打击，哲马伊利接应后场直传带球突破，帕莱塔禁区前沿战术犯规将其绊倒，吃到2张黄牌被罚下
36'AC米兰球员帕莱塔拼抢犯规,对手获得控球权.                   36'AC米兰第36分钟再遭打击，哲马伊利接应后场直传带球突破，帕莱塔禁区前沿战术犯规将其绊倒，吃到2张黄牌被罚下
36'AC米兰球员帕莱塔因为恶意犯规,被裁判出示了第二张黄牌.                   36'AC米兰第36分钟再遭打击，哲马伊利接应后场直传带球突破，帕莱塔禁区前沿战术犯规将其绊倒，吃到2张黄牌被罚下
38'博洛尼亚球员威尔第大禁区外右脚射门,被防守球员封堵.                   36'AC米兰第36分钟再遭打击，哲马伊利接应后场直传带球突破，帕莱塔禁区前沿战术犯规将其绊倒，吃到2张黄牌被罚下
59'纳吉为博洛尼亚在左路,赢得一个任意球.                   59'AC米兰第59分钟雪上加霜，纳吉左路过掉库茨卡，库茨卡将其绊倒，也吃到第2张黄牌提前更衣，AC米兰只剩9人应战
59'AC米兰球员库奇卡拼抢犯规,对手获得控球权.                   59'AC米兰第59分钟雪上加霜，纳吉左路过掉库茨卡，库茨卡将其绊倒，也吃到第2张黄牌提前更衣，AC米兰只剩9人应战
59'AC米兰球员库奇卡因为恶意犯规,被裁判出示了第二张黄牌.                   59'AC米兰第59分钟雪上加霜，纳吉左路过掉库茨卡，库茨卡将其绊倒，也吃到第2张黄牌提前更衣，AC米兰只剩9人应战
