23'李帅左路接球！回传一脚！队友长传禁区，被破坏出来                   23'第23分钟，穆谢奎接周挺助攻头球帮助大连一方客场取得领先
23'大连一方进球啦！！穆谢奎！1-0                   23'第23分钟，穆谢奎接周挺助攻头球帮助大连一方客场取得领先
24'大连一方右路传球，周挺倒三角传球，穆谢奎抢点头球顶门！皮球应声入网                   23'第23分钟，穆谢奎接周挺助攻头球帮助大连一方客场取得领先
25'重庆斯威队左路横传禁区！对方破坏出来！                   23'第23分钟，穆谢奎接周挺助攻头球帮助大连一方客场取得领先
26'界外球发出来！大连一方断球右路反击                   23'第23分钟，穆谢奎接周挺助攻头球帮助大连一方客场取得领先
26'中场重庆斯威队断球！重新组织进攻！                   23'第23分钟，穆谢奎接周挺助攻头球帮助大连一方客场取得领先
90'重庆斯威队压回来！在中场倒脚，寻找机会！                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
90'费尔南迪尼奥接球突破到禁区内！！横传门前，中间队员只要碰到球就有，但皮球滑门而过！！！                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
90'错失良机！                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
91'下半场要补时 5 分钟                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
91'5分钟的时间什么事情都可以发生！                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
92'后场重庆斯威队得球，交给费尔南迪尼奥！                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
92'前场重庆斯威队配合，再交给费尔南迪尼奥！没能控好！                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
92'卡拉斯科在前场牵制！                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
93'重庆斯威队攻到前场，传禁区！！                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
93'对方将球破坏                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
93'大连一方反击！李帅自己带球到前场！对方背后把球抢下来！                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
93'费尔南迪尼奥左路接球，一路带到前场，分边路！！直接传出边线                   90'90分钟战罢，重庆斯威1-1战平大连一方，球队结束了主场的6连败
47'后场重庆斯威队得球！右路长传进攻！对方破坏出边线                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
48'杨善平及时出脚！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
48'重庆斯威队右路斜传球到禁区内，找远端！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
48'汪晋贤把球护下来！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
48'刘宇在前场拼抢！！球出底线                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
49'大连一方快发球，右路长传进攻                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
49'对方把球抢断下来                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
49'裁判哨也响了                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
49'上半场比赛结束，大连一方客场1-0领先重庆斯威队！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
47'塞巴左路接球，直传球，再前插接球！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
47'转移到右路！重庆斯威队斜传禁区！单鹏飞碰到球出底线                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
47'重庆斯威队得到角球机会                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
47'战术角球发出来！费尔南迪尼奥带球强突！造成汪晋贤犯规                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
47'斯威队得到前场任意球机会                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
48'费尔南迪尼奥站在了球前！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
48'任意球直接打门！打得高啦！！没能压住！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
49'大连一方进攻到前场，丁捷铲抢犯规！！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
49'主裁判给丁捷出示了黄牌！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
49'背后铲倒了盖坦！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
50'盖坦和穆谢奎经常受到这样的照顾                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
50'这球距离球门比较远！                   47'重庆斯威比赛开始后迅速进入状态，第2分钟，卡尔德克门前近在咫尺的推射击中门柱，大连一方逃过一劫
55'周挺倒地犯规啦！                   55'第10分钟，大连一方取得进球
55'重庆斯威队得到任意球机会                   55'第10分钟，大连一方取得进球
55'任意球发出来转移到右路进攻！                   55'第10分钟，大连一方取得进球
55'卡尔德克传球，费尔南迪尼奥横传，对方挡出！                   55'第10分钟，大连一方取得进球
55'重庆斯威队挑传禁区！费尔南迪尼奥接球一扣转身打门，被秦升挡出来！                   55'第10分钟，大连一方取得进球
56'塞巴发出界外球！交给刘宇！                   55'第10分钟，大连一方取得进球
56'刘宇斜传球到禁区内，对方顶出，高度不够啊！                   55'第10分钟，大连一方取得进球
56'前场重庆斯威队得球传禁区！卡尔德克顶到啦！张翀没收                   55'第10分钟，大连一方取得进球
