10'罗本右路内切到禁区外弧顶处的比达尔，比达尔向前给了一脚直塞球找到禁区内插上的莱万，莱万左脚推射破门                   9'开场9分钟，拜仁首次射门就取得领先
10'沙尔克球员中圈发球                   9'开场9分钟，拜仁首次射门就取得领先
11'马丁内斯横敲给左侧                   9'开场9分钟，拜仁首次射门就取得领先
11'给到中圈左侧的比达尔                   9'开场9分钟，拜仁首次射门就取得领先
12' 科拉希纳茨回敲身后给到了中圈内的巴德                   9'开场9分钟，拜仁首次射门就取得领先
12'巴德一个低平球向前给                   9'开场9分钟，拜仁首次射门就取得领先
12'卡利朱里一接球就被放倒了                   9'开场9分钟，拜仁首次射门就取得领先
14'沙尔克扳平了                   13'第13分钟，沙尔克任意球一拨一踩，纳尔多左侧距门20米处大力低射入近角，1比1
14'纳尔多任意球直接破门                   13'第13分钟，沙尔克任意球一拨一踩，纳尔多左侧距门20米处大力低射入近角，1比1
15' 罗本右路接球， 被回防的科拉希纳茨破坏出底线                   13'第13分钟，沙尔克任意球一拨一踩，纳尔多左侧距门20米处大力低射入近角，1比1
15'阿隆索右侧角球开出，比达尔头球顶高了                   13'第13分钟，沙尔克任意球一拨一踩，纳尔多左侧距门20米处大力低射入近角，1比1
39'直接挑传到前场禁区内                   39'第39分钟，科拉希纳茨禁区左侧回传，布格施塔勒在门前10米处左脚推射击中横梁
39'莱万这球迅速被赫韦德斯踢出底线                   39'第39分钟，科拉希纳茨禁区左侧回传，布格施塔勒在门前10米处左脚推射击中横梁
40' 本塔莱布分球向前                   39'第39分钟，科拉希纳茨禁区左侧回传，布格施塔勒在门前10米处左脚推射击中横梁
40'布格斯塔勒一脚抽射，中了横梁                   39'第39分钟，科拉希纳茨禁区左侧回传，布格施塔勒在门前10米处左脚推射击中横梁
41'贝尔纳特左侧边线球发出来                   39'第39分钟，科拉希纳茨禁区左侧回传，布格施塔勒在门前10米处左脚推射击中横梁
41'再次被赫韦德斯破坏出边线                   39'第39分钟，科拉希纳茨禁区左侧回传，布格施塔勒在门前10米处左脚推射击中横梁
86' 阿隆索低平球斜传                   86'拜仁第86分钟错过绝杀，阿拉巴左路传中，马丁内斯后点距门9米处低射偏出远门柱
86'拉姆推传给中路的科曼                   86'拜仁第86分钟错过绝杀，阿拉巴左路传中，马丁内斯后点距门9米处低射偏出远门柱
87'科斯塔带球继续向前， 再次分球给右侧                   86'拜仁第86分钟错过绝杀，阿拉巴左路传中，马丁内斯后点距门9米处低射偏出远门柱
87'马丁内斯禁区内右侧跟上打门，偏了                   86'拜仁第86分钟错过绝杀，阿拉巴左路传中，马丁内斯后点距门9米处低射偏出远门柱
88'沙尔克换人， 格雷茨卡下，换上了克雷尔                   86'拜仁第86分钟错过绝杀，阿拉巴左路传中，马丁内斯后点距门9米处低射偏出远门柱
88'费尔曼后场开出球                   86'拜仁第86分钟错过绝杀，阿拉巴左路传中，马丁内斯后点距门9米处低射偏出远门柱
89'科曼带球快下                   86'拜仁第86分钟错过绝杀，阿拉巴左路传中，马丁内斯后点距门9米处低射偏出远门柱
89'被科拉希纳茨破坏出边线                   86'拜仁第86分钟错过绝杀，阿拉巴左路传中，马丁内斯后点距门9米处低射偏出远门柱
