8'今天主场作战的申鑫身穿一身蓝色队服                   8'由于现场直播出现状况，比赛打到第8分钟才有信号传输
8'客场作战的长春亚泰身穿一身红衣                   8'由于现场直播出现状况，比赛打到第8分钟才有信号传输
8'申鑫从画面左侧向右侧进攻，长春亚泰反之                   8'由于现场直播出现状况，比赛打到第8分钟才有信号传输
9'马祖右路传中，后点被姜嘉俊顶出边线                   8'由于现场直播出现状况，比赛打到第8分钟才有信号传输
9'长春队外围重新来组织，左路胡斯蒂的传中被挡                   8'由于现场直播出现状况，比赛打到第8分钟才有信号传输
10'于涛后场大脚解围，被杜震宇封堵出来                   8'由于现场直播出现状况，比赛打到第8分钟才有信号传输
10'申鑫右路反击，送出直塞，埃杜阿尔多速度非常快                   8'由于现场直播出现状况，比赛打到第8分钟才有信号传输
11'埃杜阿尔多面对伊斯梅洛夫的防守，突入禁区前沿，一脚打门，偏出                   8'由于现场直播出现状况，比赛打到第8分钟才有信号传输
11'左路杜震宇回敲，跟进的张笑非45度传中，落点颇佳                   8'由于现场直播出现状况，比赛打到第8分钟才有信号传输
10'于涛后场大脚解围，被杜震宇封堵出来                   10'第10分钟张笑非左路传中，胡斯蒂在围抢之下未拿住皮球，张一诺用非常规部位膝盖把球顶出界外
10'申鑫右路反击，送出直塞，埃杜阿尔多速度非常快                   10'第10分钟张笑非左路传中，胡斯蒂在围抢之下未拿住皮球，张一诺用非常规部位膝盖把球顶出界外
11'埃杜阿尔多面对伊斯梅洛夫的防守，突入禁区前沿，一脚打门，偏出                   10'第10分钟张笑非左路传中，胡斯蒂在围抢之下未拿住皮球，张一诺用非常规部位膝盖把球顶出界外
11'左路杜震宇回敲，跟进的张笑非45度传中，落点颇佳                   10'第10分钟张笑非左路传中，胡斯蒂在围抢之下未拿住皮球，张一诺用非常规部位膝盖把球顶出界外
12'前点祝一帆没有碰到，张一诺抢在中路包抄的前锋之前，把球挡出底线                   10'第10分钟张笑非左路传中，胡斯蒂在围抢之下未拿住皮球，张一诺用非常规部位膝盖把球顶出界外
12'长春队的角球开到后点，比较靠外没有形成威胁                   10'第10分钟张笑非左路传中，胡斯蒂在围抢之下未拿住皮球，张一诺用非常规部位膝盖把球顶出界外
12'长春队右路施压，马祖利用速度，趟开防守                   10'第10分钟张笑非左路传中，胡斯蒂在围抢之下未拿住皮球，张一诺用非常规部位膝盖把球顶出界外
12'马祖下底传中，张一诺出击摘下                   10'第10分钟张笑非左路传中，胡斯蒂在围抢之下未拿住皮球，张一诺用非常规部位膝盖把球顶出界外
13'埃弗顿前场护球，蒋哲身后拼抢犯规                   10'第10分钟张笑非左路传中，胡斯蒂在围抢之下未拿住皮球，张一诺用非常规部位膝盖把球顶出界外
13'申鑫左路发动进攻，没有很好的机会，交回给后防控一下节奏                   10'第10分钟张笑非左路传中，胡斯蒂在围抢之下未拿住皮球，张一诺用非常规部位膝盖把球顶出界外
30'申鑫很注意得球后的快速反击，但亚泰也早有预料。后场保护非常注意                   30'打到30分钟，场面也无甚精彩之处
30'埃杜阿尔多禁区前沿的突破，倒地了，主裁范琦没吹                   30'打到30分钟，场面也无甚精彩之处
31'申鑫中后场的失误，莫雷诺得球立刻来一脚吊门，想复制张琳芃的经典进球，可惜高了                   30'打到30分钟，场面也无甚精彩之处
32'邹仲霆拼抢犯规                   30'打到30分钟，场面也无甚精彩之处
32'闫峰中场肉搏战中踢翻丹尼尔，也被吹犯规                   30'打到30分钟，场面也无甚精彩之处
32'两队频频的肉搏战啊                   30'打到30分钟，场面也无甚精彩之处
33'张笑非中场在对丹尼尔犯规                   30'打到30分钟，场面也无甚精彩之处
33'申鑫快发定位球，开到前场，埃弗顿力压两中卫头球回摆一下                   30'打到30分钟，场面也无甚精彩之处
33'埃杜阿尔多后面跟进，一脚大力抽射，稍稍偏出                   30'打到30分钟，场面也无甚精彩之处
32'邹仲霆拼抢犯规                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
32'闫峰中场肉搏战中踢翻丹尼尔，也被吹犯规                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
32'两队频频的肉搏战啊                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
33'张笑非中场在对丹尼尔犯规                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
33'申鑫快发定位球，开到前场，埃弗顿力压两中卫头球回摆一下                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
33'埃杜阿尔多后面跟进，一脚大力抽射，稍稍偏出                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
34'亚泰左路进攻，张笑非给到胡斯蒂，胡斯蒂带向底线                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
34'胡斯蒂把球分出来，交给接应的杜震宇，杜震宇在回给张笑非                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
34'张笑非面对邹仲霆，一扣，被断了                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
35'邹仲霆顺势沿着边线带球反击，张笑非回追拉人犯规                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
35'两队攻防转换打的都不流畅，尤其是亚泰，在中前场就地的杀伤，很奏效                   32'第32分钟申鑫中场长传，丹尼尔头球回做，埃杜阿尔多远射稍稍偏出
37'亚泰前场的一连串配合交给胡斯蒂，胡斯蒂左路禁区角上把球送入禁区中央，莫雷诺原地起跳，顶了一个弧线，砸中横梁                   37'第37分钟丹尼尔在对方禁区里接于涛送球后转身传中，埃韦顿在压迫下没有抢到球，埃杜阿尔多转身就射，球中对方站在门线上的阎峰身上弹出
37'一直没有开胡的玻利维亚国脚莫雷诺与进球擦肩而过啊                   37'第37分钟丹尼尔在对方禁区里接于涛送球后转身传中，埃韦顿在压迫下没有抢到球，埃杜阿尔多转身就射，球中对方站在门线上的阎峰身上弹出
38'申鑫的一次进攻，也是险些打破僵局                   37'第37分钟丹尼尔在对方禁区里接于涛送球后转身传中，埃韦顿在压迫下没有抢到球，埃杜阿尔多转身就射，球中对方站在门线上的阎峰身上弹出
39'右路于涛直塞丹尼尔，丹尼尔突进去，把球传向中间                   37'第37分钟丹尼尔在对方禁区里接于涛送球后转身传中，埃韦顿在压迫下没有抢到球，埃杜阿尔多转身就射，球中对方站在门线上的阎峰身上弹出
39'埃弗顿头球一顶给到身后无人盯防的埃杜阿尔多，后者一记抽射，被守在远门柱的闫峰把球挡出                   37'第37分钟丹尼尔在对方禁区里接于涛送球后转身传中，埃韦顿在压迫下没有抢到球，埃杜阿尔多转身就射，球中对方站在门线上的阎峰身上弹出
40'申鑫有啦还有机会，在传被宋振瑜没收                   37'第37分钟丹尼尔在对方禁区里接于涛送球后转身传中，埃韦顿在压迫下没有抢到球，埃杜阿尔多转身就射，球中对方站在门线上的阎峰身上弹出
40'亚泰的反击，莫雷诺中路拿球到弧顶，再分右路的马祖，越位了                   37'第37分钟丹尼尔在对方禁区里接于涛送球后转身传中，埃韦顿在压迫下没有抢到球，埃杜阿尔多转身就射，球中对方站在门线上的阎峰身上弹出
40'亚泰的一次挑传，给到左路的杜震宇，再次越位                   37'第37分钟丹尼尔在对方禁区里接于涛送球后转身传中，埃韦顿在压迫下没有抢到球，埃杜阿尔多转身就射，球中对方站在门线上的阎峰身上弹出
40'申鑫发动长传，杨家威在拼抢中手上推了伊斯梅洛夫一把，犯规                   37'第37分钟丹尼尔在对方禁区里接于涛送球后转身传中，埃韦顿在压迫下没有抢到球，埃杜阿尔多转身就射，球中对方站在门线上的阎峰身上弹出
45'中场一翻缠斗，申鑫右路把球摘出                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
45'双方今天力拼中场，多次出现中场的缠斗                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
45'犯规也都不少                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
46'莫雷诺反击突破摔倒，范琦未予理会，莫雷诺表示抗议                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
46'申鑫快攻，赢得一个角球的机会                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
46'上半场补时1分钟                   45'下半场刚开始，前45分钟表现沉闷的马祖就在禁区里获得机会，但着急的他手球在先
