1'南安普敦球员J-罗德里格斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   1'开场不到1分钟，杰伊-罗德里格斯禁区前射门偏出
14'切尔西球员阿兹皮里库塔大禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是兰帕德.                   14'切尔西控制战局，第14分钟，兰帕德禁区弧横传，阿斯皮利奎塔禁区右侧的射门高出
15'斯内德林为南安普敦赢得一个任意球.                   14'切尔西控制战局，第14分钟，兰帕德禁区弧横传，阿斯皮利奎塔禁区右侧的射门高出
15'切尔西球员拉米雷斯拼抢犯规,对手获得控球权.                   14'切尔西控制战局，第14分钟，兰帕德禁区弧横传，阿斯皮利奎塔禁区右侧的射门高出
16'南安普敦球员邦臣大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是久利.                   14'切尔西控制战局，第14分钟，兰帕德禁区弧横传，阿斯皮利奎塔禁区右侧的射门高出
19'切尔西球员登巴-巴大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   19'第19分钟，登巴-巴禁区前射门偏出
20'切尔西球员登巴-巴手球犯规,对手获得球权.                   19'第19分钟，登巴-巴禁区前射门偏出
37'南安普敦球员S-戴维斯大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是J-罗德里格斯.                   37'第37分钟，吉田麻也长传，杰伊-罗德里格斯回敲，史蒂文-戴维斯禁区右侧15码处射门偏出远角
38'肖将球处理出底线,切尔西获得角球.                   37'第37分钟，吉田麻也长传，杰伊-罗德里格斯回敲，史蒂文-戴维斯禁区右侧15码处射门偏出远角
45'切尔西球员拉米雷斯大禁区中央右脚射门,被防守球员封堵.                   45'切尔西第45分钟扩大比分，奥斯卡传中被挡，马塔跟进再射也被封堵，拉米雷斯15码处抽射打中横梁弹回，阿扎尔禁区边缘内补射入网
45'进球啦！！！切尔西球员阿扎尔大禁区中央左脚射门,球从右下角飞进球门,球进了! 切尔西 2-0 南安普敦.                   45'切尔西第45分钟扩大比分，奥斯卡传中被挡，马塔跟进再射也被封堵，拉米雷斯15码处抽射打中横梁弹回，阿扎尔禁区边缘内补射入网
45'+2'上半场结束,切尔西 2-0 南安普敦,稍事休息,我们一会来看看下半场两队的表现.                   45'切尔西第45分钟扩大比分，奥斯卡传中被挡，马塔跟进再射也被封堵，拉米雷斯15码处抽射打中横梁弹回，阿扎尔禁区边缘内补射入网
46'射门!!!切尔西球员A-科尔大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是奥斯卡.                   45'切尔西第45分钟扩大比分，奥斯卡传中被挡，马塔跟进再射也被封堵，拉米雷斯15码处抽射打中横梁弹回，阿扎尔禁区边缘内补射入网
47'柯克为南安普敦在对方半场,赢得一个任意球.                   45'切尔西第45分钟扩大比分，奥斯卡传中被挡，马塔跟进再射也被封堵，拉米雷斯15码处抽射打中横梁弹回，阿扎尔禁区边缘内补射入网
47'切尔西球员兰帕德拼抢犯规,对手获得控球权.                   45'切尔西第45分钟扩大比分，奥斯卡传中被挡，马塔跟进再射也被封堵，拉米雷斯15码处抽射打中横梁弹回，阿扎尔禁区边缘内补射入网
48'南安普敦球员克莱恩一脚直塞球给J-罗德里格斯,但是边裁举旗显示后者已经越位.                   45'切尔西第45分钟扩大比分，奥斯卡传中被挡，马塔跟进再射也被封堵，拉米雷斯15码处抽射打中横梁弹回，阿扎尔禁区边缘内补射入网
58'进球啦！！！南安普敦球员兰伯特大禁区中央头球,球从右上角飞进球门,球进了!助攻的是克莱恩. 切尔西 2-1 南安普敦.                   58'南安普敦第58分钟扳回一城，克莱因右路传中，刚刚替补出场的兰伯特11码处头球破门
59'切尔西球员奥斯卡大禁区外尝试左脚射门,可惜皮球高出球门.                   58'南安普敦第58分钟扳回一城，克莱因右路传中，刚刚替补出场的兰伯特11码处头球破门
59'南安普敦球员兰伯特拼抢犯规,对手获得控球权.                   58'南安普敦第58分钟扳回一城，克莱因右路传中，刚刚替补出场的兰伯特11码处头球破门
59'大卫-路易斯为切尔西赢得一个任意球.                   58'南安普敦第58分钟扳回一城，克莱因右路传中，刚刚替补出场的兰伯特11码处头球破门
59'切尔西球员奥斯卡大禁区外尝试左脚射门,可惜皮球高出球门.                   59'第59分钟，奥斯卡禁区边缘射门高出
59'南安普敦球员兰伯特拼抢犯规,对手获得控球权.                   59'第59分钟，奥斯卡禁区边缘射门高出
59'大卫-路易斯为切尔西赢得一个任意球.                   59'第59分钟，奥斯卡禁区边缘射门高出
68'切尔西球员登巴-巴大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是马塔.                   68'切尔西第68分钟险些破门，马塔直传，登巴-巴10码处第一时间凌空垫射高出
69'南安普敦球员兰伯特一脚直塞球给查波罗,但是边裁举旗显示后者已经越位.                   68'切尔西第68分钟险些破门，马塔直传，登巴-巴10码处第一时间凌空垫射高出
70'南安普敦球员吉田麻也拼抢犯规,对手获得控球权.                   68'切尔西第68分钟险些破门，马塔直传，登巴-巴10码处第一时间凌空垫射高出
70'马塔为切尔西在对方半场,赢得一个任意球.                   68'切尔西第68分钟险些破门，马塔直传，登巴-巴10码处第一时间凌空垫射高出
71'切尔西马塔受伤倒地,比赛暂停                   68'切尔西第68分钟险些破门，马塔直传，登巴-巴10码处第一时间凌空垫射高出
75'进球啦！！！南安普敦球员邦臣大禁区中央左脚射门,球从左上角飞进球门,球进了!助攻的是拉米雷斯. 切尔西 2-2 南安普敦.                   75'南安普敦第75分钟扳平比分，卢克-肖左路传中，庞彻昂禁区边缘内左脚抽射左上角入网，2-2
77'南安普敦球员拉米雷斯拼抢犯规,对手获得控球权.                   75'南安普敦第75分钟扳平比分，卢克-肖左路传中，庞彻昂禁区边缘内左脚抽射左上角入网，2-2
77'拉米雷斯为切尔西在对方半场,赢得一个任意球.                   75'南安普敦第75分钟扳平比分，卢克-肖左路传中，庞彻昂禁区边缘内左脚抽射左上角入网，2-2
77'切尔西球员大卫-路易斯大禁区外右脚射门,被防守球员封堵.                   75'南安普敦第75分钟扳平比分，卢克-肖左路传中，庞彻昂禁区边缘内左脚抽射左上角入网，2-2
86'切尔西球员托雷斯大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是马塔.                   86'第86分钟，马塔传球，托雷斯禁区右侧边缘内劲射偏出近角
87'南安普敦球员拉米雷斯拼抢犯规,对手获得控球权.                   86'第86分钟，马塔传球，托雷斯禁区右侧边缘内劲射偏出近角
87'奥斯卡为切尔西赢得一个任意球.                   86'第86分钟，马塔传球，托雷斯禁区右侧边缘内劲射偏出近角
88'拉米雷斯为南安普敦赢得一个任意球.                   86'第86分钟，马塔传球，托雷斯禁区右侧边缘内劲射偏出近角
88'切尔西球员托雷斯拼抢犯规,对手获得控球权.                   86'第86分钟，马塔传球，托雷斯禁区右侧边缘内劲射偏出近角
88'南安普敦球员兰伯特拼抢犯规,对手获得控球权.                   86'第86分钟，马塔传球，托雷斯禁区右侧边缘内劲射偏出近角
88'大卫-路易斯为切尔西赢得一个任意球.                   86'第86分钟，马塔传球，托雷斯禁区右侧边缘内劲射偏出近角
89'南安普敦球员肖拼抢犯规,对手获得控球权.                   86'第86分钟，马塔传球，托雷斯禁区右侧边缘内劲射偏出近角
89'托雷斯为切尔西在对方半场,赢得一个任意球.                   86'第86分钟，马塔传球，托雷斯禁区右侧边缘内劲射偏出近角
