1'上半场比赛开始！！                   1'巴萨第1分钟积极施压
1'首先开球的是希洪竞技                   1'巴萨第1分钟积极施压
1'希洪竞技左路带球突破                   1'巴萨第1分钟积极施压
1'送直塞没有给过去                   1'巴萨第1分钟积极施压
1'阿尔瓦雷斯前场拿球在分左路                   1'巴萨第1分钟积极施压
2'底线拿球没有机会                   1'巴萨第1分钟积极施压
2'埃尔德森左路起球                   1'巴萨第1分钟积极施压
2'这球没有传出来                   1'巴萨第1分钟积极施压
3'拉菲尼亚右路挑传到后点                   1'巴萨第1分钟积极施压
3'这球给的深了一些                   1'巴萨第1分钟积极施压
3'直接送出了底线                   1'巴萨第1分钟积极施压
4'巴萨进攻到底线                   1'巴萨第1分钟积极施压
3'拉菲尼亚右路挑传到后点                   3'巴萨3分钟取得2球领先，第9分钟，马斯切拉诺前场挑传，奎利亚尔出击，反越位成功的梅西15码处头球吊射入网
3'这球给的深了一些                   3'巴萨3分钟取得2球领先，第9分钟，马斯切拉诺前场挑传，奎利亚尔出击，反越位成功的梅西15码处头球吊射入网
3'直接送出了底线                   3'巴萨3分钟取得2球领先，第9分钟，马斯切拉诺前场挑传，奎利亚尔出击，反越位成功的梅西15码处头球吊射入网
4'巴萨进攻到底线                   3'巴萨3分钟取得2球领先，第9分钟，马斯切拉诺前场挑传，奎利亚尔出击，反越位成功的梅西15码处头球吊射入网
5'挑传到中路被破坏                   3'巴萨3分钟取得2球领先，第9分钟，马斯切拉诺前场挑传，奎利亚尔出击，反越位成功的梅西15码处头球吊射入网
6'希洪竞技左路低平球给到禁区                   3'巴萨3分钟取得2球领先，第9分钟，马斯切拉诺前场挑传，奎利亚尔出击，反越位成功的梅西15码处头球吊射入网
6'第一点先被巴萨解围                   3'巴萨3分钟取得2球领先，第9分钟，马斯切拉诺前场挑传，奎利亚尔出击，反越位成功的梅西15码处头球吊射入网
6'巴萨中场控球稳一下                   3'巴萨3分钟取得2球领先，第9分钟，马斯切拉诺前场挑传，奎利亚尔出击，反越位成功的梅西15码处头球吊射入网
11'2-0！！！                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
11'这次是苏亚雷斯！！                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
11'巴萨左路斜传球送禁区，苏亚雷斯前插后面对出击的门将晃了一下后小角度挑射破门！！                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
11'这球碰到对方后卫的腿上弹入球门                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
12'希洪竞技后卫自己解围也是失误                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
12'看看这球最后算在谁的身上                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
12'上半场还不到15分钟，巴萨已经取得2球的领先                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
13'内马尔禁区内拿球内切                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
13'直接低射被后卫挡出                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
13'内马尔有些着急啊                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
13'MSN只剩下内马尔没有进球啦                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
14'梅西前场拿球分边路                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
14'前场小范围配合出现失误                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
14'巴萨中场重新拿回球权                   11'第11分钟，内马尔斜传禁区左侧，苏亚雷斯拿球晃过奎利亚尔后小角度射空门，但皮球被胡安-罗德里格斯挡入自家大门，2-0
22'2-1！！                   21'希洪第21分钟扳回一城，布尔吉直传，甩开布斯克茨的阿尔瓦雷斯禁区左肋10码处外脚背弹射击中右侧立柱弹回，卡斯特罗近距离破门，1-2
22'卡斯特罗！！                   21'希洪第21分钟扳回一城，布尔吉直传，甩开布斯克茨的阿尔瓦雷斯禁区左肋10码处外脚背弹射击中右侧立柱弹回，卡斯特罗近距离破门，1-2
23'希洪竞技左路低平球给到禁区，队友接球后直接推射远角，球击中立柱后弹了回来，最后卡斯特罗跟进补射空门得分！！                   21'希洪第21分钟扳回一城，布尔吉直传，甩开布斯克茨的阿尔瓦雷斯禁区左肋10码处外脚背弹射击中右侧立柱弹回，卡斯特罗近距离破门，1-2
23'巴萨进的第二个球还是算了对方的乌龙球                   21'希洪第21分钟扳回一城，布尔吉直传，甩开布斯克茨的阿尔瓦雷斯禁区左肋10码处外脚背弹射击中右侧立柱弹回，卡斯特罗近距离破门，1-2
24'梅西前场拿球被布尔吉侵犯                   21'希洪第21分钟扳回一城，布尔吉直传，甩开布斯克茨的阿尔瓦雷斯禁区左肋10码处外脚背弹射击中右侧立柱弹回，卡斯特罗近距离破门，1-2
49'4-1！！！                   49'巴萨第49分钟锁定胜局，半场换下苏亚雷斯的帕科带球受阻，梅西抢断后横传，帕科12码处推射破门，4-1
50'帕科！！！                   49'巴萨第49分钟锁定胜局，半场换下苏亚雷斯的帕科带球受阻，梅西抢断后横传，帕科12码处推射破门，4-1
50'梅西前场断球，禁区内横敲给到帕科，帕科冷静推射破门！！                   49'巴萨第49分钟锁定胜局，半场换下苏亚雷斯的帕科带球受阻，梅西抢断后横传，帕科12码处推射破门，4-1
52'梅西禁区内推射被挡了一下                   49'巴萨第49分钟锁定胜局，半场换下苏亚雷斯的帕科带球受阻，梅西抢断后横传，帕科12码处推射破门，4-1
52'巴萨的角球                   49'巴萨第49分钟锁定胜局，半场换下苏亚雷斯的帕科带球受阻，梅西抢断后横传，帕科12码处推射破门，4-1
52'角球打了一个战术                   49'巴萨第49分钟锁定胜局，半场换下苏亚雷斯的帕科带球受阻，梅西抢断后横传，帕科12码处推射破门，4-1
52'禁区内双方形成混战                   49'巴萨第49分钟锁定胜局，半场换下苏亚雷斯的帕科带球受阻，梅西抢断后横传，帕科12码处推射破门，4-1
52'最后先被希洪竞技这边球员解围                   49'巴萨第49分钟锁定胜局，半场换下苏亚雷斯的帕科带球受阻，梅西抢断后横传，帕科12码处推射破门，4-1
59'梅西任意球直接打门                   59'第59分钟，梅西禁区弧内任意球搓射，皮球憾中横梁弹出
59'打了一个巧的                   59'第59分钟，梅西禁区弧内任意球搓射，皮球憾中横梁弹出
59'球打在横梁上沿弹了出去                   59'第59分钟，梅西禁区弧内任意球搓射，皮球憾中横梁弹出
60'希洪竞技换人                   59'第59分钟，梅西禁区弧内任意球搓射，皮球憾中横梁弹出
60'布尔吉被换下                   59'第59分钟，梅西禁区弧内任意球搓射，皮球憾中横梁弹出
61'巴萨这边也换人                   59'第59分钟，梅西禁区弧内任意球搓射，皮球憾中横梁弹出
61'梅西下，戈麦斯上！                   59'第59分钟，梅西禁区弧内任意球搓射，皮球憾中横梁弹出
61'巴萨也是进行一下阵容的轮换                   59'第59分钟，梅西禁区弧内任意球搓射，皮球憾中横梁弹出
62'MSN组合只剩下内马尔还在场上                   59'第59分钟，梅西禁区弧内任意球搓射，皮球憾中横梁弹出
