5'国际米兰球员科瓦契奇手球犯规,对手获得球权.                   5'开场5分钟，若纳坦传中，瓜林在门前14米处抽射被孔西利托出右上角
5'射门!!!国际米兰球员瓜林大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是若纳坦.                   5'开场5分钟，若纳坦传中，瓜林在门前14米处抽射被孔西利托出右上角
6'孔西利将球处理出底线,国际米兰获得角球.                   5'开场5分钟，若纳坦传中，瓜林在门前14米处抽射被孔西利托出右上角
6'卡尼尼将球处理出底线,国际米兰获得角球.                   5'开场5分钟，若纳坦传中，瓜林在门前14米处抽射被孔西利托出右上角
7'卡尼尼为亚特兰大赢得一个任意球.                   5'开场5分钟，若纳坦传中，瓜林在门前14米处抽射被孔西利托出右上角
7'国际米兰球员阿尔瓦雷斯拼抢犯规,对手获得控球权.                   5'开场5分钟，若纳坦传中，瓜林在门前14米处抽射被孔西利托出右上角
14'国际米兰球员科瓦契奇大禁区外右脚射门,被防守球员封堵.给他传球的是瓜林.                   14'第14分钟，瓜林传球，科瓦契奇禁区前沿射门被挡出，国米继续进攻，若纳坦右路内切斜射高出
14'国际米兰球员若纳坦球门右侧小角度尝试右脚射门,可惜皮球高出右上角球门.给他传球的是阿尔瓦雷斯.                   14'第14分钟，瓜林传球，科瓦契奇禁区前沿射门被挡出，国米继续进攻，若纳坦右路内切斜射高出
16'进球啦！！！国际米兰球员阿尔瓦雷斯大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是帕拉西奥. 亚特兰大 0-1 国际米兰.                   14'第14分钟，瓜林传球，科瓦契奇禁区前沿射门被挡出，国米继续进攻，若纳坦右路内切斜射高出
17'利瓦亚为亚特兰大赢得一个任意球.                   14'第14分钟，瓜林传球，科瓦契奇禁区前沿射门被挡出，国米继续进攻，若纳坦右路内切斜射高出
17'国际米兰球员罗兰多拼抢犯规,对手获得控球权.                   14'第14分钟，瓜林传球，科瓦契奇禁区前沿射门被挡出，国米继续进攻，若纳坦右路内切斜射高出
18'国际米兰球员瓜林大禁区外左脚射门,被防守球员封堵.给他传球的是帕拉西奥.                   18'第18分钟，瓜林左脚远射被卡尔莫纳挡出底线
18'卡尔莫纳将球处理出底线,国际米兰获得角球.                   18'第18分钟，瓜林左脚远射被卡尔莫纳挡出底线
20'若纳坦将球处理出底线,亚特兰大获得角球.                   18'第18分钟，瓜林左脚远射被卡尔莫纳挡出底线
