1'中圈卡迪夫城先开球！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
1'开球回给后场的曼加！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
2'曼加长传球给前场中路！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
2'埃德森-莫赖斯出击把球控制下来！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
2'埃德森-莫赖斯开球给身前凯尔-沃克！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
2'凯尔-沃克给身边奥塔门迪！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
2'奥塔门迪分球给前场左侧萨内！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
2'萨内左路带球下底！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
3'皮球被卡马拉萨解围出左侧底线！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
3'曼城的左侧角球！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
3'开出战术角球给前场中路斯特林！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
3'斯特林挑传到禁区内后点！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
3'这球没人顶到啊！传出了底线！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
4'埃瑟里奇大脚开球给前场中路！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
4'这球直接给到了对方门将埃德森-莫赖斯！                   1'曼城第1分钟就利用传接球控制比赛，卡迪夫城全力回收防守应对
29'埃瑟里奇大脚开球给中场左侧！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
29'佩尔蒂埃停球失误出了边线！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
29'曼城边线发球给中路拉波尔特！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
29'拉波尔特直传球给前场中路阿奎罗！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
30'阿奎罗给禁区中路京多安！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
30'防守球员把球挡下来！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
30'京多安中路插上！得球打门！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
30'这球打飞出了横梁啊！错失良机！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
31'镜头一转！卡迪夫城的反击来了！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
31'霍伊莱特右路带球！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
31'直传球给禁区右侧博比-里德！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
32'博比-里德右脚横敲做到中路！！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
32'皮球被奥塔门迪滑铲捅出右侧底线！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
32'卡迪夫城的右侧角球！                   29'曼城第29分钟错过机会，卡迪夫城后卫勉强解围，京多安趟入小禁区前近似单刀的射门打飞
35'斯特林回给身后跟进的德尔夫！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
35'德尔夫给身边费尔南迪尼奥！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
35'转移球给前场右侧凯尔-沃克！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
35'再给前场中路京多安！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
35'横敲中路给阿奎罗！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
35'阿奎罗跟进推射打门！！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
36'GOOOOOOOOAL！！球进了！！0-1！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
36'继续看比赛！曼城的右侧角球！                   35'曼城第35分钟扩大比分，萨内右路战术角球传中，贝尔纳多前点10码处头球后蹭吊入远角，2-0
