3'费利佩前场左路拿球，强突被回防的卡塞米罗撞翻在地                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
3'马竞获得前场左路的任意球机会！！                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
4'科克任意球斜传到禁区，戈丁的头球轰门                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
4'顶远角，纳瓦斯侧扑没碰到，球擦柱出底线！！                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
4'马竞的这次进攻，非常有威胁！！                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
5'本泽马前场拿球，强突横传，被挡出底线                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
5'皇马获得角球机会，没能形成威胁！！                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
5'克罗斯中场拿球，分球左侧给马塞洛                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
5'马塞洛横传再给C罗，C罗转身没机会                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
6'回带两步，分球给卡塞米罗                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
6'卡塞米罗再给莫德里奇，莫德里奇分球右侧给卡瓦哈尔                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
6'卡瓦哈尔的右路传中，莫德里奇前插摔倒在地                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
6'裁判没表示，球被奥布拉克出击拿到！！                   3'开场仅3分钟，科凯左路任意球传中，萨乌尔10码处头球稍稍蹭偏出远角
19'皇马再次获得角球，没能形成威胁！！                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
19'卡拉斯科右路拿球，内切后斜塞门前                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
19'格列兹曼停球转身，扫射击中远侧立柱！！！                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
19'不过边裁也举旗了，格列兹曼的越位在先！！！                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
20'之后托雷斯的补射，也是击中立柱！！                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
21'上半场比赛20分钟，比分0-0！！！                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
21'卡拉斯科右路拿球，传中被挡出了底线！                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
21'马竞获得右侧角球机会！！                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
22'科克主罚，开出到前点，被拉莫斯头球解围！                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
22'科克右路拿球，再传禁区，混战，球被纳瓦斯打出！！                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
22'马塞洛左路拿球，回传克罗斯                   19'第19分钟，卡拉斯科斜传，格列兹曼越位位置转身扫射打中右侧立柱
31'卡塞米罗再给克罗斯，克罗斯分球马塞洛                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
31'马塞洛横传找莫德里奇，莫德里奇遭遇夹击，失误啦                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
31'皇马中场抢断，莫德里奇拿球反击                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
31'禁区弧顶，分球右侧给C罗                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
32'C罗面对奥布拉克，起脚抽射                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
32'萨维奇回防，球门线上将球顶出！！                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
32'必进球啊，C罗准备庆祝了，可惜被解围！！                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
32'皇马获得角球机会，开出来被解围                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
32'马塞洛左路拿球，再传门前，直接被奥布拉克揽入怀中                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
33'皇马前场进攻，赢得右侧角球机会！！                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
34'克罗斯角球开出到禁区，被解围                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
34'莫德里奇外围拿球，横切，远射，再被挡出                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
34'贝尔右路拿球，转身传中，没威胁                   31'皇马第31分钟险些破门，摩德里奇直传，C罗禁区右肋10码处射门令奥布拉克无计可施，但及时回防的萨维奇在门线前及时头球顶出解围
49'皇马前场的进攻，奥布拉克再次立功！！                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
49'C罗前场强突，和防守球员相撞倒地                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
49'裁判没理会，球被加比拦截！！                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
50'加比拿球反击，分球找卡拉斯科，被佩佩抢断                   49'皇马第49分钟险些破门，卡瓦哈尔右路传中，C罗远点头球摆渡，本泽马小禁区右侧近距离捅射被奥布拉克及时挡出
