4'射门!!!阿森纳球员吉鲁大禁区中央头球,被对方守门员横身扑出.                   4'第4分钟，拉姆塞传球，吉鲁小禁区线上头球后蹭射门被对方门将得到
5'雷丁球员加斯里拼抢犯规,对手获得控球权.                   4'第4分钟，拉姆塞传球，吉鲁小禁区线上头球后蹭射门被对方门将得到
5'卡佐拉为阿森纳赢得一个任意球.                   4'第4分钟，拉姆塞传球，吉鲁小禁区线上头球后蹭射门被对方门将得到
6'加斯里为雷丁在左路,赢得一个任意球.                   4'第4分钟，拉姆塞传球，吉鲁小禁区线上头球后蹭射门被对方门将得到
6'阿森纳球员阿尔特塔拼抢犯规,对手获得控球权.                   4'第4分钟，拉姆塞传球，吉鲁小禁区线上头球后蹭射门被对方门将得到
11'阿森纳球员卡佐拉大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.                   11'阿森纳在第11分钟取得领先，吉鲁进攻被堵，卡索拉得球斜传，热尔维尼奥小禁区内打空门得手，1-0
11'进球啦！！！阿森纳球员热尔维尼奥球门线跟前右脚射门,球从中路偏上飞进球门,球进了!助攻的是卡佐拉. 阿森纳 1-0 雷丁.                   11'阿森纳在第11分钟取得领先，吉鲁进攻被堵，卡索拉得球斜传，热尔维尼奥小禁区内打空门得手，1-0
13'博格雷布尼亚克为雷丁在对方半场,赢得一个任意球.                   11'阿森纳在第11分钟取得领先，吉鲁进攻被堵，卡索拉得球斜传，热尔维尼奥小禁区内打空门得手，1-0
13'阿森纳球员默特萨克拼抢犯规,对手获得控球权.                   11'阿森纳在第11分钟取得领先，吉鲁进攻被堵，卡索拉得球斜传，热尔维尼奥小禁区内打空门得手，1-0
14'阿森纳球员卡佐拉大禁区外左脚射门,被防守球员封堵.                   11'阿森纳在第11分钟取得领先，吉鲁进攻被堵，卡索拉得球斜传，热尔维尼奥小禁区内打空门得手，1-0
14'阿森纳球员卡佐拉大禁区外左脚射门,被防守球员封堵.                   14'第14分钟，阿森纳卷土重来，卡索拉前场断球后禁区弧顶射门被对方后卫封堵
15'雷丁球员罗布森-卡努拼抢犯规,对手获得控球权.                   14'第14分钟，阿森纳卷土重来，卡索拉前场断球后禁区弧顶射门被对方后卫封堵
15'阿尔特塔为阿森纳在对方半场,赢得一个任意球.                   14'第14分钟，阿森纳卷土重来，卡索拉前场断球后禁区弧顶射门被对方后卫封堵
16'阿森纳球员热尔维尼奥大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是萨尼亚.                   14'第14分钟，阿森纳卷土重来，卡索拉前场断球后禁区弧顶射门被对方后卫封堵
16'罗布森-卡努为雷丁在右路,赢得一个任意球.                   14'第14分钟，阿森纳卷土重来，卡索拉前场断球后禁区弧顶射门被对方后卫封堵
16'阿森纳球员蒙雷亚尔拼抢犯规,对手获得控球权.                   14'第14分钟，阿森纳卷土重来，卡索拉前场断球后禁区弧顶射门被对方后卫封堵
17'雷丁球员罗布森-卡努拼抢犯规,对手获得控球权.                   14'第14分钟，阿森纳卷土重来，卡索拉前场断球后禁区弧顶射门被对方后卫封堵
17'蒙雷亚尔为阿森纳赢得一个任意球.                   14'第14分钟，阿森纳卷土重来，卡索拉前场断球后禁区弧顶射门被对方后卫封堵
18'阿森纳球员吉鲁大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿尔特塔.                   18'第18分钟，阿森纳险些破门，阿尔特塔后场长传，吉鲁禁区内试图挑射被对方门将撞倒后倒地不起
20'肖雷将球处理出底线,阿森纳获得角球.                   18'第18分钟，阿森纳险些破门，阿尔特塔后场长传，吉鲁禁区内试图挑射被对方门将撞倒后倒地不起
20'博格雷布尼亚克将球处理出底线,阿森纳获得角球.                   18'第18分钟，阿森纳险些破门，阿尔特塔后场长传，吉鲁禁区内试图挑射被对方门将撞倒后倒地不起
21'阿森纳球员拉姆塞一脚直塞球给吉鲁,但是边裁举旗显示后者已经越位.                   18'第18分钟，阿森纳险些破门，阿尔特塔后场长传，吉鲁禁区内试图挑射被对方门将撞倒后倒地不起
21'阿森纳球员吉鲁大禁区外左脚射门,被防守球员封堵.给他传球的是拉姆塞.                   18'第18分钟，阿森纳险些破门，阿尔特塔后场长传，吉鲁禁区内试图挑射被对方门将撞倒后倒地不起
35'雷丁球员莱杰伍德拼抢犯规,对手获得控球权.                   35'第35分钟，雷丁队莱格特伍德中圈附近凶狠铲倒拉姆塞，裁判只给予了口头警告
35'拉姆塞为阿森纳在对方半场,赢得一个任意球.                   35'第35分钟，雷丁队莱格特伍德中圈附近凶狠铲倒拉姆塞，裁判只给予了口头警告
36'阿森纳球员热尔维尼奥手球犯规,对手获得球权.                   35'第35分钟，雷丁队莱格特伍德中圈附近凶狠铲倒拉姆塞，裁判只给予了口头警告
37'阿森纳球员拉姆塞大禁区右侧右脚射门,被防守球员封堵.给他传球的是罗西基.                   35'第35分钟，雷丁队莱格特伍德中圈附近凶狠铲倒拉姆塞，裁判只给予了口头警告
37'马里亚帕将球处理出底线,阿森纳获得角球.                   35'第35分钟，雷丁队莱格特伍德中圈附近凶狠铲倒拉姆塞，裁判只给予了口头警告
37'阿森纳球员吉鲁大禁区中央头球,被防守球员封堵.给他传球的是科斯切尔尼.                   35'第35分钟，雷丁队莱格特伍德中圈附近凶狠铲倒拉姆塞，裁判只给予了口头警告
38'阿森纳球员热尔维尼奥大禁区中央左脚射门,被防守球员封堵.                   35'第35分钟，雷丁队莱格特伍德中圈附近凶狠铲倒拉姆塞，裁判只给予了口头警告
38'阿森纳球员卡佐拉大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉姆塞.                   35'第35分钟，雷丁队莱格特伍德中圈附近凶狠铲倒拉姆塞，裁判只给予了口头警告
