3'今天的比赛对两队来说都是非常的关键                   3'狼堡开场仅3分钟错失良机，克鲁泽头球后蹭，但许尔勒12码处单刀凌空扫射高出
3'开场后两队踢的也是比较谨慎                   3'狼堡开场仅3分钟错失良机，克鲁泽头球后蹭，但许尔勒12码处单刀凌空扫射高出
3'阿诺尔德中场拿球给到右路                   3'狼堡开场仅3分钟错失良机，克鲁泽头球后蹭，但许尔勒12码处单刀凌空扫射高出
3'沃尔夫斯堡右路传球送禁区                   3'狼堡开场仅3分钟错失良机，克鲁泽头球后蹭，但许尔勒12码处单刀凌空扫射高出
3'克鲁泽头球摆渡下来                   3'狼堡开场仅3分钟错失良机，克鲁泽头球后蹭，但许尔勒12码处单刀凌空扫射高出
4'许尔勒这边是单刀凌空打门！！                   3'狼堡开场仅3分钟错失良机，克鲁泽头球后蹭，但许尔勒12码处单刀凌空扫射高出
4'这球打高了                   3'狼堡开场仅3分钟错失良机，克鲁泽头球后蹭，但许尔勒12码处单刀凌空扫射高出
4'许尔勒这边有一个非常好的机会                   3'狼堡开场仅3分钟错失良机，克鲁泽头球后蹭，但许尔勒12码处单刀凌空扫射高出
4'克鲁泽的头球摆渡非常的小                   3'狼堡开场仅3分钟错失良机，克鲁泽头球后蹭，但许尔勒12码处单刀凌空扫射高出
11'曼联进球了！！                   10'曼联第10分钟取得领先，马塔送出直传，反越位成功的马夏尔禁区左肋10码处单刀捅射远角入网
11'马夏尔！！                   10'曼联第10分钟取得领先，马塔送出直传，反越位成功的马夏尔禁区左肋10码处单刀捅射远角入网
11' 马塔前场送直塞到禁区内，马夏尔及时跟进到了禁区里，推射远角得分！！                   10'曼联第10分钟取得领先，马塔送出直传，反越位成功的马夏尔禁区左肋10码处单刀捅射远角入网
12'这球慢镜头来看也不越位                   10'曼联第10分钟取得领先，马塔送出直传，反越位成功的马夏尔禁区左肋10码处单刀捅射远角入网
12'马塔传球的这下，沃尔夫斯堡这边也是没人干预                   10'曼联第10分钟取得领先，马塔送出直传，反越位成功的马夏尔禁区左肋10码处单刀捅射远角入网
13'曼联的开局非常好                   10'曼联第10分钟取得领先，马塔送出直传，反越位成功的马夏尔禁区左肋10码处单刀捅射远角入网
13'曼联的开局非常好                   13'但沃尔夫斯堡第13分钟扳平，里卡多-罗德里格斯任意球传入禁区，纳尔多12码处凌空扫射入右下角，1-1
14'沃尔夫斯堡瞬间扳平了比分！！！                   13'但沃尔夫斯堡第13分钟扳平，里卡多-罗德里格斯任意球传入禁区，纳尔多12码处凌空扫射入右下角，1-1
14'纳尔多！！                   13'但沃尔夫斯堡第13分钟扳平，里卡多-罗德里格斯任意球传入禁区，纳尔多12码处凌空扫射入右下角，1-1
14'沃尔夫斯堡右路任意球送禁区内，纳尔多跟进推射近角破门！！                   13'但沃尔夫斯堡第13分钟扳平，里卡多-罗德里格斯任意球传入禁区，纳尔多12码处凌空扫射入右下角，1-1
14'德赫亚这边虽然做出了反应，但是没有碰到球                   13'但沃尔夫斯堡第13分钟扳平，里卡多-罗德里格斯任意球传入禁区，纳尔多12码处凌空扫射入右下角，1-1
16'曼联这边反击再来                   13'但沃尔夫斯堡第13分钟扳平，里卡多-罗德里格斯任意球传入禁区，纳尔多12码处凌空扫射入右下角，1-1
16'马夏尔左路横敲到门前                   13'但沃尔夫斯堡第13分钟扳平，里卡多-罗德里格斯任意球传入禁区，纳尔多12码处凌空扫射入右下角，1-1
16'马塔这边禁区内抢点没有碰到                   13'但沃尔夫斯堡第13分钟扳平，里卡多-罗德里格斯任意球传入禁区，纳尔多12码处凌空扫射入右下角，1-1
16'这球也是非常的危险                   13'但沃尔夫斯堡第13分钟扳平，里卡多-罗德里格斯任意球传入禁区，纳尔多12码处凌空扫射入右下角，1-1
16'罗德里格斯这边出现伤病                   13'但沃尔夫斯堡第13分钟扳平，里卡多-罗德里格斯任意球传入禁区，纳尔多12码处凌空扫射入右下角，1-1
29'2-1！！！                   29'沃尔夫斯堡第29分钟反超比分，德拉克斯勒右路内切轻松晃过施魏因斯泰格，他在踢墙配合后禁区右肋引出德赫亚后无私横传，无人贴防的维埃里尼亚小禁区前轻松打入空门，2-1
30'维埃里尼亚！！                   29'沃尔夫斯堡第29分钟反超比分，德拉克斯勒右路内切轻松晃过施魏因斯泰格，他在踢墙配合后禁区右肋引出德赫亚后无私横传，无人贴防的维埃里尼亚小禁区前轻松打入空门，2-1
31'沃尔夫斯堡从后场开始连续的撞墙配合到了禁区弧顶，德拉克斯勒送直塞到禁区内，队友前插形成单刀，面对德赫亚，在分球出来，维埃里尼亚推射空门将球打进！！                   29'沃尔夫斯堡第29分钟反超比分，德拉克斯勒右路内切轻松晃过施魏因斯泰格，他在踢墙配合后禁区右肋引出德赫亚后无私横传，无人贴防的维埃里尼亚小禁区前轻松打入空门，2-1
44'曼联换人，达米安下，杰克逊上！                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
44'杰克逊是一名97年的球员                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
45'曼联前场抢断                   43'第43分钟，博斯维克-杰克逊替换受伤的达米安出场
