46'下半场比赛开始！！                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
46'下半场比赛由巴萨开球！！                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
46'巴萨中场拿球                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
46'莱加内斯这边上来不过半场                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
46'巴萨传递来寻找空挡                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
46'登贝莱背身拿球被捅了一下                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
47'罗贝托边路拿球被踢倒                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
47'罗贝托停球有些大                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
47'双方争抢球的时候直接踢到了罗贝托护腿板上                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
48'奥斯卡要注意一下自己的动作了                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
48'库蒂尼奥左路拿球被破坏                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
48'巴萨前场耐心的寻找着机会                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
49'巴萨有球员受伤倒地                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
49'布斯廷萨被裁判补了一张黄牌！！                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
49'布斯廷萨从身后放倒了登贝莱                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
49'慢动作回放，布斯廷萨踩到了登贝莱的后脚跟                   46'1分钟后，库蒂尼奥横传，梅西禁区边缘的射门正入奎利亚尔下怀
47'罗贝托边路拿球被踢倒                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
47'罗贝托停球有些大                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
47'双方争抢球的时候直接踢到了罗贝托护腿板上                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
48'奥斯卡要注意一下自己的动作了                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
48'库蒂尼奥左路拿球被破坏                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
48'巴萨前场耐心的寻找着机会                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
49'巴萨有球员受伤倒地                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
49'布斯廷萨被裁判补了一张黄牌！！                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
49'布斯廷萨从身后放倒了登贝莱                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
49'慢动作回放，布斯廷萨踩到了登贝莱的后脚跟                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
50'也是一个危险动作                   47'莱加内斯2分钟连入2球反超比分，第52分钟，霍纳桑-席尔瓦左路接直传后下底传中，维尔马伦盯人失误，埃尔萨尔小禁区边缘头球破门
80'巴萨将球给到禁区里                   80'第80分钟，苏亚雷斯传球，库蒂尼奥15码处劲射被扑出，拉基蒂奇小禁区前凌空弹射又被奎利亚尔神勇救出
80'奎利亚尔做出关键扑救啊                   80'第80分钟，苏亚雷斯传球，库蒂尼奥15码处劲射被扑出，拉基蒂奇小禁区前凌空弹射又被奎利亚尔神勇救出
80'巴萨的角球机会                   80'第80分钟，苏亚雷斯传球，库蒂尼奥15码处劲射被扑出，拉基蒂奇小禁区前凌空弹射又被奎利亚尔神勇救出
80'角球送中路                   80'第80分钟，苏亚雷斯传球，库蒂尼奥15码处劲射被扑出，拉基蒂奇小禁区前凌空弹射又被奎利亚尔神勇救出
80'奎利亚尔直接将球摘到                   80'第80分钟，苏亚雷斯传球，库蒂尼奥15码处劲射被扑出，拉基蒂奇小禁区前凌空弹射又被奎利亚尔神勇救出
80'全场比赛已经来到了80分钟                   80'第80分钟，苏亚雷斯传球，库蒂尼奥15码处劲射被扑出，拉基蒂奇小禁区前凌空弹射又被奎利亚尔神勇救出
81'巴萨能否扳平比分                   80'第80分钟，苏亚雷斯传球，库蒂尼奥15码处劲射被扑出，拉基蒂奇小禁区前凌空弹射又被奎利亚尔神勇救出
