9'长春亚泰队中路突破，对方犯规啦，任意球                   8'第8分钟，瓦尔特禁区前吸引防守后将球推至边路，亚泰队右路传中直接出底线
10'任意球发到禁区内，顾超把球没收                   8'第8分钟，瓦尔特禁区前吸引防守后将球推至边路，亚泰队右路传中直接出底线
11'杭州绿城队进球啦！！拉蒙，1-0！！                   8'第8分钟，瓦尔特禁区前吸引防守后将球推至边路，亚泰队右路传中直接出底线
11'杭州绿城队进球啦！！拉蒙，1-0！！                   11'杭州绿城在第11分钟打破僵局――阿甘在左路利用个人能力强行过掉吕建军后在底线附近外脚背传中，门前包抄的拉蒙轻松推射入网，1-0
12'阿甘左路突破横传门前，拉蒙抢点劲射破门得分！！宋振瑜已经扑倒在地！                   11'杭州绿城在第11分钟打破僵局――阿甘在左路利用个人能力强行过掉吕建军后在底线附近外脚背传中，门前包抄的拉蒙轻松推射入网，1-0
13'今天长春亚泰队状态不佳！                   11'杭州绿城在第11分钟打破僵局――阿甘在左路利用个人能力强行过掉吕建军后在底线附近外脚背传中，门前包抄的拉蒙轻松推射入网，1-0
13'杭州绿城队有些反客为主的意思！！                   11'杭州绿城在第11分钟打破僵局――阿甘在左路利用个人能力强行过掉吕建军后在底线附近外脚背传中，门前包抄的拉蒙轻松推射入网，1-0
13'用户2675497364：绿城加油![回复]已经进球了啦！！                   11'杭州绿城在第11分钟打破僵局――阿甘在左路利用个人能力强行过掉吕建军后在底线附近外脚背传中，门前包抄的拉蒙轻松推射入网，1-0
14'杭州绿城队右路攻过中场，对方把球开回来                   11'杭州绿城在第11分钟打破僵局――阿甘在左路利用个人能力强行过掉吕建军后在底线附近外脚背传中，门前包抄的拉蒙轻松推射入网，1-0
14'杭州绿城队攻势不减啊！！                   11'杭州绿城在第11分钟打破僵局――阿甘在左路利用个人能力强行过掉吕建军后在底线附近外脚背传中，门前包抄的拉蒙轻松推射入网，1-0
15'杭州绿城队攻到前场，直传球被对方破坏                   15'第15分钟，贝切莱边路内切后大力抽射被顾超倒地扑住
15'后场长春亚泰队得球，大脚长传前场                   15'第15分钟，贝切莱边路内切后大力抽射被顾超倒地扑住
16'长春亚泰队右路斜传门前，顾超轻松把球没收！                   15'第15分钟，贝切莱边路内切后大力抽射被顾超倒地扑住
17'阿甘左路横传，对方把球挡出                   15'第15分钟，贝切莱边路内切后大力抽射被顾超倒地扑住
18'曹添堡左路带球突破，谢鹏飞铲球犯规                   15'第15分钟，贝切莱边路内切后大力抽射被顾超倒地扑住
18'长春亚泰队得到前场左路任意球机会                   15'第15分钟，贝切莱边路内切后大力抽射被顾超倒地扑住
20'这津科，是卧底吗？险些乌龙！                   20'第20分钟绿城输送单刀球，拉蒙获得单刀球机会，但他的打门被宋振瑜奋力扑救
21'杭州绿城队挑传禁区，拉蒙快速插上胸部停球，被宋振瑜没收！                   20'第20分钟绿城输送单刀球，拉蒙获得单刀球机会，但他的打门被宋振瑜奋力扑救
22'长春亚泰队右路攻到前场，对方把球开回中场                   20'第20分钟绿城输送单刀球，拉蒙获得单刀球机会，但他的打门被宋振瑜奋力扑救
22'津科的头球解围顶到横梁，弹下来进入网内！！算进啦！！！                   20'第20分钟绿城输送单刀球，拉蒙获得单刀球机会，但他的打门被宋振瑜奋力扑救
22'从慢镜看，整体进入球门线以内！！！                   20'第20分钟绿城输送单刀球，拉蒙获得单刀球机会，但他的打门被宋振瑜奋力扑救
23'长春亚泰队右路斜传禁区，顾超出击赶在曹添堡之前把球没收！                   20'第20分钟绿城输送单刀球，拉蒙获得单刀球机会，但他的打门被宋振瑜奋力扑救
23'中后场长春亚泰队断球                   20'第20分钟绿城输送单刀球，拉蒙获得单刀球机会，但他的打门被宋振瑜奋力扑救
23'走右路进攻                   20'第20分钟绿城输送单刀球，拉蒙获得单刀球机会，但他的打门被宋振瑜奋力扑救
30'汪嵩左路下底横传，拉蒙顶到了，但在横传之前球已经出底线                   30'第30分钟拉蒙门前获得头球攻门的良机，但同样被判为越位
31'阎峰右路接队友传球，拉蒙争顶犯规！                   30'第30分钟拉蒙门前获得头球攻门的良机，但同样被判为越位
32'长春亚泰队右路长传，再分边                   30'第30分钟拉蒙门前获得头球攻门的良机，但同样被判为越位
32'贝奇拉耶右路突破下底横传，伊格莱西亚斯抢到点打门，被挡出底线                   30'第30分钟拉蒙门前获得头球攻门的良机，但同样被判为越位
33'角球发到禁区内！！贝奇拉耶劲射被挡出来，伊斯梅洛夫抢点打门又被朱出！！！                   30'第30分钟拉蒙门前获得头球攻门的良机，但同样被判为越位
33'长春亚泰队得到了角球机会                   30'第30分钟拉蒙门前获得头球攻门的良机，但同样被判为越位
34'角球发到禁区内，进攻队员犯规啦！                   34'第34分钟闫峰将角球主罚到禁区内，贝切莱一记力量超大的甩头攻门被顾超神奇扑出，随后亚泰的打门再击中横梁
34'杭州绿城队左路长传球，出边线！                   34'第34分钟闫峰将角球主罚到禁区内，贝切莱一记力量超大的甩头攻门被顾超神奇扑出，随后亚泰的打门再击中横梁
35'界外球发出来，转移到左路进攻                   34'第34分钟闫峰将角球主罚到禁区内，贝切莱一记力量超大的甩头攻门被顾超神奇扑出，随后亚泰的打门再击中横梁
35'曹添堡突破造成对方犯规，长春亚泰队前场左路任意球机会                   34'第34分钟闫峰将角球主罚到禁区内，贝切莱一记力量超大的甩头攻门被顾超神奇扑出，随后亚泰的打门再击中横梁
35'信息量示发到禁区内，对方顶出来，跟上队员劲射被挡出                   34'第34分钟闫峰将角球主罚到禁区内，贝切莱一记力量超大的甩头攻门被顾超神奇扑出，随后亚泰的打门再击中横梁
35'吕建军外围大力远射，高出！                   34'第34分钟闫峰将角球主罚到禁区内，贝切莱一记力量超大的甩头攻门被顾超神奇扑出，随后亚泰的打门再击中横梁
36'后场长春亚泰队得球，转移到左路进攻                   34'第34分钟闫峰将角球主罚到禁区内，贝切莱一记力量超大的甩头攻门被顾超神奇扑出，随后亚泰的打门再击中横梁
37'长春亚泰队左路长传进攻，没有了机会啊，把球回传                   34'第34分钟闫峰将角球主罚到禁区内，贝切莱一记力量超大的甩头攻门被顾超神奇扑出，随后亚泰的打门再击中横梁
35'界外球发出来，转移到左路进攻                   35'第35分钟吕建军外围大力抽射打高
