7'丹尼尔中场做球被破坏                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
7'巴兰特斯回追之后反抢                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
7'孙凯左路起长传，没有过顶                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
7'马季奇逼抢刘俊楠犯规                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
7'孙凯左路助攻，横敲没有找到队友                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
8'胡鸣飞右路解围球被赵和靖破坏                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
8'丹尼尔右路拿球面对逼抢，分球                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
8'杨家威插上的传中落点不佳                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
8'球到外围，池忠国跟上远射打偏                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
9'刘俊楠右路传中，第一点没争上                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
9'乔尼抢二点，抽射打高了                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
9'乔尼有些拉伤                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
10'国安斜传左路，给大出边线                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
10'国安斜传左路，给大出边线                   10'国安躲过申鑫三板斧之后，开始展现强队实力，第10分钟国安在申鑫禁区内从左到右快速转移，但最后一脚张池明抽射打高
11'丹尼尔中场争顶犯规                   10'国安躲过申鑫三板斧之后，开始展现强队实力，第10分钟国安在申鑫禁区内从左到右快速转移，但最后一脚张池明抽射打高
11'张稀哲敲给德扬，张池明禁区前拿到                   10'国安躲过申鑫三板斧之后，开始展现强队实力，第10分钟国安在申鑫禁区内从左到右快速转移，但最后一脚张池明抽射打高
11'自己射，打高了                   10'国安躲过申鑫三板斧之后，开始展现强队实力，第10分钟国安在申鑫禁区内从左到右快速转移，但最后一脚张池明抽射打高
12'德扬禁区前拿球，被包夹，丢了                   10'国安躲过申鑫三板斧之后，开始展现强队实力，第10分钟国安在申鑫禁区内从左到右快速转移，但最后一脚张池明抽射打高
12'马季奇中场面对逼抢，转移                   10'国安躲过申鑫三板斧之后，开始展现强队实力，第10分钟国安在申鑫禁区内从左到右快速转移，但最后一脚张池明抽射打高
13'赵和靖左路拿球突，被丹尼尔拉倒，任意球                   10'国安躲过申鑫三板斧之后，开始展现强队实力，第10分钟国安在申鑫禁区内从左到右快速转移，但最后一脚张池明抽射打高
13'杨家威右路拿球，徐云龙上抢犯规                   10'国安躲过申鑫三板斧之后，开始展现强队实力，第10分钟国安在申鑫禁区内从左到右快速转移，但最后一脚张池明抽射打高
13'乔尼后场争头球，等球了，被张池明上抢                   10'国安躲过申鑫三板斧之后，开始展现强队实力，第10分钟国安在申鑫禁区内从左到右快速转移，但最后一脚张池明抽射打高
19'小灬老百姓： 国安赢了就第三吧？（是的）                   19'随着比赛进行，局面被国安控制，第19分钟陈志钊右路传中，德扬禁区内后撤步头球不仅没顶上力量，似乎还弄伤了自己
19'杨家威中场拿球摆脱，张稀哲逼抢破坏                   19'随着比赛进行，局面被国安控制，第19分钟陈志钊右路传中，德扬禁区内后撤步头球不仅没顶上力量，似乎还弄伤了自己
20'张池明中场拿球分右路，给小了，被断                   19'随着比赛进行，局面被国安控制，第19分钟陈志钊右路传中，德扬禁区内后撤步头球不仅没顶上力量，似乎还弄伤了自己
20'马季奇转移右路，李运秋上来传中                   19'随着比赛进行，局面被国安控制，第19分钟陈志钊右路传中，德扬禁区内后撤步头球不仅没顶上力量，似乎还弄伤了自己
20'中路德扬的争顶头球攻门被门将拿到                   19'随着比赛进行，局面被国安控制，第19分钟陈志钊右路传中，德扬禁区内后撤步头球不仅没顶上力量，似乎还弄伤了自己
21'德扬争顶时有些碰撞，头顶在了黄威的头上                   19'随着比赛进行，局面被国安控制，第19分钟陈志钊右路传中，德扬禁区内后撤步头球不仅没顶上力量，似乎还弄伤了自己
21'缓一缓，下场接受治疗                   19'随着比赛进行，局面被国安控制，第19分钟陈志钊右路传中，德扬禁区内后撤步头球不仅没顶上力量，似乎还弄伤了自己
22'乔尼长传前场，丹尼尔没有争顶到                   19'随着比赛进行，局面被国安控制，第19分钟陈志钊右路传中，德扬禁区内后撤步头球不仅没顶上力量，似乎还弄伤了自己
33'马季奇分右路，李运秋拿球回敲                   33'第33分钟河大成外围远射高飞出界
34'巴塔拉横敲禁区，德扬转身被解围                   33'第33分钟河大成外围远射高飞出界
34'河大成禁区外选择远射，偏了                   33'第33分钟河大成外围远射高飞出界
35'巴塔拉接应长传，球先出了边线                   33'第33分钟河大成外围远射高飞出界
35'巴兰特斯中路拿球反击                   33'第33分钟河大成外围远射高飞出界
35'低平球斜传右路插上的杨家威，单刀                   33'第33分钟河大成外围远射高飞出界
36'这次选择传，被赵和靖铲截飞向球门                   33'第33分钟河大成外围远射高飞出界
36'杨智单掌托出，角球                   33'第33分钟河大成外围远射高飞出界
36'角球到后点，黄威抢点没打上                   33'第33分钟河大成外围远射高飞出界
