1'国际米兰球员利亚伊奇大禁区外右脚射门,被防守球员封堵.给他传球的是约维蒂奇.                   1'国米第1分钟接连尝试远射
2'Luca Paganini将球处理出底线,国际米兰获得角球.                   1'国米第1分钟接连尝试远射
2'国际米兰球员孔多比亚大禁区外右脚射门,被防守球员封堵.给他传球的是梅洛.                   1'国米第1分钟接连尝试远射
4'弗罗西诺内球员Luca Paganini拼抢犯规,对手获得控球权.                   1'国米第1分钟接连尝试远射
4'Alex Telles为国际米兰赢得一个任意球.                   1'国米第1分钟接连尝试远射
29'国际米兰球员约维蒂奇大禁区外右脚射门,被防守球员封堵.给他传球的是利亚伊奇.                   29'国米第29分钟取得领先
29'射门!!!国际米兰球员利亚伊奇大禁区外右脚射门,被对方守门员横身扑出.                   29'国米第29分钟取得领先
29'进球啦！！！国际米兰球员比亚比亚尼大禁区中央右脚射门,球从右上角飞进球门,球进了! 国际米兰 1-0 弗罗西诺内.                   29'国米第29分钟取得领先
30'穆利洛将球处理出底线,弗罗西诺内获得角球.                   29'国米第29分钟取得领先
32'西奧法尼为弗罗西诺内在对方半场,赢得一个任意球.                   29'国米第29分钟取得领先
32'国际米兰球员孔多比亚危险动作,对手获得控球权.                   29'国米第29分钟取得领先
53'进球啦！！！国际米兰球员伊卡尔迪球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是利亚伊奇. 国际米兰 2-0 弗罗西诺内.                   53'下半时开始后，国米顶住对方反扑，第53分钟扩大比分
56'国际米兰球员利亚伊奇大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是约维蒂奇.                   53'下半时开始后，国米顶住对方反扑，第53分钟扩大比分
75'射门!!!国际米兰球员伊卡尔迪大禁区外右脚射门,被对方守门员横身扑出.                   75'第75分钟，伊卡尔迪禁区前沿弧线球被莱亚利摘到
76'弗罗西诺内球员西奧法尼拼抢犯规,对手获得控球权.                   75'第75分钟，伊卡尔迪禁区前沿弧线球被莱亚利摘到
76'拉诺齐亚为国际米兰赢得一个任意球.                   75'第75分钟，伊卡尔迪禁区前沿弧线球被莱亚利摘到
77'弗罗西诺内换人,隆戈换下西奧法尼                   75'第75分钟，伊卡尔迪禁区前沿弧线球被莱亚利摘到
77'弗罗西诺内换人,古切尔换下戈里                   75'第75分钟，伊卡尔迪禁区前沿弧线球被莱亚利摘到
87'进球啦！！！国际米兰球员穆利洛大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是约维蒂奇. 国际米兰 3-0 弗罗西诺内.                   87'第87分钟，佩里希奇直塞禁区右侧，约维蒂奇脚后跟磕向中路，穆里略在门前9米处推射从莱亚利裆下入网，3比0
88'国际米兰换人,布罗佐维奇换下伊卡尔迪                   87'第87分钟，佩里希奇直塞禁区右侧，约维蒂奇脚后跟磕向中路，穆里略在门前9米处推射从莱亚利裆下入网，3比0
89'弗罗西诺内球员萨马科拼抢犯规,对手获得控球权.                   87'第87分钟，佩里希奇直塞禁区右侧，约维蒂奇脚后跟磕向中路，穆里略在门前9米处推射从莱亚利裆下入网，3比0
89'约维蒂奇为国际米兰在对方半场,赢得一个任意球.                   87'第87分钟，佩里希奇直塞禁区右侧，约维蒂奇脚后跟磕向中路，穆里略在门前9米处推射从莱亚利裆下入网，3比0
90'索迪莫为弗罗西诺内赢得一个任意球.                   87'第87分钟，佩里希奇直塞禁区右侧，约维蒂奇脚后跟磕向中路，穆里略在门前9米处推射从莱亚利裆下入网，3比0
90'国际米兰球员布罗佐维奇拼抢犯规,对手获得控球权.                   87'第87分钟，佩里希奇直塞禁区右侧，约维蒂奇脚后跟磕向中路，穆里略在门前9米处推射从莱亚利裆下入网，3比0
90'+2'克里维洛为弗罗西诺内赢得一个任意球.                   87'第87分钟，佩里希奇直塞禁区右侧，约维蒂奇脚后跟磕向中路，穆里略在门前9米处推射从莱亚利裆下入网，3比0
90'+2'国际米兰球员佩里西奇拼抢犯规,对手获得控球权.                   87'第87分钟，佩里希奇直塞禁区右侧，约维蒂奇脚后跟磕向中路，穆里略在门前9米处推射从莱亚利裆下入网，3比0
90'+2'进球啦！！！国际米兰球员布罗佐维奇大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是利亚伊奇. 国际米兰 4-0 弗罗西诺内.                   87'第87分钟，佩里希奇直塞禁区右侧，约维蒂奇脚后跟磕向中路，穆里略在门前9米处推射从莱亚利裆下入网，3比0
90'+3'下半场结束,国际米兰 4-0 弗罗西诺内                   87'第87分钟，佩里希奇直塞禁区右侧，约维蒂奇脚后跟磕向中路，穆里略在门前9米处推射从莱亚利裆下入网，3比0
47'弗罗西诺内球员Nicolás Castillo拼抢犯规,对手获得控球权.                   47'补时第2分钟，利亚伊奇分球，布罗佐维奇右侧距门10米处推进远角，4比0
47'穆利洛为国际米兰赢得一个任意球.                   47'补时第2分钟，利亚伊奇分球，布罗佐维奇右侧距门10米处推进远角，4比0
48'西奧法尼为弗罗西诺内在对方半场,赢得一个任意球.                   47'补时第2分钟，利亚伊奇分球，布罗佐维奇右侧距门10米处推进远角，4比0
48'国际米兰球员米兰达拼抢犯规,对手获得控球权.                   47'补时第2分钟，利亚伊奇分球，布罗佐维奇右侧距门10米处推进远角，4比0
48'梅洛将球处理出底线,弗罗西诺内获得角球.                   47'补时第2分钟，利亚伊奇分球，布罗佐维奇右侧距门10米处推进远角，4比0
49'比亚比亚尼将球处理出底线,弗罗西诺内获得角球.                   47'补时第2分钟，利亚伊奇分球，布罗佐维奇右侧距门10米处推进远角，4比0
49'弗罗西诺内球员布兰恰尔拼抢犯规,对手获得控球权.                   47'补时第2分钟，利亚伊奇分球，布罗佐维奇右侧距门10米处推进远角，4比0
