3'科恩特朗禁区外左侧杀过来，传中到禁区内，贝尔凌空直接一脚爆射，，直奔远端死角                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
4'这球贝尔完成的太精彩了，没想到会直接射，大圣                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
4'科普津斯基中路给到吉列尔梅，低传直塞向前找尼克尼奇                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
5'科瓦契奇把球拦截，挑传向前给C罗                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
5'斜传到右路找贝尔，在分到卡瓦哈尔                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
5'右路插上，突破被赫劳塞克断下                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
6'前场长传给尼克尼奇，转身带出了边线                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
6'卡瓦哈尔右侧边线球给到科瓦契奇                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
6'左侧在给科恩特朗，后场控球，在给纳乔                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
6'横敲瓦拉内，中间在给本泽马，回撤接应                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
6'护球转身，推给禁区弧顶位置，被帕兹丹破坏                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
35'传中到禁区，被纳瓦斯没收                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
35'卡瓦哈尔后场给到瓦拉内，挑传到身前克罗斯，被对方抢断                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
36'华沙反击，右侧找拉多维奇，，但是被吹了越位                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
36'瓦拉内发球出来给卡瓦哈尔                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
36'在分到纳乔，回敲门将纳瓦斯                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
36'大脚开出给到克罗斯，在给瓦拉内，交给科瓦契奇                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
37'前场找到莫拉塔，分给中路本泽马                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
37'挑传到禁区内，莫拉塔还在分球，被帕兹丹破坏                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
37'两名大中锋玩起了细腻的花活                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
37'贝尔右侧带球插上，倒三角给到中间                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
37'本泽马破门                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
37'皇马不温不火，扩大战果                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
38'..禁区右侧贝尔强突进来，倒三角准确给到门前喂饼，本泽马一脚小弧线低射入网                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
38'吉列尔梅拿球，回敲帕兹丹                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
38'右边路在给贝雷斯兹尼奇，回敲泽尼萨克                   35'皇马第35分钟扩大比分，贝尔切入禁区右侧回传，本泽马12码处第一时间推射右下角入网，2-0
40'C罗胸部一停，接着就射，，，近角被马拉兹封堵                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
40'克罗斯战术角球                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
40'贝尔右翼突破被帕兹丹断下                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
41'前场给到科普津斯基，横传转移，直接出界                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
41'瓦拉内中场低传有点大意，被尼克尼奇断了                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
41'右侧给贝雷斯兹尼奇，带球往前突破                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
42'中路在给奥福奥，近期外围一脚轰门，，有了                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
42'奥福奥世界波破门搬回一城                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
43'贝雷斯兹尼奇右侧带球上来，禁区外给到奥福奥，闪转腾挪突破到了禁区弧顶，一脚抽射，直钻左上角                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
43'皇马后场控球，左侧纳乔在给克罗斯                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
43'长传到右路贝尔，传中到禁区被门将没收                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
