8'地滚球传中，费尔曼倒地将球拿住                   8'开场8分钟，拜仁首次射正就取得领先
8'大脚开上来                   8'开场8分钟，拜仁首次射正就取得领先
8'被顶一下                   8'开场8分钟，拜仁首次射正就取得领先
8'格雷茨卡分给J罗                   8'开场8分钟，拜仁首次射正就取得领先
8'再交给基米希，再回传，球被卡利朱里伸脚拔出边线                   8'开场8分钟，拜仁首次射正就取得领先
8'基米希的直传，球被萨内破坏出底线                   8'开场8分钟，拜仁首次射正就取得领先
8'拜仁获得一个前场右路的角球机会                   8'开场8分钟，拜仁首次射正就取得领先
9'球进了，J罗！                   8'开场8分钟，拜仁首次射正就取得领先
9'基米希发出角球到前点，J 罗抢点头球顶了一个弹地球入网！                   8'开场8分钟，拜仁首次射正就取得领先
9'这是J罗在本赛季德甲第二个进球                   8'开场8分钟，拜仁首次射正就取得领先
10'真是相当轻松                   8'开场8分钟，拜仁首次射正就取得领先
10'拜仁的控球，诺伊尔开大脚上来                   8'开场8分钟，拜仁首次射正就取得领先
10'被卡利朱里顶一下                   8'开场8分钟，拜仁首次射正就取得领先
10'中场争夺                   8'开场8分钟，拜仁首次射正就取得领先
10'卡利朱里直传，给大了，聚勒回传给门将诺伊尔                   8'开场8分钟，拜仁首次射正就取得领先
10'阿拉巴的斜长传，蒂亚戈回做一下                   8'开场8分钟，拜仁首次射正就取得领先
11'基米希控球                   8'开场8分钟，拜仁首次射正就取得领先
11'回传给胡梅尔斯                   8'开场8分钟，拜仁首次射正就取得领先
11'不断的传球，格雷茨卡分右侧的J罗，直传过不了纳斯塔西奇                   8'开场8分钟，拜仁首次射正就取得领先
11'蒂亚戈回传给诺伊尔                   8'开场8分钟，拜仁首次射正就取得领先
11'再交给阿拉巴                   8'开场8分钟，拜仁首次射正就取得领先
25'阿拉巴左路斜传到禁区前沿                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
25'莱万多夫斯基得球直传                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
25'J罗插上面对门将将球一挑，可惜了，球打在门将身体上                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
26'阿拉巴交给蒂亚戈，直传过不了卡利朱里                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
26'卡利朱里事到禁区内，打了一个前滚翻                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
26'裁判没有任何表示                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
26'外围还是沙尔克04控球                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
26'萨内长传到对方禁区，胡梅尔斯头球解围                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
27'阿拉巴控球交给聚勒                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
27'交给基米希                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
27'回传给胡梅尔斯                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
27'再交给阿拉巴                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
27'分左侧的里贝里                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
27'蒂亚戈推进，分左侧的里贝里                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
27'变向，过不了卡利朱里                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
