17'横向的转移险些失误                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
17'维拉右路起球送禁区内                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
17'本特克头球攻门                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
17'这球没有顶上力量                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
17'距离还是稍微有些远                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
18'利物浦中场传球送直塞                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
18'莫雷诺插上后到禁区内推射入网                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
18'但这球先越位了                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
18'维拉这边也有机会                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
18'维拉左路起球送禁区内，斯科特尔头球顶出底线                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
18'维拉角球机会                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
19'角球送禁区中路，太靠近门将了                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
19'米尼奥莱将球摘了下来                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
19'利物浦这边又越位了                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
20'哈顿中场拿球被断                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
24'维拉这边后场防守犯规                   24'利物浦第24分钟取得领先，亨德森禁区右侧边缘传中，无人防守的博里尼小禁区边缘凌空捅射打入近2年来为利物浦效力的首粒入球
24'利物浦右路策动攻势                   24'利物浦第24分钟取得领先，亨德森禁区右侧边缘传中，无人防守的博里尼小禁区边缘凌空捅射打入近2年来为利物浦效力的首粒入球
24'利物浦进球了！！                   24'利物浦第24分钟取得领先，亨德森禁区右侧边缘传中，无人防守的博里尼小禁区边缘凌空捅射打入近2年来为利物浦效力的首粒入球
25'博里尼！！                   24'利物浦第24分钟取得领先，亨德森禁区右侧边缘传中，无人防守的博里尼小禁区边缘凌空捅射打入近2年来为利物浦效力的首粒入球
25'亨德森右路起球送禁区中路，博里尼飞身后将球揣进了球门！                   24'利物浦第24分钟取得领先，亨德森禁区右侧边缘传中，无人防守的博里尼小禁区边缘凌空捅射打入近2年来为利物浦效力的首粒入球
26'此时此刻值得来杯嘉士伯                   24'利物浦第24分钟取得领先，亨德森禁区右侧边缘传中，无人防守的博里尼小禁区边缘凌空捅射打入近2年来为利物浦效力的首粒入球
27'利物浦中场又是长传打到前场                   24'利物浦第24分钟取得领先，亨德森禁区右侧边缘传中，无人防守的博里尼小禁区边缘凌空捅射打入近2年来为利物浦效力的首粒入球
