1'上半场比赛开始！！                   1'里昂继续在第1分钟摆出铁桶阵
1'巴萨中场拿球回敲                   1'里昂继续在第1分钟摆出铁桶阵
2'里昂的拼抢也是很积极                   1'里昂继续在第1分钟摆出铁桶阵
2'罗贝托将球转移出来                   1'里昂继续在第1分钟摆出铁桶阵
2'巴萨的反击                   1'里昂继续在第1分钟摆出铁桶阵
2'中场被拦截了                   1'里昂继续在第1分钟摆出铁桶阵
3'巴萨左路传球给到禁区                   1'里昂继续在第1分钟摆出铁桶阵
3'安东尼-洛佩斯出击                   1'里昂继续在第1分钟摆出铁桶阵
3'稳稳的将球抱住                   1'里昂继续在第1分钟摆出铁桶阵
3'梅西中场拿球被包夹                   1'里昂继续在第1分钟摆出铁桶阵
3'裁判吹了里昂的拦截犯规                   1'里昂继续在第1分钟摆出铁桶阵
4'梅西禁区弧顶接球                   1'里昂继续在第1分钟摆出铁桶阵
4'接球后稍作调整                   1'里昂继续在第1分钟摆出铁桶阵
4'禁区外围起左脚打门                   1'里昂继续在第1分钟摆出铁桶阵
4'安东尼-洛佩斯送出精彩扑救                   1'里昂继续在第1分钟摆出铁桶阵
4'巴萨的角球                   1'里昂继续在第1分钟摆出铁桶阵
4'角球送后点                   1'里昂继续在第1分钟摆出铁桶阵
17'巴萨获得点球！！                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
17'梅西来主罚                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
17'梅西打了一个勺子点球！！！                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
18'1-0！！！                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
18'安东尼-洛佩斯被骗了过去！！                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
18'巴萨取得领先了                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
18'这样比赛将不会有加时！！                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
18'里昂现在想要晋级就必须要进球                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
18'而他们只要客场打平就可以取得晋级的机会                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
20'里昂获得角球机会                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
20'角球送后点被特尔施特根得到                   17'巴萨第17分钟取得领先，梅西直传，苏亚雷斯禁区左侧被德纳耶尔铲倒，梅西主罚勺子点球命中
21'上半场比赛进行了20分钟                   21'第21分钟，皮克长传，库蒂尼奥停球突入禁区左侧射门，安东尼-洛佩斯奋不顾身出击，皮球击打在门将脸上被挡出，安东尼-洛佩斯在场内经过数分钟治疗后继续坚持比赛
21'比分上巴萨1-0领先                   21'第21分钟，皮克长传，库蒂尼奥停球突入禁区左侧射门，安东尼-洛佩斯奋不顾身出击，皮球击打在门将脸上被挡出，安东尼-洛佩斯在场内经过数分钟治疗后继续坚持比赛
21'总比分上巴萨也是1-0领先里昂                   21'第21分钟，皮克长传，库蒂尼奥停球突入禁区左侧射门，安东尼-洛佩斯奋不顾身出击，皮球击打在门将脸上被挡出，安东尼-洛佩斯在场内经过数分钟治疗后继续坚持比赛
21'巴萨传球给到禁区                   21'第21分钟，皮克长传，库蒂尼奥停球突入禁区左侧射门，安东尼-洛佩斯奋不顾身出击，皮球击打在门将脸上被挡出，安东尼-洛佩斯在场内经过数分钟治疗后继续坚持比赛
21'库蒂尼奥加速追球                   21'第21分钟，皮克长传，库蒂尼奥停球突入禁区左侧射门，安东尼-洛佩斯奋不顾身出击，皮球击打在门将脸上被挡出，安东尼-洛佩斯在场内经过数分钟治疗后继续坚持比赛
22'安东尼-洛佩斯也是出来了                   21'第21分钟，皮克长传，库蒂尼奥停球突入禁区左侧射门，安东尼-洛佩斯奋不顾身出击，皮球击打在门将脸上被挡出，安东尼-洛佩斯在场内经过数分钟治疗后继续坚持比赛
22'结果两人撞在了一起                   21'第21分钟，皮克长传，库蒂尼奥停球突入禁区左侧射门，安东尼-洛佩斯奋不顾身出击，皮球击打在门将脸上被挡出，安东尼-洛佩斯在场内经过数分钟治疗后继续坚持比赛
22'安东尼-洛佩斯也是受伤                   21'第21分钟，皮克长传，库蒂尼奥停球突入禁区左侧射门，安东尼-洛佩斯奋不顾身出击，皮球击打在门将脸上被挡出，安东尼-洛佩斯在场内经过数分钟治疗后继续坚持比赛
22'裁判吹了巴萨的进攻犯规                   21'第21分钟，皮克长传，库蒂尼奥停球突入禁区左侧射门，安东尼-洛佩斯奋不顾身出击，皮球击打在门将脸上被挡出，安东尼-洛佩斯在场内经过数分钟治疗后继续坚持比赛
31'2-0！！！                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
32'库蒂尼奥！！                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
32'巴萨前场中路送直塞给到禁区，苏亚雷斯接球后被包夹，横敲给到无人看防的库蒂尼奥，库蒂尼奥停球后直接将球领进球门！！                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
32'对里昂来说比较困难                    31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
33'费尔南多-马萨尔得到一张黄牌！！                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
33'拦截梅西的进攻有抬肘的问题                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
33'里昂要准备换门将了                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
33'先看巴萨前场的任意球                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
33'右路起球送禁区                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
33'队友头球顶偏                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
34'里昂换人了                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
34'安东尼-洛佩斯下，格尔戈林上！                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
34'里昂也是一次被动的换人调整                   31'巴萨第31分钟扩大比分，苏亚雷斯吸引2人防守后突入禁区无私横传，库蒂尼奥捅射空门入网，2-0
52'里昂获得角球机会                   51'上半场伤停补时长达6分钟，德佩禁区左侧的射门被封堵
52'角球送前点被解围                   51'上半场伤停补时长达6分钟，德佩禁区左侧的射门被封堵
52'杜波在争抢中跟苏亚雷斯撞在 一起                   51'上半场伤停补时长达6分钟，德佩禁区左侧的射门被封堵
52'杜波受伤倒地                   51'上半场伤停补时长达6分钟，德佩禁区左侧的射门被封堵
52'但此时时间已经到了                   51'上半场伤停补时长达6分钟，德佩禁区左侧的射门被封堵
53'巴萨打得并不着急                   51'上半场伤停补时长达6分钟，德佩禁区左侧的射门被封堵
53'里昂现在办法不多                   51'上半场伤停补时长达6分钟，德佩禁区左侧的射门被封堵
53'到了中场就是攻不上去                   51'上半场伤停补时长达6分钟，德佩禁区左侧的射门被封堵
53'巴萨中场送直塞                   51'上半场伤停补时长达6分钟，德佩禁区左侧的射门被封堵
53'边裁举旗示意越位                   51'上半场伤停补时长达6分钟，德佩禁区左侧的射门被封堵
49'阿尔巴接球被穆萨-登贝莱飞铲摔倒                   47'第47分钟，阿图尔反击中突破传球，梅西10码处挑射越过门将戈尔格林，但马萨尔及时回追在门线前解围
49'穆萨-登贝莱得到一张黄牌！                   47'第47分钟，阿图尔反击中突破传球，梅西10码处挑射越过门将戈尔格林，但马萨尔及时回追在门线前解围
