1'拉齐奥球员帕罗洛一脚直塞球给马特里,但是边裁举旗显示后者已经越位.                   1'赛前为老马尔蒂尼默哀1分钟
2'坎德雷瓦将球处理出底线,罗马获得角球.                   1'赛前为老马尔蒂尼默哀1分钟
3'拉齐奥球员比舍瓦奇拼抢犯规,对手获得控球权.                   1'赛前为老马尔蒂尼默哀1分钟
3'沙拉维为罗马在左路,赢得一个任意球.                   1'赛前为老马尔蒂尼默哀1分钟
40'罗马球员萨拉赫大禁区外左脚射门,被防守球员封堵.给他传球的是纳因戈兰.                   40'罗马第40分钟几乎扩大比分，纳英戈兰禁区左侧铲断回做，皮亚尼奇在门前20米处弧线球击中右门柱
40'罗马球员皮亚尼奇大禁区外右脚射门,命中门柱右侧立柱.给他传球的是纳因戈兰.                   40'罗马第40分钟几乎扩大比分，纳英戈兰禁区左侧铲断回做，皮亚尼奇在门前20米处弧线球击中右门柱
40'罗马球员弗洛伦齐大禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是萨拉赫.                   40'罗马第40分钟几乎扩大比分，纳英戈兰禁区左侧铲断回做，皮亚尼奇在门前20米处弧线球击中右门柱
41'拉齐奥球员比格利亚拼抢犯规,对手获得控球权.                   40'罗马第40分钟几乎扩大比分，纳英戈兰禁区左侧铲断回做，皮亚尼奇在门前20米处弧线球击中右门柱
41'纳因戈兰为罗马在对方半场,赢得一个任意球.                   40'罗马第40分钟几乎扩大比分，纳英戈兰禁区左侧铲断回做，皮亚尼奇在门前20米处弧线球击中右门柱
41'罗马球员纳因戈兰被主裁判出示了一张黄牌.                   40'罗马第40分钟几乎扩大比分，纳英戈兰禁区左侧铲断回做，皮亚尼奇在门前20米处弧线球击中右门柱
42'罗马球员吕迪格大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是皮亚尼奇.                   40'罗马第40分钟几乎扩大比分，纳英戈兰禁区左侧铲断回做，皮亚尼奇在门前20米处弧线球击中右门柱
64'拉齐奥球员帕特里克拼抢犯规,对手获得控球权.                   64'罗马第64分钟扩大比分，纳英戈兰前场被放倒，罗马没有停止进攻，佩罗蒂在门前28米处大力抽射击中左门柱内侧弹回，哲科右侧距门8米处半凌空推入近角，2比0
64'佩罗蒂为罗马赢得一个任意球.                   64'罗马第64分钟扩大比分，纳英戈兰前场被放倒，罗马没有停止进攻，佩罗蒂在门前28米处大力抽射击中左门柱内侧弹回，哲科右侧距门8米处半凌空推入近角，2比0
64'罗马球员佩罗蒂大禁区外右脚射门,命中门柱左侧立柱.给他传球的是纳因戈兰.                   64'罗马第64分钟扩大比分，纳英戈兰前场被放倒，罗马没有停止进攻，佩罗蒂在门前28米处大力抽射击中左门柱内侧弹回，哲科右侧距门8米处半凌空推入近角，2比0
64'进球啦！！！罗马球员哲科大禁区中央右脚射门,球从右下角飞进球门,球进了! 拉齐奥 0-2 罗马.                   64'罗马第64分钟扩大比分，纳英戈兰前场被放倒，罗马没有停止进攻，佩罗蒂在门前28米处大力抽射击中左门柱内侧弹回，哲科右侧距门8米处半凌空推入近角，2比0
