1'上半场比赛开始！！                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
1'瓦伦西亚首发：13-内托、24-加雷、12-迪亚卡比、14-加亚、18-瓦斯、7-格德斯、6-孔多比亚、10-帕雷霍、8-索勒尔、9-加梅罗、19-罗德里戈                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
1'皇马首发：1-纳瓦斯；19-奥德里奥索拉、4-拉莫斯、5-瓦拉内、12-马塞洛；14-卡塞米罗、10-莫德里奇、8-克罗斯；17-巴斯克斯、20-阿森西奥、9-本泽马                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
2'瓦斯后场边路拦截犯规                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
2'瓦斯得到一张黄牌！                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
2'皇马前场左路的任意球                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
3'任意球给到禁区后点                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
3'拉莫斯头球蹭出了底线                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
3'拉莫斯头球的时候对方有干扰的犯规动作                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
3'但裁判没有吹                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
4'皇马后场拿球到边路                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
4'传球给到中场                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
4'孔多比亚拦截的时候犯规                   1'双方第1分钟对抗激烈，比赛因此多次因犯规吹停
35'1-0！！！                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
35'格德斯！！！                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
36'瓦伦西亚传球给到禁区弧顶，格德斯跟队友做一个撞墙配合后到了禁区里，无人看防啊，格德斯停球后稍作调整直接抽射近角破门！！                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
36'纳瓦斯做出了扑救动作                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
36'但还是没能碰到球                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
36'射门上，两队总共完成三次                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
36'瓦伦西亚仅有的一次便进球了                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
37'瓦伦西亚右侧进攻上来                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
37'边路起球送后点                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
37'加梅罗头球顶一个反弹球                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
37'没有顶好                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
38'瓦伦西亚打出了自信啊                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
38'孔多比亚禁区内爆射一脚                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
38'稍稍打高                   35'瓦伦西亚第35分钟取得领先，皇马解围角球，索莱尔传球，格德斯禁区边缘劲射左下角入网
83'2-0！！！                   83'瓦伦西亚第83分钟扩大比分，帕雷霍开出角球，加雷远点力压卡塞米罗头球破门，2-0
83'加雷！！                   83'瓦伦西亚第83分钟扩大比分，帕雷霍开出角球，加雷远点力压卡塞米罗头球破门，2-0
84'还是一个角球                   83'瓦伦西亚第83分钟扩大比分，帕雷霍开出角球，加雷远点力压卡塞米罗头球破门，2-0
84'瓦伦西亚角球送后点，加雷高高跃起力压对方后卫头球顶近角破门！！                   83'瓦伦西亚第83分钟扩大比分，帕雷霍开出角球，加雷远点力压卡塞米罗头球破门，2-0
84'两球领先的瓦伦西亚锁定胜局了吗？                   83'瓦伦西亚第83分钟扩大比分，帕雷霍开出角球，加雷远点力压卡塞米罗头球破门，2-0
93'2-1！！！                   93'皇马第93分钟挽回颜面，摩德里奇开出角球，本泽马小禁区边缘头球破门，1-2
93'本泽马！！                   93'皇马第93分钟挽回颜面，摩德里奇开出角球，本泽马小禁区边缘头球破门，1-2
94'皇马将球给到禁区中路，本泽马无人看防的情况下头球攻门将球顶进！！                   93'皇马第93分钟挽回颜面，摩德里奇开出角球，本泽马小禁区边缘头球破门，1-2
94'时间上已经没有了                   93'皇马第93分钟挽回颜面，摩德里奇开出角球，本泽马小禁区边缘头球破门，1-2
