12'罗马球员德罗西大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是麦孔.                   12'第12分钟，德罗西远射高出
14'罗马球员托蒂手球犯规,对手获得球权.                   12'第12分钟，德罗西远射高出
25'罗马球员弗洛伦齐尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是皮亚尼奇.                   25'第25分钟，弗洛伦齐超远射门偏出
25'坎德雷瓦为拉齐奥在对方半场,赢得一个任意球.                   25'第25分钟，弗洛伦齐超远射门偏出
25'罗马球员德罗西拼抢犯规,对手获得控球权.                   25'第25分钟，弗洛伦齐超远射门偏出
26'拉齐奥球员坎德雷瓦大禁区外右脚射门,被防守球员封堵.                   25'第25分钟，弗洛伦齐超远射门偏出
28'克洛泽为拉齐奥在对方半场,赢得一个任意球.                   25'第25分钟，弗洛伦齐超远射门偏出
28'罗马球员斯特罗特曼拼抢犯规,对手获得控球权.                   25'第25分钟，弗洛伦齐超远射门偏出
28'拉齐奥球员冈萨雷斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是莱德斯马.                   25'第25分钟，弗洛伦齐超远射门偏出
28'克洛泽为拉齐奥在对方半场,赢得一个任意球.                   28'第28分钟，莱德斯马直传，冈萨雷斯禁区前沿斜射偏出左门柱
28'罗马球员斯特罗特曼拼抢犯规,对手获得控球权.                   28'第28分钟，莱德斯马直传，冈萨雷斯禁区前沿斜射偏出左门柱
28'拉齐奥球员冈萨雷斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是莱德斯马.                   28'第28分钟，莱德斯马直传，冈萨雷斯禁区前沿斜射偏出左门柱
30'拉齐奥球员莱德斯马拼抢犯规,对手获得控球权.                   28'第28分钟，莱德斯马直传，冈萨雷斯禁区前沿斜射偏出左门柱
30'托蒂为罗马在对方半场,赢得一个任意球.                   28'第28分钟，莱德斯马直传，冈萨雷斯禁区前沿斜射偏出左门柱
31'罗马球员热尔维尼奥小禁区右侧尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是托蒂.                   28'第28分钟，莱德斯马直传，冈萨雷斯禁区前沿斜射偏出左门柱
47'罗马球员皮亚尼奇大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是托蒂.                   47'下半时开始2分钟，卢利奇中场放倒托蒂，被黄牌警告，托蒂右侧开出任意球，皮亚尼奇头球偏出左门柱
49'埃尔纳内斯为拉齐奥赢得一个任意球.                   47'下半时开始2分钟，卢利奇中场放倒托蒂，被黄牌警告，托蒂右侧开出任意球，皮亚尼奇头球偏出左门柱
49'罗马球员贝纳蒂亚拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，卢利奇中场放倒托蒂，被黄牌警告，托蒂右侧开出任意球，皮亚尼奇头球偏出左门柱
50'卢利奇为拉齐奥在左路,赢得一个任意球.                   47'下半时开始2分钟，卢利奇中场放倒托蒂，被黄牌警告，托蒂右侧开出任意球，皮亚尼奇头球偏出左门柱
50'罗马球员麦孔拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，卢利奇中场放倒托蒂，被黄牌警告，托蒂右侧开出任意球，皮亚尼奇头球偏出左门柱
50'黄牌！罗马球员麦孔因为恶意犯规,被主裁判出示黄牌.                   47'下半时开始2分钟，卢利奇中场放倒托蒂，被黄牌警告，托蒂右侧开出任意球，皮亚尼奇头球偏出左门柱
54'齐亚尼将球处理出底线,罗马获得角球.                   54'第54分钟，托蒂右侧开出角球，德罗西头球偏出远门柱
54'罗马球员德罗西大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是托蒂.                   54'第54分钟，托蒂右侧开出角球，德罗西头球偏出远门柱
55'卡纳为拉齐奥赢得一个任意球.                   54'第54分钟，托蒂右侧开出角球，德罗西头球偏出远门柱
55'罗马球员托蒂拼抢犯规,对手获得控球权.                   54'第54分钟，托蒂右侧开出角球，德罗西头球偏出远门柱
55'拉齐奥球员克洛泽小禁区右侧尝试,可惜皮球稍稍偏出了右球门.给他传球的是卢利奇.                   54'第54分钟，托蒂右侧开出角球，德罗西头球偏出远门柱
56'拉齐奥球员坎德雷瓦大禁区外左脚射门,被防守球员封堵.给他传球的是齐亚尼.                   54'第54分钟，托蒂右侧开出角球，德罗西头球偏出远门柱
56'卡斯坦将球处理出底线,拉齐奥获得角球.                   54'第54分钟，托蒂右侧开出角球，德罗西头球偏出远门柱
60'罗马球员麦孔大禁区右侧右脚射门,被防守球员封堵.给他传球的是皮亚尼奇.                   60'第60分钟，麦孔突入禁区右侧斜射被恰尼挡出底线，角球开出后，麦孔在门前25米处打高
60'孔科将球处理出底线,罗马获得角球.                   60'第60分钟，麦孔突入禁区右侧斜射被恰尼挡出底线，角球开出后，麦孔在门前25米处打高
60'罗马球员麦孔大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是斯特罗特曼.                   60'第60分钟，麦孔突入禁区右侧斜射被恰尼挡出底线，角球开出后，麦孔在门前25米处打高
61'埃尔纳内斯为拉齐奥在左路,赢得一个任意球.                   60'第60分钟，麦孔突入禁区右侧斜射被恰尼挡出底线，角球开出后，麦孔在门前25米处打高
61'罗马球员皮亚尼奇拼抢犯规,对手获得控球权.                   60'第60分钟，麦孔突入禁区右侧斜射被恰尼挡出底线，角球开出后，麦孔在门前25米处打高
63'罗马球员巴尔扎雷蒂大禁区左侧左脚射门,命中门柱左侧立柱.给他传球的是托蒂.                   60'第60分钟，麦孔突入禁区右侧斜射被恰尼挡出底线，角球开出后，麦孔在门前25米处打高
63'齐亚尼将球处理出底线,罗马获得角球.                   60'第60分钟，麦孔突入禁区右侧斜射被恰尼挡出底线，角球开出后，麦孔在门前25米处打高
63'进球啦！！！罗马球员巴尔扎雷蒂大禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是托蒂. 罗马 1-0 拉齐奥.                   60'第60分钟，麦孔突入禁区右侧斜射被恰尼挡出底线，角球开出后，麦孔在门前25米处打高
67'罗马球员利亚伊奇大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是托蒂.                   67'第67分钟，托蒂直传禁区右侧，利亚伊奇斜射偏出远门柱
81'拉齐奥球员迪亚斯拼抢犯规,对手获得控球权.                   81'第81分钟，迪亚斯放倒几乎形成单刀的托蒂，被红牌罚下，这是意甲近11个赛季罗马德比第16张红牌(拉齐奥9张、罗马7张)
81'托蒂为罗马在对方半场,赢得一个任意球.                   81'第81分钟，迪亚斯放倒几乎形成单刀的托蒂，被红牌罚下，这是意甲近11个赛季罗马德比第16张红牌(拉齐奥9张、罗马7张)
81'拉齐奥球员迪亚斯因为恶意犯规,被裁判直接红牌罚下.                   81'第81分钟，迪亚斯放倒几乎形成单刀的托蒂，被红牌罚下，这是意甲近11个赛季罗马德比第16张红牌(拉齐奥9张、罗马7张)
83'射门!!!罗马球员利亚伊奇大禁区外右脚射门,被对方守门员横身扑出.                   81'第81分钟，迪亚斯放倒几乎形成单刀的托蒂，被红牌罚下，这是意甲近11个赛季罗马德比第16张红牌(拉齐奥9张、罗马7张)
