1'上半场比赛开始！                   1'曼联第1分钟逐渐占据主动
1'首先开球的是曼联                   1'曼联第1分钟逐渐占据主动
1'埃因霍温右路带球被破坏                   1'曼联第1分钟逐渐占据主动
3'马夏尔前场拿球拿球往里切                   1'曼联第1分钟逐渐占据主动
3'最后的一下还是没有过去                   1'曼联第1分钟逐渐占据主动
3'马夏尔前场反抢的时候犯规                   1'曼联第1分钟逐渐占据主动
15'卢克-肖左路拿球到了禁区                   15'第15分钟，卢克-肖强突禁区左侧被莫雷诺铲断，曼联边卫右脚严重受伤，治疗长达数分钟，卢克-肖最后被担架固定后抬出，全场球迷响起鼓励掌声，范加尔也在担架出场时安慰弟子，罗霍替补出场
15'突然的加速也是让埃因霍温先出一脚将球解围                   15'第15分钟，卢克-肖强突禁区左侧被莫雷诺铲断，曼联边卫右脚严重受伤，治疗长达数分钟，卢克-肖最后被担架固定后抬出，全场球迷响起鼓励掌声，范加尔也在担架出场时安慰弟子，罗霍替补出场
15'比赛开始后，两队的节奏并不快                   15'第15分钟，卢克-肖强突禁区左侧被莫雷诺铲断，曼联边卫右脚严重受伤，治疗长达数分钟，卢克-肖最后被担架固定后抬出，全场球迷响起鼓励掌声，范加尔也在担架出场时安慰弟子，罗霍替补出场
16'卢克-肖这下的突破还受伤了                   15'第15分钟，卢克-肖强突禁区左侧被莫雷诺铲断，曼联边卫右脚严重受伤，治疗长达数分钟，卢克-肖最后被担架固定后抬出，全场球迷响起鼓励掌声，范加尔也在担架出场时安慰弟子，罗霍替补出场
16'曼联这边替补球员赶紧热身                   15'第15分钟，卢克-肖强突禁区左侧被莫雷诺铲断，曼联边卫右脚严重受伤，治疗长达数分钟，卢克-肖最后被担架固定后抬出，全场球迷响起鼓励掌声，范加尔也在担架出场时安慰弟子，罗霍替补出场
17'罗霍这边已经在准备了                   15'第15分钟，卢克-肖强突禁区左侧被莫雷诺铲断，曼联边卫右脚严重受伤，治疗长达数分钟，卢克-肖最后被担架固定后抬出，全场球迷响起鼓励掌声，范加尔也在担架出场时安慰弟子，罗霍替补出场
17'看样子卢克-肖这边没办法在坚持了                   15'第15分钟，卢克-肖强突禁区左侧被莫雷诺铲断，曼联边卫右脚严重受伤，治疗长达数分钟，卢克-肖最后被担架固定后抬出，全场球迷响起鼓励掌声，范加尔也在担架出场时安慰弟子，罗霍替补出场
18'卢克-肖这下伤的不轻啊                   15'第15分钟，卢克-肖强突禁区左侧被莫雷诺铲断，曼联边卫右脚严重受伤，治疗长达数分钟，卢克-肖最后被担架固定后抬出，全场球迷响起鼓励掌声，范加尔也在担架出场时安慰弟子，罗霍替补出场
