8'王燊超左路带球，和队友2过1没有打成                   8'第8分钟，河南队后腰尹鸿博在中圈附近踢倒海森吃到本场第一张黄牌
9'外力左路推传前场，王佳玉补防过来解围                   8'第8分钟，河南队后腰尹鸿博在中圈附近踢倒海森吃到本场第一张黄牌
9'马科斯拿球回敲，左路护球                   8'第8分钟，河南队后腰尹鸿博在中圈附近踢倒海森吃到本场第一张黄牌
10'海森中场人球分过穿了李建滨的裆，被绊倒了                   8'第8分钟，河南队后腰尹鸿博在中圈附近踢倒海森吃到本场第一张黄牌
10'裁判黄牌警告了犯规的尹鸿博                   8'第8分钟，河南队后腰尹鸿博在中圈附近踢倒海森吃到本场第一张黄牌
11'麦克让球转身，也被尹鸿博绊倒了                   8'第8分钟，河南队后腰尹鸿博在中圈附近踢倒海森吃到本场第一张黄牌
11'王燊超左路下底，传中被解围                   8'第8分钟，河南队后腰尹鸿博在中圈附近踢倒海森吃到本场第一张黄牌
15'我心飞翔蓝色依旧:看看八万人的草皮，再看看航海的（天差地别。。）                   15'第15分钟河南队也险些得分，尹鸿博左路下底传中，马科斯小禁区内捅射打偏
15'角球去后点，桑科解围出去                   15'第15分钟河南队也险些得分，尹鸿博左路下底传中，马科斯小禁区内捅射打偏
16'外力左路压上，传中被阿多挡出边线                   15'第15分钟河南队也险些得分，尹鸿博左路下底传中，马科斯小禁区内捅射打偏
16'徐洋左路传中到门前，约翰逊抢点打偏                   15'第15分钟河南队也险些得分，尹鸿博左路下底传中，马科斯小禁区内捅射打偏
17'麦克继续挑传身后，卡里里越位了                   15'第15分钟河南队也险些得分，尹鸿博左路下底传中，马科斯小禁区内捅射打偏
17'阿多防守上抢，抢在约翰逊接球前拿到                   15'第15分钟河南队也险些得分，尹鸿博左路下底传中，马科斯小禁区内捅射打偏
18'王佳玉直塞，麦克插上越位了                   15'第15分钟河南队也险些得分，尹鸿博左路下底传中，马科斯小禁区内捅射打偏
37'黄希扬任意球没有过第一点                   37'第37分钟马科斯禁区外远射被颜骏凌扑出，第40分钟傅欢拼抢中倒地不起，比赛被迫暂停，双方立刻到场边补水
37'马科斯左路起球，被阿多顶出来                   37'第37分钟马科斯禁区外远射被颜骏凌扑出，第40分钟傅欢拼抢中倒地不起，比赛被迫暂停，双方立刻到场边补水
38'傅欢后场拿球被外力断下                   37'第37分钟马科斯禁区外远射被颜骏凌扑出，第40分钟傅欢拼抢中倒地不起，比赛被迫暂停，双方立刻到场边补水
38'黄希扬的远射被颜骏凌扑出！                   37'第37分钟马科斯禁区外远射被颜骏凌扑出，第40分钟傅欢拼抢中倒地不起，比赛被迫暂停，双方立刻到场边补水
38'上港左侧角球机会                   37'第37分钟马科斯禁区外远射被颜骏凌扑出，第40分钟傅欢拼抢中倒地不起，比赛被迫暂停，双方立刻到场边补水
39'角球第一点被马科斯解围                   37'第37分钟马科斯禁区外远射被颜骏凌扑出，第40分钟傅欢拼抢中倒地不起，比赛被迫暂停，双方立刻到场边补水
40'傅欢后上断球，卡里里禁区前的突破被桑科铲球破坏                   37'第37分钟马科斯禁区外远射被颜骏凌扑出，第40分钟傅欢拼抢中倒地不起，比赛被迫暂停，双方立刻到场边补水
40'傅欢断球之后被李志南铲截带了一下，受伤倒地                   37'第37分钟马科斯禁区外远射被颜骏凌扑出，第40分钟傅欢拼抢中倒地不起，比赛被迫暂停，双方立刻到场边补水
50'王佳玉传中去后点，吕文君头球摆渡                   50'第50分钟马科斯左路传中，约翰逊近门头球，颜骏凌后仰把球打出接着约翰逊左路过掉阿多的射门又被颜骏凌扑出，下半场第1分钟河南队连续得分机会
50'麦克接应不停球，直接射门打偏                   50'第50分钟马科斯左路传中，约翰逊近门头球，颜骏凌后仰把球打出接着约翰逊左路过掉阿多的射门又被颜骏凌扑出，下半场第1分钟河南队连续得分机会
50'黄希扬中场争顶犯规了                   50'第50分钟马科斯左路传中，约翰逊近门头球，颜骏凌后仰把球打出接着约翰逊左路过掉阿多的射门又被颜骏凌扑出，下半场第1分钟河南队连续得分机会
51'马科斯左路传中，约翰逊头球被颜骏凌托出横梁！角球                   50'第50分钟马科斯左路传中，约翰逊近门头球，颜骏凌后仰把球打出接着约翰逊左路过掉阿多的射门又被颜骏凌扑出，下半场第1分钟河南队连续得分机会
51'角球开后点，力量大了                   50'第50分钟马科斯左路传中，约翰逊近门头球，颜骏凌后仰把球打出接着约翰逊左路过掉阿多的射门又被颜骏凌扑出，下半场第1分钟河南队连续得分机会
51'外力左路再做低平球的传中，被阿多解围出边线                   50'第50分钟马科斯左路传中，约翰逊近门头球，颜骏凌后仰把球打出接着约翰逊左路过掉阿多的射门又被颜骏凌扑出，下半场第1分钟河南队连续得分机会
52'吕文君斜传禁区，被桑科拦截                   50'第50分钟马科斯左路传中，约翰逊近门头球，颜骏凌后仰把球打出接着约翰逊左路过掉阿多的射门又被颜骏凌扑出，下半场第1分钟河南队连续得分机会
52'约翰逊禁区前拿球，摆脱阿多，低射被颜骏凌扑住                   50'第50分钟马科斯左路传中，约翰逊近门头球，颜骏凌后仰把球打出接着约翰逊左路过掉阿多的射门又被颜骏凌扑出，下半场第1分钟河南队连续得分机会
53'黄希扬中场拿球转移左路，被破坏                   50'第50分钟马科斯左路传中，约翰逊近门头球，颜骏凌后仰把球打出接着约翰逊左路过掉阿多的射门又被颜骏凌扑出，下半场第1分钟河南队连续得分机会
53'武磊接应长传，胸部做球被李建滨破坏                   50'第50分钟马科斯左路传中，约翰逊近门头球，颜骏凌后仰把球打出接着约翰逊左路过掉阿多的射门又被颜骏凌扑出，下半场第1分钟河南队连续得分机会
61'马科斯左路起球，高度不够被解围                   61'第61分钟吕文君和张力争头球时脑袋相撞，张力问题不大，吕文君却被撞得眉骨鲜血直流，队医紧急为他包扎
61'王燊超左路助攻，斜传禁区出了底线                   61'第61分钟吕文君和张力争头球时脑袋相撞，张力问题不大，吕文君却被撞得眉骨鲜血直流，队医紧急为他包扎
62'外力左路拿球，马科斯接应回敲                   61'第61分钟吕文君和张力争头球时脑袋相撞，张力问题不大，吕文君却被撞得眉骨鲜血直流，队医紧急为他包扎
63'吕文君中场和张力争头球，头碰头了                   61'第61分钟吕文君和张力争头球时脑袋相撞，张力问题不大，吕文君却被撞得眉骨鲜血直流，队医紧急为他包扎
63'两人双双倒地                   61'第61分钟吕文君和张力争头球时脑袋相撞，张力问题不大，吕文君却被撞得眉骨鲜血直流，队医紧急为他包扎
63'接受治疗，可能有流血了                   61'第61分钟吕文君和张力争头球时脑袋相撞，张力问题不大，吕文君却被撞得眉骨鲜血直流，队医紧急为他包扎
64'张力先站起来，看起来没有大碍                   61'第61分钟吕文君和张力争头球时脑袋相撞，张力问题不大，吕文君却被撞得眉骨鲜血直流，队医紧急为他包扎
76'王燊超左路拿球，横敲蔡慧康转移                   76'第76分钟，此前很久没在上港18人大名单里露面的朱峥嵘换下麦克布林
77'朱峥嵘右路下底传中，吕文君拿球没办法转身                   76'第76分钟，此前很久没在上港18人大名单里露面的朱峥嵘换下麦克布林
77'吴禹寅还是坐在地上，队医上来了                   76'第76分钟，此前很久没在上港18人大名单里露面的朱峥嵘换下麦克布林
79'吴禹寅被担架抬下                   76'第76分钟，此前很久没在上港18人大名单里露面的朱峥嵘换下麦克布林
79'比赛继续                   76'第76分钟，此前很久没在上港18人大名单里露面的朱峥嵘换下麦克布林
79'上港换人，汪佳捷换下吴禹寅                   76'第76分钟，此前很久没在上港18人大名单里露面的朱峥嵘换下麦克布林
82'上港进球了！！！！                   82'第82分钟黄希扬远射被颜骏凌扑出，上港拿球后快攻，王佳玉中场巧妙直塞，武磊从李建滨身后杀出，单刀向对方门前冲来，河南门将韩锋出击到禁区外，正好拦下了武磊脚下皮球，但是球又滚回到武磊脚下，上港7号杀手顺势转身推射，皮球飞入无门将把守的大门，1比0，上海上港领先
82'武磊！！！                   82'第82分钟黄希扬远射被颜骏凌扑出，上港拿球后快攻，王佳玉中场巧妙直塞，武磊从李建滨身后杀出，单刀向对方门前冲来，河南门将韩锋出击到禁区外，正好拦下了武磊脚下皮球，但是球又滚回到武磊脚下，上港7号杀手顺势转身推射，皮球飞入无门将把守的大门，1比0，上海上港领先
82'王佳玉中场送出身后球，武磊插上，韩锋出击到禁区前破坏，但是球又弹回武磊脚下，低射空门入网！                   82'第82分钟黄希扬远射被颜骏凌扑出，上港拿球后快攻，王佳玉中场巧妙直塞，武磊从李建滨身后杀出，单刀向对方门前冲来，河南门将韩锋出击到禁区外，正好拦下了武磊脚下皮球，但是球又滚回到武磊脚下，上港7号杀手顺势转身推射，皮球飞入无门将把守的大门，1比0，上海上港领先
83'上港1-0领先建业！                   82'第82分钟黄希扬远射被颜骏凌扑出，上港拿球后快攻，王佳玉中场巧妙直塞，武磊从李建滨身后杀出，单刀向对方门前冲来，河南门将韩锋出击到禁区外，正好拦下了武磊脚下皮球，但是球又滚回到武磊脚下，上港7号杀手顺势转身推射，皮球飞入无门将把守的大门，1比0，上海上港领先
83'朱峥嵘中场拿球，黄希扬反抢犯规了                   82'第82分钟黄希扬远射被颜骏凌扑出，上港拿球后快攻，王佳玉中场巧妙直塞，武磊从李建滨身后杀出，单刀向对方门前冲来，河南门将韩锋出击到禁区外，正好拦下了武磊脚下皮球，但是球又滚回到武磊脚下，上港7号杀手顺势转身推射，皮球飞入无门将把守的大门，1比0，上海上港领先
85'桑科后场长传，汪佳捷禁区内解围                   82'第82分钟黄希扬远射被颜骏凌扑出，上港拿球后快攻，王佳玉中场巧妙直塞，武磊从李建滨身后杀出，单刀向对方门前冲来，河南门将韩锋出击到禁区外，正好拦下了武磊脚下皮球，但是球又滚回到武磊脚下，上港7号杀手顺势转身推射，皮球飞入无门将把守的大门，1比0，上海上港领先
85'徐洋斜传禁区，约翰逊出来拿球                   82'第82分钟黄希扬远射被颜骏凌扑出，上港拿球后快攻，王佳玉中场巧妙直塞，武磊从李建滨身后杀出，单刀向对方门前冲来，河南门将韩锋出击到禁区外，正好拦下了武磊脚下皮球，但是球又滚回到武磊脚下，上港7号杀手顺势转身推射，皮球飞入无门将把守的大门，1比0，上海上港领先
85'桑科拿球过中场，远射被封堵                   82'第82分钟黄希扬远射被颜骏凌扑出，上港拿球后快攻，王佳玉中场巧妙直塞，武磊从李建滨身后杀出，单刀向对方门前冲来，河南门将韩锋出击到禁区外，正好拦下了武磊脚下皮球，但是球又滚回到武磊脚下，上港7号杀手顺势转身推射，皮球飞入无门将把守的大门，1比0，上海上港领先
87'朱峥嵘左路拿球，回敲，不着急                   87'第87分钟河南队用祝一帆换下黄希扬
87'傅欢右路过人不成，蔡慧康的反抢犯规                   87'第87分钟河南队用祝一帆换下黄希扬
88'王燊超后场长传，桑科头球解围                   87'第87分钟河南队用祝一帆换下黄希扬
88'徐洋禁区前晃动，被蔡慧康铲截破坏                   87'第87分钟河南队用祝一帆换下黄希扬
89'吕文君分右路，球再打回来                   87'第87分钟河南队用祝一帆换下黄希扬
89'汪佳捷斜传禁区，球被门将拿到                   87'第87分钟河南队用祝一帆换下黄希扬
89'徐洋前场头球摆渡，球到禁区被颜骏凌拿到                   87'第87分钟河南队用祝一帆换下黄希扬
90'下半场补时5分钟！                   87'第87分钟河南队用祝一帆换下黄希扬
91'武磊前场人球分过进禁区，桑科补防破坏                   91'第91分钟河南队连换两人，拉斐尔换下马科斯，23号乔巍换下徐洋
92'建业高球进禁区，颜骏凌拿到                   91'第91分钟河南队连换两人，拉斐尔换下马科斯，23号乔巍换下徐洋
92'建业换人，拉斐尔和乔巍上，徐洋和马科斯下                   91'第91分钟河南队连换两人，拉斐尔换下马科斯，23号乔巍换下徐洋
93'补时还有2分半，最后一搏                   91'第91分钟河南队连换两人，拉斐尔换下马科斯，23号乔巍换下徐洋
93'阿多头球没有顶远，外围祝一帆没有控制好                   91'第91分钟河南队连换两人，拉斐尔换下马科斯，23号乔巍换下徐洋
93'上港斜传左路，海森越位了                   91'第91分钟河南队连换两人，拉斐尔换下马科斯，23号乔巍换下徐洋
94'建业连续的长传冲吊                   91'第91分钟河南队连换两人，拉斐尔换下马科斯，23号乔巍换下徐洋
94'桑科长传，约翰逊头球摆渡被王燊超解围，角球                   91'第91分钟河南队连换两人，拉斐尔换下马科斯，23号乔巍换下徐洋
