1'好了，比赛开始了，申花的球权。                   1'第1分钟申花即展开强攻，第2分钟吕征开出右路角球，秦升前点头球稍偏出界
1'中场长传找曹赟定，出了边线。                   1'第1分钟申花即展开强攻，第2分钟吕征开出右路角球，秦升前点头球稍偏出界
2'苏宁后场的球权，长传找特谢拉，球被熊飞破坏。                   1'第1分钟申花即展开强攻，第2分钟吕征开出右路角球，秦升前点头球稍偏出界
2'熊飞长传找莫雷诺，莫雷诺和马丁斯前场传球，出现了失误。                   1'第1分钟申花即展开强攻，第2分钟吕征开出右路角球，秦升前点头球稍偏出界
3'被破坏了，角球。                   1'第1分钟申花即展开强攻，第2分钟吕征开出右路角球，秦升前点头球稍偏出界
3'莫雷诺角球开出，被苏宁后卫破坏了。                   1'第1分钟申花即展开强攻，第2分钟吕征开出右路角球，秦升前点头球稍偏出界
4'后场长传找马丁内斯，金基熙卡住了位置。                   1'第1分钟申花即展开强攻，第2分钟吕征开出右路角球，秦升前点头球稍偏出界
4'吕征前场前插连过两人。                   1'第1分钟申花即展开强攻，第2分钟吕征开出右路角球，秦升前点头球稍偏出界
6'角球开出，莫雷诺凌空抽射！                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
6'被顾超扑出，瓜林抢到二点，直塞莫雷诺，被破坏出了边线。                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
7'申花的球权，传到中场，瓜林出球被破坏。                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
7'还是申花的球权，长传找曹赟定，内切大范围转移到了左路。                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
7'传大了，吕征没能拿到球权。                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
8'苏宁后场直塞找特谢拉，瓜林犯规。                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
8'中场申花抢断成功，直塞马丁斯！                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
8'进入禁区了，被塞恩斯伯里破坏了，角球。                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
8'角球开出，前点被顶出，进攻球员犯规，                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
9'目前申花百分之六十的控球率，场面略占上风。                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
9'顾超大脚开出，中场刘建业没能得到。                   6'第6分钟申花后场莫雷诺长传，马丁斯拿球快速推进入禁区，但他的射门被顾超奋力扑出
13'长传找曹赟定，回给莫雷诺，被吉翔铲倒了。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
13'任意球快开，转到左路。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
13'前场申花的犯规。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
14'塞恩斯伯里直接找马丁内斯，被李帅得到。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
14'球来到前场，曹赟定传中！                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
14'头球！哎呀，稍稍偏出，一次好机会。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
15'还是申花控制住了球权。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
15'回给中场瓜林。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
15'左路不停倒脚，转移到右路。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
15'柏佳俊禁区弧顶处打门！打飞了。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
16'苏宁现在稍显被动。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
16'顾超大脚开出，中场张晓彬分边。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
