1'托雷洪将球处理出底线,拜仁慕尼黑获得角球.                   1'第1分钟，弗赖堡防守相当牢固
24'拜仁慕尼黑球员罗本大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   24'第24分钟，阿隆索右路斜传，对方中卫冒顶，格策获得单刀，在门前9米处胸部停球推射被比尔基封出
25'射门!!!拜仁慕尼黑球员格策大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是阿隆索.                   24'第24分钟，阿隆索右路斜传，对方中卫冒顶，格策获得单刀，在门前9米处胸部停球推射被比尔基封出
25'射门!!!拜仁慕尼黑球员罗本大禁区右侧头球,被对方守门员横身扑出.给他传球的是丹特.                   24'第24分钟，阿隆索右路斜传，对方中卫冒顶，格策获得单刀，在门前9米处胸部停球推射被比尔基封出
26'肯普夫将球处理出底线,拜仁慕尼黑获得角球.                   24'第24分钟，阿隆索右路斜传，对方中卫冒顶，格策获得单刀，在门前9米处胸部停球推射被比尔基封出
27'弗赖堡球员舒斯特拼抢犯规,对手获得控球权.                   24'第24分钟，阿隆索右路斜传，对方中卫冒顶，格策获得单刀，在门前9米处胸部停球推射被比尔基封出
27'莱万多夫斯基为拜仁慕尼黑在对方半场,赢得一个任意球.                   24'第24分钟，阿隆索右路斜传，对方中卫冒顶，格策获得单刀，在门前9米处胸部停球推射被比尔基封出
41'进球啦！！！拜仁慕尼黑球员罗本大禁区中央头球,球从左下角飞进球门,球进了!助攻的是里贝里. 拜仁慕尼黑 1-0 弗赖堡.                   41'拜仁第41分钟取得领先
43'弗赖堡球员舒斯特拼抢犯规,对手获得控球权.                   41'拜仁第41分钟取得领先
43'里贝里为拜仁慕尼黑在对方半场,赢得一个任意球.                   41'拜仁第41分钟取得领先
43'黄牌！弗赖堡球员舒斯特因为恶意犯规,被主裁判出示黄牌.                   41'拜仁第41分钟取得领先
44'射门!!!拜仁慕尼黑球员罗本球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是格策.                   41'拜仁第41分钟取得领先
44'射门!!!拜仁慕尼黑球员穆勒大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是罗本.                   41'拜仁第41分钟取得领先
62'射门!!!拜仁慕尼黑球员丹特大禁区中央头球,被对方守门员横身扑出.给他传球的是贝尔纳特.                   62'第62分钟，贝尔纳特左路传中，丹特在门前7米处头球攻门，比尔基将球一托后捞出
62'拜仁慕尼黑球员沙奇里小禁区右侧尝试头球,可惜皮球偏出球门.                   62'第62分钟，贝尔纳特左路传中，丹特在门前7米处头球攻门，比尔基将球一托后捞出
62'弗赖堡球员里特一脚直塞球给穆罕穆迪,但是边裁举旗显示后者已经越位.                   62'第62分钟，贝尔纳特左路传中，丹特在门前7米处头球攻门，比尔基将球一托后捞出
48'射门!!!拜仁慕尼黑球员贝尔纳特大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是罗本.                   46'1分钟后，贝尔纳特禁区左侧接应罗本直传，距门9米处左脚抽射击中近门柱
48'进球啦！！！拜仁慕尼黑球员穆勒球门线跟前头球,球从右下角飞进球门,球进了! 拜仁慕尼黑 2-0 弗赖堡.                   46'1分钟后，贝尔纳特禁区左侧接应罗本直传，距门9米处左脚抽射击中近门柱
49'克劳斯为弗赖堡在对方半场,赢得一个任意球.                   46'1分钟后，贝尔纳特禁区左侧接应罗本直传，距门9米处左脚抽射击中近门柱
49'拜仁慕尼黑球员施魏因斯泰格拼抢犯规,对手获得控球权.                   46'1分钟后，贝尔纳特禁区左侧接应罗本直传，距门9米处左脚抽射击中近门柱
49'弗赖堡球员里特拼抢犯规,对手获得控球权.                   46'1分钟后，贝尔纳特禁区左侧接应罗本直传，距门9米处左脚抽射击中近门柱
49'阿隆索为拜仁慕尼黑在左路,赢得一个任意球.                   46'1分钟后，贝尔纳特禁区左侧接应罗本直传，距门9米处左脚抽射击中近门柱
