1'上半场比赛开始                   1'尤文第1分钟主动出击
1'斑马军团首先开球，从画面的左侧向右进攻                   1'尤文第1分钟主动出击
2'埃弗拉左路拿球，起球到禁区找特维斯                   1'尤文第1分钟主动出击
2'特维斯前插接应，越位在先                   1'尤文第1分钟主动出击
2'马斯切拉诺后场失误，比达尔上抢，迫使对手将球碰出了底线                   1'尤文第1分钟主动出击
2'尤文获得了右侧角球机会                   1'尤文第1分钟主动出击
3'这也是双方本场比赛的第一个角球                   1'尤文第1分钟主动出击
3'皮尔洛角球开出到禁区，第一点被巴萨球员解围                   1'尤文第1分钟主动出击
3'内马尔左路拿球反击，强突被回防的欧文球员解围出边线                   1'尤文第1分钟主动出击
4'阿尔维斯右路拿球，带球过中线，面对逼抢，回传拉基蒂奇                   1'尤文第1分钟主动出击
4'巴萨进球啦！！！                   1'尤文第1分钟主动出击
4'拉基蒂奇的推射破门！！！                   1'尤文第1分钟主动出击
13'好球啊，梅西的搓传禁区到门前                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
13'内马尔前插抢点，慢了半拍，没能碰到，球弹地后出了底线                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
14'巴萨右路进攻，苏亚雷斯分球梅西                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
14'梅西拿球下底，倒三角回传跟进的阿尔维斯                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
14'阿尔维斯禁区线上起脚打门，布冯精彩扑救将球封堵                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
15'巴尔扎利不敢怠慢，赶紧大脚将球解围                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
15'巴萨前场再攻，内马尔拿球，比达尔上抢再被吹犯规                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
15'比达尔从一开始，在场上的动作就不小，这次又被主裁判口头警告                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
15'巴萨获得了前场中路，靠近左侧的任意球机会                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
16'梅西斜传禁区，马尔基西奥将球解围出底线                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
16'巴萨获得了左侧角球机会，拉基蒂奇主罚                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
16'拉基蒂奇角球开出，皮克头球攻门，顶高                   13'第13分钟，梅西直传禁区右侧，苏亚雷斯回敲，在门前12米处推射被布冯飞身单手托出，利希斯泰纳头球解围
27'特维斯中圈拿球，没能停好，被断了                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
27'伊涅斯塔拿球，分边左侧给阿尔巴                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
27'阿尔巴没机会，再回敲伊涅斯塔                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
28'巴萨转移球到右侧给到阿尔维斯                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
