13'进球啦！！！南安普敦球员拉拉纳大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是福克斯. 南安普敦 1-0 热刺.                   13'第13分钟，富克斯传球，拉拉纳22码处转身低射左下角入网
14'热刺球员西古德森大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是罗斯.                   13'第13分钟，富克斯传球，拉拉纳22码处转身低射左下角入网
25'进球啦！！！热刺球员阿德巴约球门线跟前右脚射门,球从中路偏上飞进球门,球进了!助攻的是索尔达多. 南安普敦 1-1 热刺.                   25'热刺第25分钟扳平比分，索尔达多左路传中，阿德巴约在霍伊维尔德和富克斯夹防中小禁区边缘内凌空扫射破门，这是他7个多月以来的首粒联赛入球，也是热刺近2个月以来首度有前锋在联赛进球
27'热刺球员道森拼抢犯规,对手获得控球权.                   25'热刺第25分钟扳平比分，索尔达多左路传中，阿德巴约在霍伊维尔德和富克斯夹防中小禁区边缘内凌空扫射破门，这是他7个多月以来的首粒联赛入球，也是热刺近2个月以来首度有前锋在联赛进球
27'J-罗德里格斯为南安普敦在左路,赢得一个任意球.                   25'热刺第25分钟扳平比分，索尔达多左路传中，阿德巴约在霍伊维尔德和富克斯夹防中小禁区边缘内凌空扫射破门，这是他7个多月以来的首粒联赛入球，也是热刺近2个月以来首度有前锋在联赛进球
28'西古德森为热刺赢得一个任意球.                   25'热刺第25分钟扳平比分，索尔达多左路传中，阿德巴约在霍伊维尔德和富克斯夹防中小禁区边缘内凌空扫射破门，这是他7个多月以来的首粒联赛入球，也是热刺近2个月以来首度有前锋在联赛进球
28'南安普敦球员S-戴维斯拼抢犯规,对手获得控球权.                   25'热刺第25分钟扳平比分，索尔达多左路传中，阿德巴约在霍伊维尔德和富克斯夹防中小禁区边缘内凌空扫射破门，这是他7个多月以来的首粒联赛入球，也是热刺近2个月以来首度有前锋在联赛进球
57'沃克尔将球处理出底线,南安普敦获得角球.                   55'热刺第55分钟反超比分，丹尼-罗斯禁区左侧传中，霍伊维尔德前点自摆乌龙
58'西古德森为热刺在左路,赢得一个任意球.                   55'热刺第55分钟反超比分，丹尼-罗斯禁区左侧传中，霍伊维尔德前点自摆乌龙
58'南安普敦球员洛夫伦拼抢犯规,对手获得控球权.                   55'热刺第55分钟反超比分，丹尼-罗斯禁区左侧传中，霍伊维尔德前点自摆乌龙
58'热刺球员索尔达多拼抢犯规,对手获得控球权.                   55'热刺第55分钟反超比分，丹尼-罗斯禁区左侧传中，霍伊维尔德前点自摆乌龙
58'钱伯斯为南安普敦赢得一个任意球.                   55'热刺第55分钟反超比分，丹尼-罗斯禁区左侧传中，霍伊维尔德前点自摆乌龙
64'进球啦！！！热刺球员阿德巴约大禁区右侧左脚射门,球从中路飞进球门,球进了!助攻的是沙德利. 南安普敦 2-3 热刺.                   64'热刺第64分钟绝杀，查得利传球，阿德巴约禁区右肋8码处推射远角入网
66'热刺球员索尔达多大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.                   64'热刺第64分钟绝杀，查得利传球，阿德巴约禁区右肋8码处推射远角入网
67'罗斯为热刺赢得一个任意球.                   64'热刺第64分钟绝杀，查得利传球，阿德巴约禁区右肋8码处推射远角入网
67'南安普敦球员沃特-普洛斯拼抢犯规,对手获得控球权.                   64'热刺第64分钟绝杀，查得利传球，阿德巴约禁区右肋8码处推射远角入网
67'黄牌！南安普敦球员沃特-普洛斯因为恶意犯规,被主裁判出示黄牌.                   64'热刺第64分钟绝杀，查得利传球，阿德巴约禁区右肋8码处推射远角入网
