5'祎凡大脚往前开~                   5'第5分钟长春队右路长传，杀入禁区的莫雷罗稍慢一步，被李帅先行拿住皮球
5'莫雷罗把球拿住，王林回追过来将球捅出界外                   5'第5分钟长春队右路长传，杀入禁区的莫雷罗稍慢一步，被李帅先行拿住皮球
6'申花禁区前反抢~                   5'第5分钟长春队右路长传，杀入禁区的莫雷罗稍慢一步，被李帅先行拿住皮球
6'一个大脚往前闷~前面的马丁斯显然追不上                   5'第5分钟长春队右路长传，杀入禁区的莫雷罗稍慢一步，被李帅先行拿住皮球
7'李帅今天穿的可真够严实，长衣长裤带着围脖                   5'第5分钟长春队右路长传，杀入禁区的莫雷罗稍慢一步，被李帅先行拿住皮球
8'申花右路发动进攻                   5'第5分钟长春队右路长传，杀入禁区的莫雷罗稍慢一步，被李帅先行拿住皮球
8'直塞想找马丁斯~被亚泰的后卫抢先解围                   5'第5分钟长春队右路长传，杀入禁区的莫雷罗稍慢一步，被李帅先行拿住皮球
8'雪地上踢球，球员的动作变形得都很厉害                   5'第5分钟长春队右路长传，杀入禁区的莫雷罗稍慢一步，被李帅先行拿住皮球
17'趁着亚泰大举压上的机会，申花断球反击                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
17'张笑非不敢怠慢，将球破坏出界外                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
18'好机会~~~                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
18'申花在中场连续的传递突然撕开了一条口子~~                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
18'高迪单刀面对出击的祎凡~~左脚射门！！！                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
18'被扑出来了！！！                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
18'申花差点儿就取得进球                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
19'亚泰也不甘示弱~~~莫雷罗禁区内抢点~~铲射！！！                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
19'门将已经出击，两人撞在了一起                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
19'这种情况很容易受伤啊                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
20'裁判中断了比赛                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
20'莫雷罗自己站了起来，问题不大                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
20'但李帅这下被撞得不轻                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
20'被撞到了小腹~                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
20'报告下其他场次的情况                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
20'泰达1比0领先力帆                   17'第17分钟曹赟定中场送出好球，高迪杀入禁区推射远角，但被祎凡飞身扑出
22'鲁能0比2恒大                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
22'亚泰边路反击~~~                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
22'范晓冬左脚传中~~~                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
22'绝好的机会~~~                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
22'布鲁诺后点插上头球冲顶！！！                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
23'擦着立柱飞出底线                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
23'人进了~球没进                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
