1'罗马球员德斯特罗大禁区右侧右脚射门,被防守球员封堵.给他传球的是皮亚尼奇.                   1'第1分钟，弗洛伦齐凌空射门被塞佩化解
2'罗马球员弗洛伦齐大禁区右侧右脚射门,被防守球员封堵.给他传球的是利亚伊奇.                   1'第1分钟，弗洛伦齐凌空射门被塞佩化解
2'罗马球员弗洛伦齐大禁区右侧右脚射门,被防守球员封堵.给他传球的是利亚伊奇.                   2'2分钟后，罗马旧将塔瓦诺弧线任意球绕过人墙，被德桑克蒂斯没收
5'威尔第为恩波利赢得一个任意球.                   2'2分钟后，罗马旧将塔瓦诺弧线任意球绕过人墙，被德桑克蒂斯没收
5'罗马球员德罗西拼抢犯规,对手获得控球权.                   2'2分钟后，罗马旧将塔瓦诺弧线任意球绕过人墙，被德桑克蒂斯没收
57'射门!!!罗马球员麦孔小禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是弗洛伦齐.                   57'第57分钟，麦孔与弗洛伦齐踢墙配合，禁区右侧单刀推射被塞佩封出
71'Manuel Pucciarelli为恩波利赢得一个任意球.                   71'第71分钟，恩波利前锋姆切德利泽与马诺拉斯接触倒地，主裁判格尔瓦索尼没判点球，恩波利主帅萨里表示抗议，结果被罚上看台
71'罗马球员德罗西拼抢犯规,对手获得控球权.                   71'第71分钟，恩波利前锋姆切德利泽与马诺拉斯接触倒地，主裁判格尔瓦索尼没判点球，恩波利主帅萨里表示抗议，结果被罚上看台
72'罗马马诺拉斯受伤倒地,比赛暂停                   71'第71分钟，恩波利前锋姆切德利泽与马诺拉斯接触倒地，主裁判格尔瓦索尼没判点球，恩波利主帅萨里表示抗议，结果被罚上看台
73'Mirko Valdifiori为恩波利赢得一个任意球.                   71'第71分钟，恩波利前锋姆切德利泽与马诺拉斯接触倒地，主裁判格尔瓦索尼没判点球，恩波利主帅萨里表示抗议，结果被罚上看台
73'罗马球员A-科尔拼抢犯规,对手获得控球权.                   71'第71分钟，恩波利前锋姆切德利泽与马诺拉斯接触倒地，主裁判格尔瓦索尼没判点球，恩波利主帅萨里表示抗议，结果被罚上看台
74'恩波利球员姆切德利泽拼抢犯规,对手获得控球权.                   71'第71分钟，恩波利前锋姆切德利泽与马诺拉斯接触倒地，主裁判格尔瓦索尼没判点球，恩波利主帅萨里表示抗议，结果被罚上看台
74'阿斯托里为罗马赢得一个任意球.                   71'第71分钟，恩波利前锋姆切德利泽与马诺拉斯接触倒地，主裁判格尔瓦索尼没判点球，恩波利主帅萨里表示抗议，结果被罚上看台
83'射门!!!恩波利球员辛宁斯基大禁区外右脚射门,被对方守门员横身扑出.给他传球的是Manuel Pucciarelli.                   83'第83分钟，德桑克蒂斯又化解了杰林斯基距门28米处的斜射
