1'上半场比赛开始                   1'切尔西第1分钟连续逼得角球
1'上半场由伯恩利中圈开球                   1'切尔西第1分钟连续逼得角球
1'右侧洛顿的直传给大了                   1'切尔西第1分钟连续逼得角球
1'路易斯将球开到中场                   1'切尔西第1分钟连续逼得角球
1'埃默森得球回传给路易斯                   1'切尔西第1分钟连续逼得角球
1'切尔西在后场倒脚                   1'切尔西第1分钟连续逼得角球
1'埃默森交给克里斯滕森                   1'切尔西第1分钟连续逼得角球
2'直传，奥多伊回一下，若日尼奥挑传给伊瓜因                   1'切尔西第1分钟连续逼得角球
2'伊瓜因一顺，阿斯皮利奎塔套边传中打在了泰勒身上出底线                   1'切尔西第1分钟连续逼得角球
2'切尔西右侧的角球机会                   1'切尔西第1分钟连续逼得角球
2'阿扎尔过来主罚                   1'切尔西第1分钟连续逼得角球
2'阿扎尔传中，麦克尼尔解围                   1'切尔西第1分钟连续逼得角球
3'齐克补射被希顿倒地扑出                   1'切尔西第1分钟连续逼得角球
3'齐克再打，被后卫挡出底线                   1'切尔西第1分钟连续逼得角球
3'再次角球                   1'切尔西第1分钟连续逼得角球
3'阿扎尔发地滚球，齐克没有控制好，被杰克科克大脚解围                   1'切尔西第1分钟连续逼得角球
3'路易斯得球蜀犬吠日传给埃默森，交给克里斯滕森                   1'切尔西第1分钟连续逼得角球
3'直传交给奥多伊                   1'切尔西第1分钟连续逼得角球
3'分给若日尼奥，分右侧给得不好                   1'切尔西第1分钟连续逼得角球
3'泰勒的转身解围打在了奥多伊身上                   1'切尔西第1分钟连续逼得角球
4'伍德中场接应分左侧，麦克尼尔停球出边线                   1'切尔西第1分钟连续逼得角球
4'路易斯交给埃默森分左侧的阿扎尔                   1'切尔西第1分钟连续逼得角球
4'交给了齐克，还是阿扎尔，                   1'切尔西第1分钟连续逼得角球
4'回给若日尼奥，分右侧的奥多伊                   1'切尔西第1分钟连续逼得角球
4'再与若日尼奥配合，若日尼奥这球搓直来                   1'切尔西第1分钟连续逼得角球
4'本杰明米将位置卡住                   1'切尔西第1分钟连续逼得角球
8'麦克尼尔过来主罚                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
8'传后点，被阿斯皮利奎塔头球解围到弧顶                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
8'亨德里克弧顶凌空抽射，球直挂球门右上角球进！                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
8'这球凌空打得太漂亮                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
9'伯恩利客场1：0领先                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
9'本轮英超前四的球队像集体中了邪一样                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
9'路易斯控球，长传右侧的阿斯皮利奎塔，传中被挡                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
9'阿斯皮利奎塔自己打门了，希顿将球抱住                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
9'镜头给到了萨里了                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
10'埃默森的推进                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
10'长传上来过不了本杰明米                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
10'交给洛顿，直传被阿扎尔拦截出边线                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
10'洛顿掷界外球                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
10'若日尼奥得球回传给克里斯滕森                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
10'交给阿斯皮利奎塔                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
10'直传，齐克回传被拦截                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
10'阿斯皮利奎塔回传给凯帕                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
10'交给路易斯                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
11'路易斯的推进，直传                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
11'阿扎尔得球交给奥多伊                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
11'分右侧的阿斯皮利奎塔                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
11'交给坎特，倒出来                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
11'若日尼奥交给奥多伊，交给伊瓜因                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
11'分右侧的奥多伊，直传肋部，球出底线                   8'伯恩利第8分钟取得领先，阿斯皮利奎塔顶出角球，无人防守的亨德里克禁区弧内半凌空抽射，皮球紧贴右侧立柱入网
14'分右侧的阿斯皮利奎塔，回传给克里斯滕森                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
14'坎特得球交给了奥多伊                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
14'内切了，倒出来给阿斯皮利奎塔                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
14'横拔给若日尼奥                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
