3'塞维利亚球员Joaquín Correa拼抢犯规,对手获得控球权.                   2'马拉加连入2球反超，第38分钟，雷西奥传球，弗尔纳斯禁区弧内劲射右上角破门
3'Luis Muñoz为马拉加赢得一个任意球.                   2'马拉加连入2球反超，第38分钟，雷西奥传球，弗尔纳斯禁区弧内劲射右上角破门
57'进球啦！！！塞维利亚球员巴斯克斯大禁区中央左脚射门,球从左下角飞进球门,球进了! 马拉加 2-2 塞维利亚.                   57'塞维利亚第57分钟扳平，萨拉比亚右路传中，穆尼奥斯解围失误，巴斯克斯小禁区边缘轻松破门，2-2
58'马拉加换人,Juankar换下乔尼                   57'塞维利亚第57分钟扳平，萨拉比亚右路传中，穆尼奥斯解围失误，巴斯克斯小禁区边缘轻松破门，2-2
58'Luis Muñoz为马拉加在右路,赢得一个任意球.                   57'塞维利亚第57分钟扳平，萨拉比亚右路传中，穆尼奥斯解围失误，巴斯克斯小禁区边缘轻松破门，2-2
58'塞维利亚球员伊沃拉拼抢犯规,对手获得控球权.                   57'塞维利亚第57分钟扳平，萨拉比亚右路传中，穆尼奥斯解围失误，巴斯克斯小禁区边缘轻松破门，2-2
60'Juankar为马拉加赢得一个任意球.                   57'塞维利亚第57分钟扳平，萨拉比亚右路传中，穆尼奥斯解围失误，巴斯克斯小禁区边缘轻松破门，2-2
60'塞维利亚球员Gabriel Mercado拼抢犯规,对手获得控球权.                   57'塞维利亚第57分钟扳平，萨拉比亚右路传中，穆尼奥斯解围失误，巴斯克斯小禁区边缘轻松破门，2-2
89'马拉加球员拉米雷斯点球被对方守门员扑出.点球罚失.                   89'第89分钟，帕雷哈禁区内对桑德罗-拉米雷斯犯规，后者亲自主罚点球被里科扑出，胡安卡尔补射入网，4-2
89'进球啦！！！马拉加球员Juankar大禁区中央左脚射门,球从右下角飞进球门,球进了! 马拉加 4-2 塞维利亚.                   89'第89分钟，帕雷哈禁区内对桑德罗-拉米雷斯犯规，后者亲自主罚点球被里科扑出，胡安卡尔补射入网，4-2
90'+2'Juankar为马拉加赢得一个任意球.                   89'第89分钟，帕雷哈禁区内对桑德罗-拉米雷斯犯规，后者亲自主罚点球被里科扑出，胡安卡尔补射入网，4-2
90'+2'塞维利亚球员Luciano Vietto拼抢犯规,对手获得控球权.                   89'第89分钟，帕雷哈禁区内对桑德罗-拉米雷斯犯规，后者亲自主罚点球被里科扑出，胡安卡尔补射入网，4-2
90'+3'马拉加球员Juankar被主裁判出示了一张黄牌.                   89'第89分钟，帕雷哈禁区内对桑德罗-拉米雷斯犯规，后者亲自主罚点球被里科扑出，胡安卡尔补射入网，4-2
90'+4'下半场结束,马拉加 4-2 塞维利亚                   89'第89分钟，帕雷哈禁区内对桑德罗-拉米雷斯犯规，后者亲自主罚点球被里科扑出，胡安卡尔补射入网，4-2
