8'武磊接应直塞，利马上抢破坏                   8'第8分钟吕文君在右路底线附近倒地传中，武磊转身抽射打高
9'傅欢右路助攻上来，球出了边线                   8'第8分钟吕文君在右路底线附近倒地传中，武磊转身抽射打高
9'王燊超左路拿球，上港还是走右路                   8'第8分钟吕文君在右路底线附近倒地传中，武磊转身抽射打高
9'吕文君下底传中，武磊中路凌空射门打高了！                   8'第8分钟吕文君在右路底线附近倒地传中，武磊转身抽射打高
10'用户2413991883：求首发名单（已给出）                   8'第8分钟吕文君在右路底线附近倒地传中，武磊转身抽射打高
10'蔡慧康中场倒地的拦截                   8'第8分钟吕文君在右路底线附近倒地传中，武磊转身抽射打高
11'麦克直塞禁区，没有过去                   8'第8分钟吕文君在右路底线附近倒地传中，武磊转身抽射打高
11'泰达右路配合，胡人天球趟出了底线                   8'第8分钟吕文君在右路底线附近倒地传中，武磊转身抽射打高
13'李本舰任意球直接轰门，打高了                   13'第13分钟安德烈齐尼奥中路带球直接往前闯，傅欢上前拦截，安德烈齐尼奥顶着傅欢强行带球到禁区右侧起脚怒射，皮球打在边网上
13'麦克前场头球摆渡，吕文君拼二点                   13'第13分钟安德烈齐尼奥中路带球直接往前闯，傅欢上前拦截，安德烈齐尼奥顶着傅欢强行带球到禁区右侧起脚怒射，皮球打在边网上
14'安德烈齐尼奥中路带球强突，禁区前低射打偏！                   13'第13分钟安德烈齐尼奥中路带球直接往前闯，傅欢上前拦截，安德烈齐尼奥顶着傅欢强行带球到禁区右侧起脚怒射，皮球打在边网上
14'麦克前场争顶，扛人犯规了                   13'第13分钟安德烈齐尼奥中路带球直接往前闯，傅欢上前拦截，安德烈齐尼奥顶着傅欢强行带球到禁区右侧起脚怒射，皮球打在边网上
16'傅欢右路下底，传中被顶出底线，角球                   13'第13分钟安德烈齐尼奥中路带球直接往前闯，傅欢上前拦截，安德烈齐尼奥顶着傅欢强行带球到禁区右侧起脚怒射，皮球打在边网上
16'海森禁区内戒烟阿多的传中，头球被门将扑住！                   13'第13分钟安德烈齐尼奥中路带球直接往前闯，傅欢上前拦截，安德烈齐尼奥顶着傅欢强行带球到禁区右侧起脚怒射，皮球打在边网上
20'王佳玉中场分球失误了                   20'第20分钟傅欢右路传中，武磊头球弹地后偏出
20'瓦伦西亚胸部停球，脚下打滑了                   20'第20分钟傅欢右路传中，武磊头球弹地后偏出
21'阿多后场拦截了泰达右路的分球                   20'第20分钟傅欢右路传中，武磊头球弹地后偏出
21'王燊超左路拿球，还是转移另一边                   20'第20分钟傅欢右路传中，武磊头球弹地后偏出
22'傅欢右路传中，武磊头球射门反弹球出底线                   20'第20分钟傅欢右路传中，武磊头球弹地后偏出
22'李本舰拼抢中受伤倒地                   20'第20分钟傅欢右路传中，武磊头球弹地后偏出
23'UniQue帅li：天津呀！！哎…（这个哎意味深长。。。）                   20'第20分钟傅欢右路传中，武磊头球弹地后偏出
23'互动问答：李本舰的发型是？ A：莫西干  B：爆炸头[qiangda]                   20'第20分钟傅欢右路传中，武磊头球弹地后偏出
35'王燊超后场断球，一路带到前场连趟两人                   35'第35分钟苑维玮拦截傅欢犯规，王佳玉右路任意球开到禁区，天津后卫解围不远，武磊怒射打高
35'左路面对防守，王燊超还是带丢了                   35'第35分钟苑维玮拦截傅欢犯规，王佳玉右路任意球开到禁区，天津后卫解围不远，武磊怒射打高
35'张可luck：海滨加油，玮小宝加油！支持鲁能老将，支持鲁能！同时祝福泰达（两人都是鲁能旧将啊）                   35'第35分钟苑维玮拦截傅欢犯规，王佳玉右路任意球开到禁区，天津后卫解围不远，武磊怒射打高
36'傅欢右路人球分过，被苑维玮绊倒，任意球                   35'第35分钟苑维玮拦截傅欢犯规，王佳玉右路任意球开到禁区，天津后卫解围不远，武磊怒射打高
36'任意球第一点被顶出，外围武磊跟上远射打高！                   35'第35分钟苑维玮拦截傅欢犯规，王佳玉右路任意球开到禁区，天津后卫解围不远，武磊怒射打高
38'武磊拿球分右路，傅欢再做球推身后                   35'第35分钟苑维玮拦截傅欢犯规，王佳玉右路任意球开到禁区，天津后卫解围不远，武磊怒射打高
38'武磊插上倒三角被破坏，球打在苑维玮手上，任意球                   35'第35分钟苑维玮拦截傅欢犯规，王佳玉右路任意球开到禁区，天津后卫解围不远，武磊怒射打高
48'海森接右路传中头球摆渡，麦克左脚射门打在后卫腿上折射破门！                   48'第48分钟伊班防守犯规吃到黄牌
48'上港1-0领先泰达！                   48'第48分钟伊班防守犯规吃到黄牌
48'伊班后场上抢，手触球了                   48'第48分钟伊班防守犯规吃到黄牌
49'裁判黄牌警告伊班                   48'第48分钟伊班防守犯规吃到黄牌
49'安德烈齐尼奥任意球开进禁区，被头球顶出来                   48'第48分钟伊班防守犯规吃到黄牌
50'安德烈齐尼奥左路突破，蔡慧康犯规了                   48'第48分钟伊班防守犯规吃到黄牌
51'泰达进球了！！！                   48'第48分钟伊班防守犯规吃到黄牌
51'瓦伦西亚！！！扳平比分！！！                   48'第48分钟伊班防守犯规吃到黄牌
51'右路白岳峰传中，门前瓦伦西亚插上冲顶破门！                   48'第48分钟伊班防守犯规吃到黄牌
51'场上比分1-1！                   48'第48分钟伊班防守犯规吃到黄牌
60'傅欢后场出球失误，被苑维玮直接断下                   60'第60分钟天津泰达先换人，周燎换下胡人天
60'泰达右路控制球                   60'第60分钟天津泰达先换人，周燎换下胡人天
61'李本舰左路接应转移，传中被傅欢挡出边线                   60'第60分钟天津泰达先换人，周燎换下胡人天
61'泰达换人，胡人天被周燎换下                   60'第60分钟天津泰达先换人，周燎换下胡人天
61'瓦伦西亚过掉阿多下底，传中拿到一个角球                   60'第60分钟天津泰达先换人，周燎换下胡人天
62'安德烈齐尼奥角球开出，瓦伦西亚前点头球后蹭攻门被颜骏凌托出横梁！                   60'第60分钟天津泰达先换人，周燎换下胡人天
63'换一边角球，被解围出去                   60'第60分钟天津泰达先换人，周燎换下胡人天
63'苑维玮的外围远射被颜骏凌扑出！                   60'第60分钟天津泰达先换人，周燎换下胡人天
66'蔡慧康转移右路，傅欢过人被李本舰破坏                   66'第66分钟吕文君突然出过顶球到禁区，海森不停顿禁区内转身抽射，但被宗磊不可思议把球打出
67'吕文君过顶球进禁区，海森转身的凌空抽射被宗磊扑出！                   66'第66分钟吕文君突然出过顶球到禁区，海森不停顿禁区内转身抽射，但被宗磊不可思议把球打出
67'王佳玉角球开前点，麦克垫射打高！                   66'第66分钟吕文君突然出过顶球到禁区，海森不停顿禁区内转身抽射，但被宗磊不可思议把球打出
68'上港换人，蔡慧康被汪佳捷换下                   66'第66分钟吕文君突然出过顶球到禁区，海森不停顿禁区内转身抽射，但被宗磊不可思议把球打出
69'泰达球吊入禁区，颜骏凌出击抢在瓦伦西亚之前把球拿到                   66'第66分钟吕文君突然出过顶球到禁区，海森不停顿禁区内转身抽射，但被宗磊不可思议把球打出
69'吕文君左路拿球，传中被宗磊没收                   66'第66分钟吕文君突然出过顶球到禁区，海森不停顿禁区内转身抽射，但被宗磊不可思议把球打出
67'吕文君过顶球进禁区，海森转身的凌空抽射被宗磊扑出！                   67'第67分钟上港第一次换人，周中足协杯首发的汪佳捷换下蔡慧康
67'王佳玉角球开前点，麦克垫射打高！                   67'第67分钟上港第一次换人，周中足协杯首发的汪佳捷换下蔡慧康
68'上港换人，蔡慧康被汪佳捷换下                   67'第67分钟上港第一次换人，周中足协杯首发的汪佳捷换下蔡慧康
69'泰达球吊入禁区，颜骏凌出击抢在瓦伦西亚之前把球拿到                   67'第67分钟上港第一次换人，周中足协杯首发的汪佳捷换下蔡慧康
69'吕文君左路拿球，传中被宗磊没收                   67'第67分钟上港第一次换人，周中足协杯首发的汪佳捷换下蔡慧康
70'王七胖：天津泰达太没追求（也不是，赢球的话积分能反超上港）                   67'第67分钟上港第一次换人，周中足协杯首发的汪佳捷换下蔡慧康
70'王燊超左路下底传中，被解围                   67'第67分钟上港第一次换人，周中足协杯首发的汪佳捷换下蔡慧康
72'傅欢右路传中，直接传出底线                   72'第72分钟天津队第二次换人有些意外，聊博超换下刚出场没多久、而且也没受伤的周燎
73'互动话题：上港的积分榜排名是？ A：第六 B：第七[qiangda]                   72'第72分钟天津队第二次换人有些意外，聊博超换下刚出场没多久、而且也没受伤的周燎
73'汪佳捷还是传右路找傅欢                   72'第72分钟天津队第二次换人有些意外，聊博超换下刚出场没多久、而且也没受伤的周燎
73'麦克禁区前脚后跟做球，可惜中路没有人插上                   72'第72分钟天津队第二次换人有些意外，聊博超换下刚出场没多久、而且也没受伤的周燎
74'泰达换人，聊博超换下了刚刚上来不久的周燎                   72'第72分钟天津队第二次换人有些意外，聊博超换下刚出场没多久、而且也没受伤的周燎
75'白岳峰直塞底线前，聊博超没有追上                   72'第72分钟天津队第二次换人有些意外，聊博超换下刚出场没多久、而且也没受伤的周燎
75'海森接应麦克的直塞，越位在先                   72'第72分钟天津队第二次换人有些意外，聊博超换下刚出场没多久、而且也没受伤的周燎
87'安德烈齐尼奥任意球开门前，颜骏凌双拳击出                   87'第87分钟上港用林创益换下吕文君
87'吕文君左路传中，苑维玮后点解围，角球                   87'第87分钟上港用林创益换下吕文君
87'角球力量太大，直接出另一侧的底线                   87'第87分钟上港用林创益换下吕文君
88'上港换人，林创益换下吕文君                   87'第87分钟上港用林创益换下吕文君
88'李本舰中场拿球，直接超远距离射门打飞                   87'第87分钟上港用林创益换下吕文君
88'泰达换人，杜震宇换下安德烈齐尼奥                   87'第87分钟上港用林创益换下吕文君
89'卡里里外围远射被封堵                   87'第87分钟上港用林创益换下吕文君
90'泰达有队员抽筋倒地了                   87'第87分钟上港用林创益换下吕文君
90'有心人心有人：武磊好像有点平庸了（状态不佳啊）                   87'第87分钟上港用林创益换下吕文君
89'卡里里外围远射被封堵                   89'第89分钟泰达队郭皓严重抽筋倒地不起，比赛被迫暂停了一小会
90'泰达有队员抽筋倒地了                   89'第89分钟泰达队郭皓严重抽筋倒地不起，比赛被迫暂停了一小会
90'有心人心有人：武磊好像有点平庸了（状态不佳啊）                   89'第89分钟泰达队郭皓严重抽筋倒地不起，比赛被迫暂停了一小会
91'下半场补时4分钟                   89'第89分钟泰达队郭皓严重抽筋倒地不起，比赛被迫暂停了一小会
92'汪佳捷前场倒地铲球犯规                   89'第89分钟泰达队郭皓严重抽筋倒地不起，比赛被迫暂停了一小会
92'裁判黄牌警告了汪佳捷                   89'第89分钟泰达队郭皓严重抽筋倒地不起，比赛被迫暂停了一小会
93'补时所剩时间不多了                   93'第93分钟傅欢右路起球，林创益头球偏出
94'上港右路找机会，傅欢传中没有太大威胁                   93'第93分钟傅欢右路起球，林创益头球偏出
95'武磊前场拿球转身被断，反抢犯规了                   93'第93分钟傅欢右路起球，林创益头球偏出
95'全场比赛结束！                   93'第93分钟傅欢右路起球，林创益头球偏出
