3'左侧郑涛卡住身位，把球护出了边线，身后的李星灿没有办法                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
3'右侧界外球扔出来                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
3'郑达伦上抢拦截，自己顺势往前冲，被回防的费尔南多绊倒                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
3'裁判哨响，左侧权健获得前场定位球机会                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
3'帕托主罚这个球                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
4'左侧直接传中，禁区内找后点，给的太大，，直接飞出底线                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
4'邓小飞门球开出，交给吴庆                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
4'在给后腰彭欣力，斜传向前                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
4'中路卡尔德克护球，在分边给刘欢                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
4'刘欢不仅歌唱的好，还会打边后卫                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
4'左侧挑传向前，吴庆前插，压到底线附近                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
5'传中进来，禁区内糜昊伦断下来                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
5'长传向前，，反击，，，机会不错                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
5'帕托把球领下来，领的不错                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
5'快马突袭，闪入禁区，，单刀了，                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
5'面对出击的邓小飞，思考了好一阵人生，最后的推射被邓小飞用腿挡出底线                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
6'这球，，错过机会啊                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
6'右侧角球开起来                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
6'禁区前，被解围了                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
6'外围在争，，重庆的后卫解围出边线                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
6'权健继续猛攻，开场没有试探性，直接就出杀招啊                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
8'邓小飞出来把球没收，手抛给丁捷                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
8'挑传到左路，吴庆大范围转移                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
8'右路小摩托顶了一下，找到卡尔德克                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
8'背身护球，在做给小摩托，内切                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
8'大禁区前沿右侧怒射一脚，被门将没收。太正                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
8'张鹭大脚开起来                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
8'前场右侧张诚把球得到，中路在给维特塞尔                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
9'左侧交给郑达伦，在横敲，中路被刘欢破坏                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
9'外围左侧张修维的逼抢把球踢出边线                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
9'重庆有点被断啊                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
9'有点被动啊                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
9'吴庆左侧控球，转移一脚，右侧禁区外围小摩托把球停好                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
10'吴庆这两次转移还是不错的                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
10'小摩托自己内切，往中路盘带                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
10'维特塞尔大长腿一伸，连人带球全部干翻                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
10'裁判哨响，，重庆前场中路位置非常不错的一个定位球机会                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
11'小摩托亲自主罚，大力出奇迹，，想打穿人墙                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
11'但是同伴没配合好，球打在彭欣力身上出了底线，同伴没闪开啊                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
11'张鹭大脚开起来                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
11'中圈右侧赵旭日往前交给帕托，胸部一停                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
11'刘宇贴身防守把球解围                   8'第8分钟费尔南多头球摆渡，卡尔德克背身护球再做给费尔南多，“小摩托”带球内切，在大禁区前沿右侧一脚怒射被门将扑住
14'力帆边线球给到中间，吴庆拿球，挑传到禁区                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
14'左肋南松插上，速度很快，底线附近一扣                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
14'但是刘奕鸣防守比较严谨，没有吃晃，把球踢出底线                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
14'战术角球，左侧小摩托横敲禁区前沿                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
14'卡尔德克在回给小摩托，回敲丁捷                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
15'转移到了右侧，连续的渗透，球再回给小摩托                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
15'过渡到左侧彭欣力脚下，传中搓起来                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
15'禁区内刘宇力压维特塞尔，头球顶偏了                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
15'张鹭门球给到糜昊伦，斜传直接失误出界                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
15'左侧重庆界外球给出，长传冲吊到禁区前沿                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
16'小摩托在给到南松，转移到左侧刘欢                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
16'回敲中路刘宇，在给邓小飞，分给米洛维奇                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
16'低传向前，被维特塞尔断了，南松身后拉人犯规了                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
16'左侧权健定位球，中路给赵旭日，在分右侧张诚                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
16'长传向前，被刘宇顶出边线                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
17'右侧界外球，张诚给到维特塞尔，直接垫向底线                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
17'张诚没有追到啊。。。。球出了底线                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
17'邓小飞大脚开出门球                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
17'中前场左侧拼抢，权健把球踢出去，刘宇后场拿球，转移                   14'第14分钟彭欣力左路传中，刘宇力压维特塞尔头球攻门打高
27'左侧前场维特塞尔组织，压到禁区前沿                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
27'重庆对于维特塞尔的防守太松了啊                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
27'一记斜传，给到点球点附近                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
27'帕托得球，左脚抽射，被邓小飞侧扑挡出                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
27'重庆后场解围出去                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
28'小摩托拼抢被郑达伦掀翻在地，郑达伦吃到黄牌                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
28'定位球给到刘欢，斜传被李星灿挡出边线                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
28'左侧彭欣力给到南松，过渡在给左侧                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
28'刘欢拿球上来，助攻。。内切走中间                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
28'在起球，传中到门前给的位置够贼                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
29'卡尔德克小禁区前沿，一记头球重锤，犹豫炮弹出膛                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
29'说时迟那时快，千钧一发之时，张鹭神扑化解                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
29'禁区内还有机会                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
29'左侧拼抢，被权健解围出边线                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
30'界外球在给卡尔德克，右侧禁区边缘往前杀                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
30'刘奕鸣紧贴防守，把球捅出底线                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
30'右侧重庆角球开入禁区                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
30'中路丁捷一蹭，顶向右门柱。。张鹭出来没收                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
30'大脚开起来                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
30'前场右侧，郑达伦得球，往底线趟                   27'第27分钟维特塞尔一记斜传给到点球点附近，帕托得球左脚抽射被邓小飞扑出
29'卡尔德克小禁区前沿，一记头球重锤，犹豫炮弹出膛                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
29'说时迟那时快，千钧一发之时，张鹭神扑化解                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
29'禁区内还有机会                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
29'左侧拼抢，被权健解围出边线                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
30'界外球在给卡尔德克，右侧禁区边缘往前杀                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
30'刘奕鸣紧贴防守，把球捅出底线                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
30'右侧重庆角球开入禁区                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
30'中路丁捷一蹭，顶向右门柱。。张鹭出来没收                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
30'大脚开起来                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
30'前场右侧，郑达伦得球，往底线趟                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
31'倒三角在给到中间，禁区弧顶位置，维特塞尔拿球                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
31'迎着来球，不作调整，直接大力施射。。。贴地箭，，偏出                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
31'邓小飞大脚开起                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
31'刘宇在给到左侧刘欢，回到中间吴庆脚下                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
31'右侧转移给郑涛，长传直接飞出底线                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
31'张鹭大脚开起                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
31'右侧刘欢手球犯规                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
32'张修维这时候受伤，倒在地上                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
32'张修维是拼抢中被南松踢了脚后跟，问题应该不大                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
32'权健定位球给到中间，维特塞尔                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
32'左侧在分给郑达伦，遭遇逼抢，造成界外球                   29'第29分钟郑达伦右路下底倒三角回传，跟进的维特塞尔直接起脚抽射，皮球擦着近端立柱偏出
36'重庆的防守确实问题不小啊                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
36'邓小飞手抛球给到左侧刘欢                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
36'斜传中路，彭欣力在分左路，直接失误了，场地不平啊                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
36'这个场地，，不得不说，，是因为某明星的演唱会，所以造成了草坪的破坏                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
37'权健边线球给出                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
37'李星灿转到左侧，郑达伦拿球                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
37'突破内切，，到禁区，闪开角度，张弓搭箭，爆射。。。被门将挡出                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
38'门前，帕托跟上再补，近在咫尺的补射打在邓小飞身上弹入网窝                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
38'不过，这球不算，，帕托越位了                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
38'比赛继续                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
38'权健机会仍然很多啊                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
38'右侧李星灿的挑传                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
38'禁区内维特塞尔右侧插上，，机会很好，，双鬼拍门了                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
39'禁区内面对出击的门将，低传到后门柱。                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
39'帕托，面对空门，，十足的空门，，踢呲了。。偏出底线                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
39'重庆拼抢犯规                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
39'张鹭后场开出定位球                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
39'右侧前场争顶，被吴庆控制                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
39'再往前走，给卡尔德克，挑传再往前走                   36'第36分钟郑达伦前场左路拿球，突破内切到禁区闪开角度一脚爆射被邓小飞扑出，跟进的帕托虽将球打进但越位在先
41'左侧界外球给刘宇，斜传丁捷，禁区前沿再分                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
41'找小摩托，权敬源防守踢人犯规了                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
41'跟刚刚小摩托那次爆射打在彭欣力身上的那个任意球位置相似                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
42'依然是小摩托主罚，左脚超级爆射                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
42'直窜球门左侧，张鹭龙腾虎跃，飞身扑出，，精彩啊                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
42'这球如果在高一些，估计张鹭就鞭长莫及了                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
42'左侧角球开出                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
42'这球给的质量差强人意啊                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
42'右侧依然是重庆的球权                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
42'再送进来，，禁区左侧，小摩托飞身垫向中路                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
43'第一点被防守队员破坏                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
43'外围李星灿得球，快速往前反击                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
43'前场右侧无人接应，自己单干                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
43'内切到禁区前沿，被撞翻在地，刘欢的犯规                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
43'右侧，这角度只能是传球                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
43'帕托佯装主罚，实际是李星灿的左脚传中                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
44'禁区内第一点，重庆防守后蹭解围出底线                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
44'帕托主罚左侧角球，但是禁区内双方拼抢位置有点摩擦                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
44'郑涛是被维特塞尔挤翻在地                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
44'张雷过来，平息一下                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
44'左侧帕托开起来                   41'第41分钟费尔南多主罚任意球大力轰门，皮球飞火流星般奔向死角，张鹭也是神勇，飞身将球扑出
50'被他狠狠撞翻在地的是张修维啊                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
51'权健中路定位球，交给维特塞尔主罚                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
51'交给左侧李星灿，长传向前                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
51'禁区外围郑涛一脚解围                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
51'打在了逼抢上来的张修维身上，弹出底线                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
51'邓小飞门球发给刘欢                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
51'中路在给米洛维奇，后场倒脚                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
52'慢慢往前推进，彭欣力挑传                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
52'左侧吴庆前插下底，没追上                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
