6'奥斯克前场和莫塞斯的撞墙配合                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
6'奥斯卡拿球横带，禁区外围被布林顿伸腿绊倒                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
6'切尔西获得前场任意球机会                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
6'位置在球门的正前方，危险地带哦                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
7'奥斯卡和伊万诺维奇都在球前，谁来罚了                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
7'奥斯卡任意球攻门，可惜直接打在了人墙上弹出                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
7'斯旺西右路的反击，埃尔南德斯拿球底线内切传中                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
7'卡希尔伸腿将球挡出了底线                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
8'斯旺西获得右侧角球机会                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
8'斯旺西角球开到禁区中间，托雷斯头球解围出禁区                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
8'斯旺西左路的进攻，又赢得了角球机会                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
9'蒙克角球开到禁区，莫塞斯头球解围                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
9'阿扎尔后场拿球反击，过了中线的斜传球被戴维斯拦截                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
12'阿扎尔背身拿球，没机会转身，继续回敲给到米克尔                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
12'米克尔斜传球到左路给到莫塞斯                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
12'莫塞斯拿球下底传中，被斯旺西球员伸腿挡出了底线                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
12'切尔西获得左侧角球机会                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
13'阿扎尔角球开到前点，托雷斯头球攻门被特里梅尔奋力扑出                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
