5'法比尼奥接球突然一脚长传到右路，阿诺德飞速插上                   2'开场仅2分钟，罗伯逊左路传中，但马内小禁区边缘包抄稍慢错过机会
5'差了一点，出了底线                   2'开场仅2分钟，罗伯逊左路传中，但马内小禁区边缘包抄稍慢错过机会
5'莱诺大脚开出                   2'开场仅2分钟，罗伯逊左路传中，但马内小禁区边缘包抄稍慢错过机会
10'利物浦又反抢回来，维纳尔杜姆直接大脚长传                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
10'传出了底线，刚上来大家都得熟悉熟悉                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
10'脚法都有些问题                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
11'伊沃比接球杀入禁区了，直接起脚打门被阿利森挡出底线                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
11'战术角球开出，再传中                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
11'奥巴梅杨蹭了一下出了底线                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
12'伊沃比抢断带球反击                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
12'加速推进，下底传中                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
12'后点奈尔斯跟进                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
13'一脚倒地的推射，进了                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
