1'马竞先开球，上半场比赛开始了                   1'双方第1分钟均显得小心谨慎
1'格列兹曼给后场右侧弗萨里科                   1'双方第1分钟均显得小心谨慎
1'弗萨里科直塞球往前给                   1'双方第1分钟均显得小心谨慎
1'皮球被后场的乌姆蒂蒂拦截下来                   1'双方第1分钟均显得小心谨慎
1'回传后场的特尔施特根                   1'双方第1分钟均显得小心谨慎
1'特尔施特根开球给后场右侧罗贝托                   1'双方第1分钟均显得小心谨慎
2'分球给中路皮克                   1'双方第1分钟均显得小心谨慎
2'皮克回给门将特尔施特根                   1'双方第1分钟均显得小心谨慎
2'特尔施特根大脚开球到中场附近，库蒂尼奥把球得到                   1'双方第1分钟均显得小心谨慎
2'库蒂尼奥分球被加比抢断下来                   1'双方第1分钟均显得小心谨慎
2'加比分球给后场戈丁                   1'双方第1分钟均显得小心谨慎
2'再给中场右侧托马斯                   1'双方第1分钟均显得小心谨慎
3'低平球给前场右侧弗萨里科                   1'双方第1分钟均显得小心谨慎
3'弗萨里科回传一下萨乌尔                   1'双方第1分钟均显得小心谨慎
3'萨乌尔低平球送前场，皮球被罗贝托后场断下来                   1'双方第1分钟均显得小心谨慎
3'罗贝托回给门将特尔施特根                   1'双方第1分钟均显得小心谨慎
3'特尔施特根大脚开球给到后场左侧阿尔巴                   1'双方第1分钟均显得小心谨慎
3'阿尔巴低平球斜传给到伊涅斯塔                   1'双方第1分钟均显得小心谨慎
3'伊涅斯塔被上抢的弗萨里科犯规了                   1'双方第1分钟均显得小心谨慎
4'巴萨后场左侧的定位球                   1'双方第1分钟均显得小心谨慎
4'开球给后场右侧乌姆蒂蒂                   1'双方第1分钟均显得小心谨慎
4'低平球推传身边罗贝托                   1'双方第1分钟均显得小心谨慎
4'科克上前把球抢出了边线                   1'双方第1分钟均显得小心谨慎
4'巴萨右侧边线发球，给中场拉基蒂奇                   1'双方第1分钟均显得小心谨慎
4'拉基蒂奇给左路伊涅斯塔                   1'双方第1分钟均显得小心谨慎
4'伊涅斯塔带球下底传中                   1'双方第1分钟均显得小心谨慎
26'巴萨后场定位球开给中圈的伊涅斯塔                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
26'伊涅斯塔分给左侧的阿尔巴                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
26'阿尔巴低平球斜传禁区前沿苏亚雷斯                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
26'吉梅内斯回防把球大脚解围                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
26'梅西外围还有球权！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
26'梅西带球加速突破！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
26'禁区前沿被托马斯放倒了！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
26'巴萨禁区前沿右侧的任意球！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
27'梅西来处理这个绝佳任意球                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
27'梅西助跑，左脚直接打门！！！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
27'皮球飞向球门右上角！！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
