1'两队的队长猜边！                   1'曼城第1分钟就全力压制对手
1'中圈准备开球！                   1'曼城第1分钟就全力压制对手
1'哈镇球员先开球！                   1'曼城第1分钟就全力压制对手
1'开球回给身后的孔戈洛！                   1'曼城第1分钟就全力压制对手
1'一脚长传球给前场中路！                   1'曼城第1分钟就全力压制对手
1'斯通斯把球大脚破坏出来                   1'曼城第1分钟就全力压制对手
2'费尔南迪尼奥得球推进！                   1'曼城第1分钟就全力压制对手
2'横敲给前场右侧伯纳多-席尔瓦！                   1'曼城第1分钟就全力压制对手
2'伯纳多-席尔瓦回给身后的斯通斯！                   1'曼城第1分钟就全力压制对手
2'斯通斯挑传到禁区内后点！                   1'曼城第1分钟就全力压制对手
3'史密斯头球解围出去！                   1'曼城第1分钟就全力压制对手
3'曼城的右侧角球！                   1'曼城第1分钟就全力压制对手
3'角球开到禁区内左肋附近！                   1'曼城第1分钟就全力压制对手
3'大卫-路易斯争抢把球停下来！                   1'曼城第1分钟就全力压制对手
3'给禁区左侧热苏斯！                   1'曼城第1分钟就全力压制对手
3'热苏斯左脚推射！                   1'曼城第1分钟就全力压制对手
3'皮球被本-哈默扑出边线！                   1'曼城第1分钟就全力压制对手
25'埃德森-莫赖斯大脚开球给前场中路                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
25'双方争抢！！                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
26'曼城给前场中路一脚直传球！！                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
26'禁区前沿阿奎罗把球得到！                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
26'停球调整一下！横移中路！                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
26'阿奎罗左脚挑射打门！！！                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
26'GOOOOOOOOOAL！球进了！！！                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
28'继续看比赛                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
28'哈德斯菲尔德的左侧角球机会                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
