3'唐淼将球处理出底线,天津泰达获得角球.                   2'第2分钟，天津队获得角球，被对方后卫顶出
4'天津泰达球员白岳峰一脚直塞球给Éder Lima,但是边裁举旗显示后者已经越位.                   2'第2分钟，天津队获得角球，被对方后卫顶出
6'进球啦！！！广州富力球员达维大禁区外左脚射门,球从右上角飞进球门,球进了!助攻的是Park Jong-Woo. 天津泰达 0-1 广州富力.                   5'第5分钟，张远半场抢断李本舰得手，达维得球后推进到禁区前沿突 施冷箭，皮球从右上角越过扑救的宗磊直窜网底
7'天津泰达球员周海滨一脚直塞球给巴雷,但是边裁举旗显示后者已经越位.                   5'第5分钟，张远半场抢断李本舰得手，达维得球后推进到禁区前沿突 施冷箭，皮球从右上角越过扑救的宗磊直窜网底
8'广州富力球员李岩拼抢犯规,对手获得控球权.                   5'第5分钟，张远半场抢断李本舰得手，达维得球后推进到禁区前沿突 施冷箭，皮球从右上角越过扑救的宗磊直窜网底
8'王新欣为天津泰达赢得一个任意球.                   5'第5分钟，张远半场抢断李本舰得手，达维得球后推进到禁区前沿突 施冷箭，皮球从右上角越过扑救的宗磊直窜网底
11'天津泰达球员瓦伦西亚大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是周海滨.                   10'第10分钟，周海滨右路传中，瓦伦西亚点球点 附近甩头攻门，皮球稍稍高出横梁
11'广州富力球员Abderazak Hamdallah手球犯规,对手获得球权.                   10'第10分钟，周海滨右路传中，瓦伦西亚点球点 附近甩头攻门，皮球稍稍高出横梁
15'姜至鹏将球处理出底线,天津泰达获得角球.                   15'第15分钟，巴雷将长传球顶下，瓦伦西亚领球进入禁区跟后 卫身体接触后倒地，但主裁判未做表示
16'Park Jong-Woo为广州富力赢得一个任意球.                   15'第15分钟，巴雷将长传球顶下，瓦伦西亚领球进入禁区跟后 卫身体接触后倒地，但主裁判未做表示
16'天津泰达球员李本舰拼抢犯规,对手获得控球权.                   15'第15分钟，巴雷将长传球顶下，瓦伦西亚领球进入禁区跟后 卫身体接触后倒地，但主裁判未做表示
16'天津泰达李本舰受伤倒地,比赛暂停                   15'第15分钟，巴雷将长传球顶下，瓦伦西亚领球进入禁区跟后 卫身体接触后倒地，但主裁判未做表示
18'天津泰达换人,曹阳上,李本舰因伤下场.                   15'第15分钟，巴雷将长传球顶下，瓦伦西亚领球进入禁区跟后 卫身体接触后倒地，但主裁判未做表示
18'暂停结束,球员们重新开始比赛.                   15'第15分钟，巴雷将长传球顶下，瓦伦西亚领球进入禁区跟后 卫身体接触后倒地，但主裁判未做表示
