1'上半场比赛开始！！                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
1'首先是主队纽卡斯尔开球，从画面的右侧向左进攻！！                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
1'纽卡斯尔开球，中圈直接吊射，埃德森将球拿到！                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
1'好久没看到这样的开球方式了！！                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
2'费尔南迪奥前场中路拿球，分球右侧贝尔纳多-席尔瓦                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
2'贝尔纳多-席尔瓦的斜传球到禁区                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
2'埃利奥特出击，稳稳将球拿到！                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
3'沃克右路拿球，直塞给到德布劳内                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
3'德布劳内拿球内切，斜传禁区，再次被埃利奥特没收                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
4'沃克右路拿球，面对逼抢，横传孔帕尼                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
4'孔帕尼转移球到左侧找达尼洛                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
4'达尼洛再给京多安，横传费尔南迪尼奥                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
4'费尔南迪尼奥的斜传转移找斯特林                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
11'一个急停，再加速下底                   11'第11分钟，孔帕尼受伤被热苏斯换下
11'没机会，转身回带，迪亚姆上来逼抢                   11'第11分钟，孔帕尼受伤被热苏斯换下
11'阿圭罗选择了横传球到禁区，被解围！！                   11'第11分钟，孔帕尼受伤被热苏斯换下
11'德布劳内禁区外拿球，调整一下，起脚打门，被封堵！                   11'第11分钟，孔帕尼受伤被热苏斯换下
12'曼城换人：33号热苏斯上，换下了受伤的4号孔帕尼！！                   11'第11分钟，孔帕尼受伤被热苏斯换下
12'后卫受伤被换下，换上了前锋，战术大师瓜迪奥拉的思想，一般人不懂的，哈哈                   11'第11分钟，孔帕尼受伤被热苏斯换下
13'贝尔纳多-席尔瓦右路拿球，内切被回防的墨菲放倒在地                   11'第11分钟，孔帕尼受伤被热苏斯换下
13'曼城获得前场右路的任意球机会！！！                   11'第11分钟，孔帕尼受伤被热苏斯换下
13'德布劳内任意球斜传到禁区，第一点被解围出来到左路                   11'第11分钟，孔帕尼受伤被热苏斯换下
13'贝尔纳多-席尔瓦拿球，回传德布劳内                   11'第11分钟，孔帕尼受伤被热苏斯换下
14'横传中间给京多安，再给斯特林                   11'第11分钟，孔帕尼受伤被热苏斯换下
14'斯特林直塞身后找到溜底进来的热苏斯                   11'第11分钟，孔帕尼受伤被热苏斯换下
14'热苏斯停球稍作调整，起脚打门被挡出底线                   11'第11分钟，孔帕尼受伤被热苏斯换下
14'曼城获得了角球机会，没能形成威胁！                   11'第11分钟，孔帕尼受伤被热苏斯换下
30'德布劳内外围拿球，分球阿圭罗                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
30'阿圭罗左脚停球，面对身前的姆本巴                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
30'和回防的墨菲，虚晃一下，横切自己右侧                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
31'禁区外起右脚抽射，擦着右侧立柱出底线！！                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
31'曼城进球，1-0！！！                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
31'斯特林！！                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
32'斯特林左路拿球，内切回传德布劳内，德布劳内搓传身后到门前，斯特林插上倒地，左脚铲射打进近角！！                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
32'斯特林发起，斯特林终结，这剧情完美了啊！！                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
33'上半场比赛32分钟了，纽卡斯尔还没有一次像样的进攻机会啊                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
33'德布劳内前场中路拿球，直塞找热苏斯                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
33'埃利奥特出击，抢在热苏斯之前，将球拿到！                   30'第30分钟，德布劳内传球，阿圭罗摆脱2人夹防后25码处抽射擦中右侧立柱偏出
34'纽卡斯尔前场右路的进攻！！                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
35'耶德林右路斜传到禁区                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
35'中间的何塞鲁靠着费尔南迪尼奥，想来倒勾，没踢到                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
