4'奥蒂兹趟球力量过大，马赛咯卡住身位，奥蒂兹身后推人犯规                   4'第4分钟，摩德里奇直传，卡列洪禁区右侧15码处劲射被托尼奥扑出
4'莫德里奇直塞球给到卡列洪                   4'第4分钟，摩德里奇直传，卡列洪禁区右侧15码处劲射被托尼奥扑出
4'卡列洪禁区右侧角上面对出击的托诺一脚抽射被封                   4'第4分钟，摩德里奇直传，卡列洪禁区右侧15码处劲射被托尼奥扑出
5'这也是皇马开局的第一脚打门机会，非常不错哦                   4'第4分钟，摩德里奇直传，卡列洪禁区右侧15码处劲射被托尼奥扑出
5'纷花雪月:大家谁有视频直播（新浪视频和图文同步直播的）                   4'第4分钟，摩德里奇直传，卡列洪禁区右侧15码处劲射被托尼奥扑出
6'皇马左路进攻赢得前场任意球机会                   4'第4分钟，摩德里奇直传，卡列洪禁区右侧15码处劲射被托尼奥扑出
6'阿隆索任意球开到后点，本泽马被吹罚越位在先                   4'第4分钟，摩德里奇直传，卡列洪禁区右侧15码处劲射被托尼奥扑出
7'C罗左路拿球面对奥蒂兹的摆脱，被后者将球破坏出边线                   4'第4分钟，摩德里奇直传，卡列洪禁区右侧15码处劲射被托尼奥扑出
7'皇马前场进攻，莫德里奇禁区外的斜传球到左路                   4'第4分钟，摩德里奇直传，卡列洪禁区右侧15码处劲射被托尼奥扑出
13'C罗左前场拿球，下底传中被奥蒂兹将球解围出底线                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
13'皇马获得左侧角球机会                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
13'阿隆索角球开到后点，第一点被格兰纳达球员解围                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
14'不过球还是在皇马球员脚下，赫迪拉拿球斜传给到佩佩                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
14'佩佩禁区外拿球被戈麦斯放倒                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
14'戈麦斯被裁判出示黄牌警告                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
14'皇马获得禁区右上角的任意球机会                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
15'C罗任意球直接攻门，低射打在禁区内的球员身上出了底线                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
15'裁判给了球门球，认为这脚打门打在皇马球员身上出底线                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
