1'上半场比赛开始                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
1'蒙蒂略和阿洛伊西奥在中圈发球                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
1'鲁能泰山队今天身着桔红色服装，而上海绿地队身着蓝色服装                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
1'吕征右路接球，对方破坏出边线                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
1'赵明剑发出界外球，吕征右路强突，造成对方犯规                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
2'范凌江的犯规，放倒了吕征，鲁能泰山队得到前场右翼任意球机会                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
2'任意球发到前点，对方抢点顶出来                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
3'求强悍妹子征服：库卡的能力是毋庸置疑的！世界前十的排名。关键还是鲁能本土球员！回复〔个人感觉还是自信心和配合上有些问题〕                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
3'鲁能泰山队在前场抢球犯规                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
3'上海绿地队长传球到前场                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
3'鲁能泰山队把球争顶下来                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
3'中前场上海绿地队断球，把球转移到左路                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
3'范凌江左路突破，被赵明剑把球破坏出边线                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
3'界外球发出来，上海绿地队左路直传球，被断                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
4'鲁能泰山队快速反击，高迪战术犯规，拉了刘彬彬一把                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
4'中场鲁能泰山队发出任意球，转移到右路进攻                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
4'吕征右路突破，在对方的包夹防守下，把球带丢                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
4'上海绿地队长传球，对方把球开回来                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
14'快乐的翔凯:一统是鲁能球迷，但是直播时很中立，我喜欢！回复[谢谢理解！尽可能中立解说，让大家能了解实际战况！]                   14'第14分钟，阿洛伊西奥被王寿挺放倒，山东鲁能获得任意球，蒙蒂略助跑后直接大力低射，但是偏出较多
14'阿洛伊西奥前场拿球，强突造成对方犯规                   14'第14分钟，阿洛伊西奥被王寿挺放倒，山东鲁能获得任意球，蒙蒂略助跑后直接大力低射，但是偏出较多
15'蒙蒂略发任意球直接打门！地滚球，偏啦！                   14'第14分钟，阿洛伊西奥被王寿挺放倒，山东鲁能获得任意球，蒙蒂略助跑后直接大力低射，但是偏出较多
16'情场惊魂：一统，鲁能让你失望没回复[胜负乃兵家常事！胜也罢败也罢，请球迷继续支持！]                   14'第14分钟，阿洛伊西奥被王寿挺放倒，山东鲁能获得任意球，蒙蒂略助跑后直接大力低射，但是偏出较多
16'后场上海绿地队得球，转移到左路，可惜配合失误，球出边线                   14'第14分钟，阿洛伊西奥被王寿挺放倒，山东鲁能获得任意球，蒙蒂略助跑后直接大力低射，但是偏出较多
16'保罗想交给范凌江，可惜的是配合出现失误                   14'第14分钟，阿洛伊西奥被王寿挺放倒，山东鲁能获得任意球，蒙蒂略助跑后直接大力低射，但是偏出较多
17'Edison老铁：一统，前三场。看着鲁能输。还要忍着不骂那些黑鲁能的球迷，是不是很憋屈很难受？回复[有骂我的，但我说了不算！是场上的队员发挥才能定！这也是球迷恨铁不成钢！我相信大部分球迷还是文明的，只有极少极少的人粗口，这不好！]                   14'第14分钟，阿洛伊西奥被王寿挺放倒，山东鲁能获得任意球，蒙蒂略助跑后直接大力低射，但是偏出较多
19'鲁能泰山队长传反击，对方后卫回传邱盛炯，邱盛炯不敢大意，把球破坏                   19'第19分钟，上海申花快速反击，四打三机会，但是乌索及时出现将球捅出，王大雷大脚解围
20'Edison老铁：一统，今年亚冠出局，齐鲁晚报黑鲁能，你也可以用转播机会黑他啊！！回复[踢得不好，挨批是应该的！象小孩子犯了错误，挨打接受教训应该是好事！]                   19'第19分钟，上海申花快速反击，四打三机会，但是乌索及时出现将球捅出，王大雷大脚解围
20'刘彬彬左路接球，斜传禁区，直接出底线                   19'第19分钟，上海申花快速反击，四打三机会，但是乌索及时出现将球捅出，王大雷大脚解围
21'天佑圣西罗：鲁能会让，会还申花卖大雷和戴琳的人情，回复[这从何说起啊！球员转会是正常的，在其位谋其正！都要为本队出力！]                   19'第19分钟，上海申花快速反击，四打三机会，但是乌索及时出现将球捅出，王大雷大脚解围
21'上海绿地队攻到前场，配合失误，王永珀把球抢断                   19'第19分钟，上海申花快速反击，四打三机会，但是乌索及时出现将球捅出，王大雷大脚解围
22'后场上海绿地队得球，右睡攻到中场，再转移左路                   19'第19分钟，上海申花快速反击，四打三机会，但是乌索及时出现将球捅出，王大雷大脚解围
22'双方都希望拿下本场比赛，但要看谁的矛更紧盾更固！                   19'第19分钟，上海申花快速反击，四打三机会，但是乌索及时出现将球捅出，王大雷大脚解围
28'sssssa2004：一统哥，你觉得刘彬彬怎么样回复[很好的球员啊，有速度有技术，能捕抓机会！]                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
28'王永珀一脚远射，被挡出底线！                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
28'今天鲁能泰山队表现更积极一些啊！                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
