9'进球啦！！！洛里昂球员乔丹-阿尤大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是Romain Philippoteaux. 马赛 0-1 洛里昂.                   9'第9分钟，加萨马直传，菲利波托回敲，乔丹-阿尤20码处射入右下角
12'Francois Bellugou将球处理出底线,马赛获得角球.                   9'第9分钟，加萨马直传，菲利波托回敲，乔丹-阿尤20码处射入右下角
47'勒孔特将球处理出底线,马赛获得角球.                   47'马赛连入2球扳平，第58分钟，帕耶特任意球传入禁区打中右侧立柱弹回，安德列-阿尤近距离凌空脚后跟破门
49'洛里昂球员Vincent Le Goff拼抢犯规,对手获得控球权.                   47'马赛连入2球扳平，第58分钟，帕耶特任意球传入禁区打中右侧立柱弹回，安德列-阿尤近距离凌空脚后跟破门
49'佩埃特为马赛在对方半场,赢得一个任意球.                   47'马赛连入2球扳平，第58分钟，帕耶特任意球传入禁区打中右侧立柱弹回，安德列-阿尤近距离凌空脚后跟破门
50'马赛球员佩埃特一脚直塞球给A-阿尤,但是边裁举旗显示后者已经越位.                   47'马赛连入2球扳平，第58分钟，帕耶特任意球传入禁区打中右侧立柱弹回，安德列-阿尤近距离凌空脚后跟破门
50'洛里昂球员乔丹-阿尤拼抢犯规,对手获得控球权.                   47'马赛连入2球扳平，第58分钟，帕耶特任意球传入禁区打中右侧立柱弹回，安德列-阿尤近距离凌空脚后跟破门
50'莫雷尔为马赛赢得一个任意球.                   47'马赛连入2球扳平，第58分钟，帕耶特任意球传入禁区打中右侧立柱弹回，安德列-阿尤近距离凌空脚后跟破门
68'穆斯塔法为洛里昂赢得一个任意球.                   68'第68分钟，菲利波托前场拦截后突入禁区右肋16码处低射左下角入网，3-2
68'马赛球员罗马奥拼抢犯规,对手获得控球权.                   68'第68分钟，菲利波托前场拦截后突入禁区右肋16码处低射左下角入网，3-2
68'进球啦！！！洛里昂球员Romain Philippoteaux大禁区中央右脚射门,球从左下角飞进球门,球进了! 马赛 2-3 洛里昂.                   68'第68分钟，菲利波托前场拦截后突入禁区右肋16码处低射左下角入网，3-2
69'马赛换人,Michy Batshuayi换下莱米纳                   68'第68分钟，菲利波托前场拦截后突入禁区右肋16码处低射左下角入网，3-2
70'马赛球员亚历桑德里尼一脚直塞球给吉尼亚克,但是边裁举旗显示后者已经越位.                   68'第68分钟，菲利波托前场拦截后突入禁区右肋16码处低射左下角入网，3-2
47'勒孔特将球处理出底线,马赛获得角球.                   47'洛里昂最后时刻连入2球，第84分钟，巴特尔梅传球，乔丹-阿尤突入禁区左侧10码处射入上角
49'洛里昂球员Vincent Le Goff拼抢犯规,对手获得控球权.                   47'洛里昂最后时刻连入2球，第84分钟，巴特尔梅传球，乔丹-阿尤突入禁区左侧10码处射入上角
49'佩埃特为马赛在对方半场,赢得一个任意球.                   47'洛里昂最后时刻连入2球，第84分钟，巴特尔梅传球，乔丹-阿尤突入禁区左侧10码处射入上角
50'马赛球员佩埃特一脚直塞球给A-阿尤,但是边裁举旗显示后者已经越位.                   47'洛里昂最后时刻连入2球，第84分钟，巴特尔梅传球，乔丹-阿尤突入禁区左侧10码处射入上角
50'洛里昂球员乔丹-阿尤拼抢犯规,对手获得控球权.                   47'洛里昂最后时刻连入2球，第84分钟，巴特尔梅传球，乔丹-阿尤突入禁区左侧10码处射入上角
50'莫雷尔为马赛赢得一个任意球.                   47'洛里昂最后时刻连入2球，第84分钟，巴特尔梅传球，乔丹-阿尤突入禁区左侧10码处射入上角
