3'南安普敦球员兰伯特大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   3'第3分钟，卢卡斯中场被抢断，兰伯特30码处远射偏出
10'利物浦球员格伦-约翰逊小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是苏亚雷斯.                   10'第10分钟，格伦-约翰逊直传，吉田麻也拦截落空，苏亚雷斯禁区右侧传中，格伦-约翰逊前点近距离推射滑门而过
10'肖将球处理出底线,利物浦获得角球.                   10'第10分钟，格伦-约翰逊直传，吉田麻也拦截落空，苏亚雷斯禁区右侧传中，格伦-约翰逊前点近距离推射滑门而过
11'克莱恩将球处理出底线,利物浦获得角球.                   10'第10分钟，格伦-约翰逊直传，吉田麻也拦截落空，苏亚雷斯禁区右侧传中，格伦-约翰逊前点近距离推射滑门而过
23'射门!!!利物浦球员格伦-约翰逊大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是斯特林.                   23'第23分钟，斯特灵传球，格伦-约翰逊晃过卢克-肖后禁区右侧左脚射近角被加扎尼加没收
24'射门!!!利物浦球员谢尔维大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是杰拉德.                   23'第23分钟，斯特灵传球，格伦-约翰逊晃过卢克-肖后禁区右侧左脚射近角被加扎尼加没收
24'柯克为南安普敦赢得一个任意球.                   23'第23分钟，斯特灵传球，格伦-约翰逊晃过卢克-肖后禁区右侧左脚射近角被加扎尼加没收
24'利物浦球员卢卡斯拼抢犯规,对手获得控球权.                   23'第23分钟，斯特灵传球，格伦-约翰逊晃过卢克-肖后禁区右侧左脚射近角被加扎尼加没收
26'射门!!!利物浦球员苏亚雷斯大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是乔-阿伦.                   23'第23分钟，斯特灵传球，格伦-约翰逊晃过卢克-肖后禁区右侧左脚射近角被加扎尼加没收
26'射门!!!利物浦球员苏亚雷斯大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是乔-阿伦.                   26'第26分钟，苏亚雷斯同乔-艾伦踢墙配合，卢克-肖拦截未果，苏亚雷斯禁区右侧12码处小角度射门被加扎尼加扑挡后没收
29'吉田麻也将球处理出底线,利物浦获得角球.                   26'第26分钟，苏亚雷斯同乔-艾伦踢墙配合，卢克-肖拦截未果，苏亚雷斯禁区右侧12码处小角度射门被加扎尼加扑挡后没收
31'利物浦球员斯科特尔大禁区左侧尝试头球,可惜皮球高出球门.给他传球的是杰拉德.                   31'第31分钟，杰拉德右路传中，斯科特尔远点头球攻门偏出
31'何塞-冯特为南安普敦赢得一个任意球.                   31'第31分钟，杰拉德右路传中，斯科特尔远点头球攻门偏出
31'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   31'第31分钟，杰拉德右路传中，斯科特尔远点头球攻门偏出
36'利物浦球员谢尔维大禁区右侧右脚射门,命中门柱左侧立柱.给他传球的是杰拉德.                   36'利物浦第36分钟险些破门，杰拉德传球，谢尔维禁区右侧12码处小角度抽射击中远角立柱弹回
36'拉米雷斯为南安普敦在对方半场,赢得一个任意球.                   36'利物浦第36分钟险些破门，杰拉德传球，谢尔维禁区右侧12码处小角度抽射击中远角立柱弹回
36'利物浦球员卢卡斯拼抢犯规,对手获得控球权.                   36'利物浦第36分钟险些破门，杰拉德传球，谢尔维禁区右侧12码处小角度抽射击中远角立柱弹回
