3'莱斯特城左侧角球开出！                   3'开场仅3分钟，麦迪逊开出角球，恩迪迪小禁区边缘头球攻门偏出
3'小禁区里中路！！跟上的恩迪迪头球偏出                   3'开场仅3分钟，麦迪逊开出角球，恩迪迪小禁区边缘头球攻门偏出
4'后场左侧曼联的边线球！                   3'开场仅3分钟，麦迪逊开出角球，恩迪迪小禁区边缘头球攻门偏出
4'分球身前右侧阿什利杨！                   3'开场仅3分钟，麦迪逊开出角球，恩迪迪小禁区边缘头球攻门偏出
4'高球传中 禁区里右侧！                   3'开场仅3分钟，麦迪逊开出角球，恩迪迪小禁区边缘头球攻门偏出
4'皮球被莱斯特城球员顶出了边线                   3'开场仅3分钟，麦迪逊开出角球，恩迪迪小禁区边缘头球攻门偏出
5'横敲左侧的卢克肖！挑传禁区里右侧                   3'开场仅3分钟，麦迪逊开出角球，恩迪迪小禁区边缘头球攻门偏出
5'拉什福德拍马杀到！一记头球高出                   3'开场仅3分钟，麦迪逊开出角球，恩迪迪小禁区边缘头球攻门偏出
6'拉什福德被推翻在了草坪上                   3'开场仅3分钟，麦迪逊开出角球，恩迪迪小禁区边缘头球攻门偏出
6'吹了莱斯特城的犯规！                   3'开场仅3分钟，麦迪逊开出角球，恩迪迪小禁区边缘头球攻门偏出
9'曼联进球啦                   9'曼联第9分钟取得领先，佩雷拉后场右路传球失误，博格巴断球后送出精准直传，反越位成功的拉什福德11码处单刀抽射左下角入网
10'博格巴过顶直塞球送到禁区右侧！拉什福德插上得球右脚抽射破门                   9'曼联第9分钟取得领先，佩雷拉后场右路传球失误，博格巴断球后送出精准直传，反越位成功的拉什福德11码处单刀抽射左下角入网
12'回传中前场中路恩迪迪！                   9'曼联第9分钟取得领先，佩雷拉后场右路传球失误，博格巴断球后送出精准直传，反越位成功的拉什福德11码处单刀抽射左下角入网
61'瓦尔迪！连续扣球！                   61'第61分钟，麦迪逊25码处任意球直接射门打中人墙偏转，瓦尔迪10码处倒钩射门令德赫亚扑救脱手，但西班牙人随即抢在巴恩斯之前没收皮球
61'直接被绊倒了！                   61'第61分钟，麦迪逊25码处任意球直接射门打中人墙偏转，瓦尔迪10码处倒钩射门令德赫亚扑救脱手，但西班牙人随即抢在巴恩斯之前没收皮球
61'莱斯特城任意球罚出！                   61'第61分钟，麦迪逊25码处任意球直接射门打中人墙偏转，瓦尔迪10码处倒钩射门令德赫亚扑救脱手，但西班牙人随即抢在巴恩斯之前没收皮球
61'麦迪逊右脚张弓搭箭 ！ 皮球被防守球员一挡！                   61'第61分钟，麦迪逊25码处任意球直接射门打中人墙偏转，瓦尔迪10码处倒钩射门令德赫亚扑救脱手，但西班牙人随即抢在巴恩斯之前没收皮球
63' 麦迪逊被换下了！加扎尔登场了！                   61'第61分钟，麦迪逊25码处任意球直接射门打中人墙偏转，瓦尔迪10码处倒钩射门令德赫亚扑救脱手，但西班牙人随即抢在巴恩斯之前没收皮球
63'莱斯特城球员得球 回传弧顶的恩迪迪                   61'第61分钟，麦迪逊25码处任意球直接射门打中人墙偏转，瓦尔迪10码处倒钩射门令德赫亚扑救脱手，但西班牙人随即抢在巴恩斯之前没收皮球
63'张弓搭箭 ！！迎球怒射！                   61'第61分钟，麦迪逊25码处任意球直接射门打中人墙偏转，瓦尔迪10码处倒钩射门令德赫亚扑救脱手，但西班牙人随即抢在巴恩斯之前没收皮球
63' 这球直接出了右侧底线！                   61'第61分钟，麦迪逊25码处任意球直接射门打中人墙偏转，瓦尔迪10码处倒钩射门令德赫亚扑救脱手，但西班牙人随即抢在巴恩斯之前没收皮球
