1'上半场比赛开始！！                   1'阿森纳第1分钟连续后场失误，但巴黎未能抓住反击创造得分机会
1'阿森纳开球，从画面的左侧向右进攻！                   1'阿森纳第1分钟连续后场失误，但巴黎未能抓住反击创造得分机会
4'阿森纳首发(4-2-3-1)：13-奥斯皮纳；25-詹金森，20-穆斯塔菲，6-科斯切尔尼，3-吉布斯；8-拉姆塞，34-科奎林；7-桑切斯，11-厄齐尔，17-伊沃比；12-吉鲁                   1'阿森纳第1分钟连续后场失误，但巴黎未能抓住反击创造得分机会
4'巴黎首发(4-3-3)：16-阿雷奥拉；12-穆尼耶，5-马尔基尼奥斯，2-蒂亚戈-席尔瓦，17-马克斯维尔；6-维拉蒂，4-克里乔维亚克，8-莫塔；7-小卢卡斯，9-卡瓦尼，14-马图伊迪                   1'阿森纳第1分钟连续后场失误，但巴黎未能抓住反击创造得分机会
18'巴黎后场传倒，不着急                   18'巴黎第18分钟取得领先，克里乔维亚克送出直传，马图伊迪在詹金森和穆斯塔菲之间突入禁区左侧斜传，卡瓦尼近距离铲射入网
18'席尔瓦带球过中线，分球莫塔                   18'巴黎第18分钟取得领先，克里乔维亚克送出直传，马图伊迪在詹金森和穆斯塔菲之间突入禁区左侧斜传，卡瓦尼近距离铲射入网
18'进球啦！！！                   18'巴黎第18分钟取得领先，克里乔维亚克送出直传，马图伊迪在詹金森和穆斯塔菲之间突入禁区左侧斜传，卡瓦尼近距离铲射入网
18'卡瓦尼，巴黎1-0领先！！                   18'巴黎第18分钟取得领先，克里乔维亚克送出直传，马图伊迪在詹金森和穆斯塔菲之间突入禁区左侧斜传，卡瓦尼近距离铲射入网
19'席尔瓦中线位置分球给莫塔，莫塔直塞打身后找马图伊迪，马图伊迪禁区左侧横传门前，卡瓦尼后点包抄，推射打进！！                   18'巴黎第18分钟取得领先，克里乔维亚克送出直传，马图伊迪在詹金森和穆斯塔菲之间突入禁区左侧斜传，卡瓦尼近距离铲射入网
20'小卢卡斯前场拿球，强突传中，被挡出底线                   18'巴黎第18分钟取得领先，克里乔维亚克送出直传，马图伊迪在詹金森和穆斯塔菲之间突入禁区左侧斜传，卡瓦尼近距离铲射入网
20'巴黎再次获得左侧角球机会，没能形成威胁！！                   18'巴黎第18分钟取得领先，克里乔维亚克送出直传，马图伊迪在詹金森和穆斯塔菲之间突入禁区左侧斜传，卡瓦尼近距离铲射入网
21'科斯切尔尼后场拿球，带至中线                   18'巴黎第18分钟取得领先，克里乔维亚克送出直传，马图伊迪在詹金森和穆斯塔菲之间突入禁区左侧斜传，卡瓦尼近距离铲射入网
21'小卢卡斯上抢放铲，将球破坏出边线                   18'巴黎第18分钟取得领先，克里乔维亚克送出直传，马图伊迪在詹金森和穆斯塔菲之间突入禁区左侧斜传，卡瓦尼近距离铲射入网
52'吉布斯前场左路拿球，内切后再分伊沃比                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
52'伊沃比的传中球到门前                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
52'吉鲁插上头球，在席尔瓦的干扰下，没能顶到                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
52'球弹地后出了底线，门球！！                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
53'科斯切尔尼后场防守横切的小卢卡斯                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
53'放铲时剪刀腿，铲翻了小卢卡斯，犯规                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
54'科斯切尔尼被主裁判出示了黄牌警告！！                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
54'巴黎获得前场中路的任意球机会！                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
