8'穆勒~有头球的机会！                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
8'感觉只是头发蹭到一些，绵软无力的头球被没收                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
9'莱特纳一个标准的剪刀腿！！！                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
9'动作很漂亮~放倒了贝尔纳特                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
9'斯图加特断球反击~~~                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
9'酒井高德操之过急，传球出了边线                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
10'拉姆~~~手术刀一般的直传！                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
11'恰好穿过了斯图加特的两名中后卫                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
11'可惜力量稍大~被出击的乌尔里希拿到                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
11'游客4084: 酒井高德是日本人吗---是滴                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
11'游客4540: 话说阿拉巴不是后卫吗,怎么跑到前锋了---今天阿拉巴可是在中场，打中间位置                   8'开场8分钟，博阿滕右路斜传，恰逢25岁生日的穆勒争顶被乌尔赖希得到
18' 东北风冽: 罗梅乌是巴萨的那个还是车子的那个？---罗梅乌是拉玛西亚培养的，后来转会切尔西                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
18'斯图加特制造了一个角球                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
18'好险~~~                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
18'拜仁的后卫全都在傻看~                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
19'吕迪格的头球攻门擦着立柱而出                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
19'阿隆索大范围的转移~                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
20'虽然不再年轻，但是阿隆索的长传能力还是超强的                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
20'斯图加特的反击~                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
20'给到了酒井高德这边                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
20'球丢了之后，酒井放倒了博阿滕                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
21'场上的动作开始大起来了                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
21'巴德斯图伯的铲球被吹了犯规                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
21'裁判口头警告了一下                   18'第18分钟，莱特纳左侧开出角球，吕迪格头球偏出远门柱
31'斯图加特又制造了一个角球                   31'第31分钟，莱特纳右侧开出角球，吕迪格头球偏出左门柱
32'传中又被吕迪格抢到~~~                   31'第31分钟，莱特纳右侧开出角球，吕迪格头球偏出左门柱
32'甩头攻门稍稍高出                   31'第31分钟，莱特纳右侧开出角球，吕迪格头球偏出左门柱
33'场上有球员倒地受伤了                   31'第31分钟，莱特纳右侧开出角球，吕迪格头球偏出左门柱
34'还好问题不大                   31'第31分钟，莱特纳右侧开出角球，吕迪格头球偏出左门柱
34'贝尔纳特高速套边插上~阿拉巴第一时间并没有给                   31'第31分钟，莱特纳右侧开出角球，吕迪格头球偏出左门柱
42'巴德斯图伯受伤了                   42'第42分钟，巴德施图贝尔在无人紧逼的情况下送直传球，似乎拉伤腹股沟或左大腿肌肉，詹卢卡-高迪诺替补出场
42'而且是在无对抗的情况下受伤                   42'第42分钟，巴德施图贝尔在无人紧逼的情况下送直传球，似乎拉伤腹股沟或左大腿肌肉，詹卢卡-高迪诺替补出场
42'难道是传说中的肌肉拉伤？                   42'第42分钟，巴德施图贝尔在无人紧逼的情况下送直传球，似乎拉伤腹股沟或左大腿肌肉，詹卢卡-高迪诺替补出场
43'看他走路的姿势~很有可能                   42'第42分钟，巴德施图贝尔在无人紧逼的情况下送直传球，似乎拉伤腹股沟或左大腿肌肉，詹卢卡-高迪诺替补出场
43'拜仁只能换人                   42'第42分钟，巴德施图贝尔在无人紧逼的情况下送直传球，似乎拉伤腹股沟或左大腿肌肉，詹卢卡-高迪诺替补出场
43'即将上场的是16号高迪诺                   42'第42分钟，巴德施图贝尔在无人紧逼的情况下送直传球，似乎拉伤腹股沟或左大腿肌肉，詹卢卡-高迪诺替补出场
44'进球之后的拜仁打得反倒更艰难了                   42'第42分钟，巴德施图贝尔在无人紧逼的情况下送直传球，似乎拉伤腹股沟或左大腿肌肉，詹卢卡-高迪诺替补出场
45'罗梅乌挑传伊比舍维奇~力量大了点                   42'第42分钟，巴德施图贝尔在无人紧逼的情况下送直传球，似乎拉伤腹股沟或左大腿肌肉，詹卢卡-高迪诺替补出场
45'贝尔纳特传球失误~                   42'第42分钟，巴德施图贝尔在无人紧逼的情况下送直传球，似乎拉伤腹股沟或左大腿肌肉，詹卢卡-高迪诺替补出场
45'斯图加特大举压上了                   42'第42分钟，巴德施图贝尔在无人紧逼的情况下送直传球，似乎拉伤腹股沟或左大腿肌肉，詹卢卡-高迪诺替补出场
54'诺伊尔很喜欢出禁区~                   53'第53分钟，格策禁区右角传中，莱万多夫斯基胸部停球连续颠球，在门前8米处侧身左脚凌空勾射高出
54'不愧是后腰球员                   53'第53分钟，格策禁区右角传中，莱万多夫斯基胸部停球连续颠球，在门前8米处侧身左脚凌空勾射高出
54'格策~传球找到了前队友                   53'第53分钟，格策禁区右角传中，莱万多夫斯基胸部停球连续颠球，在门前8米处侧身左脚凌空勾射高出
54'莱万~胸部停球~转身打门！！！                   53'第53分钟，格策禁区右角传中，莱万多夫斯基胸部停球连续颠球，在门前8米处侧身左脚凌空勾射高出
54'嚯，高了~                   53'第53分钟，格策禁区右角传中，莱万多夫斯基胸部停球连续颠球，在门前8米处侧身左脚凌空勾射高出
55'阿拉巴今天在中场发挥的并不好                   53'第53分钟，格策禁区右角传中，莱万多夫斯基胸部停球连续颠球，在门前8米处侧身左脚凌空勾射高出
56'犀利的突破不见了，传接球也经常失误                   53'第53分钟，格策禁区右角传中，莱万多夫斯基胸部停球连续颠球，在门前8米处侧身左脚凌空勾射高出
71'斯图加特的反击~                   71'第71分钟，韦尔纳反击距门24米处抽射高出
71'一对一~~~                   71'第71分钟，韦尔纳反击距门24米处抽射高出
72'科斯蒂奇横向摆脱~~一脚打门！飞了                   71'第71分钟，韦尔纳反击距门24米处抽射高出
72'用户3558441904: 罗本的话，一般是奔跑中过人---罗本跑动的时候底盘低，过人so easy                   71'第71分钟，韦尔纳反击距门24米处抽射高出
73'横梁~~~                   71'第71分钟，韦尔纳反击距门24米处抽射高出
73'弹下来~~~                   71'第71分钟，韦尔纳反击距门24米处抽射高出
73'越位了？                   71'第71分钟，韦尔纳反击距门24米处抽射高出
73'横梁+立柱~斯图加特大难不死啊                   71'第71分钟，韦尔纳反击距门24米处抽射高出
73'先是禁区外阿隆索的射门被后卫挡了一下变向击中横梁                   71'第71分钟，韦尔纳反击距门24米处抽射高出
73'弹下来之后，莱万的射门又击中了左侧立柱                   71'第71分钟，韦尔纳反击距门24米处抽射高出
74'里贝里~底线传中划过禁区                   71'第71分钟，韦尔纳反击距门24米处抽射高出
74'队友都没接到                   71'第71分钟，韦尔纳反击距门24米处抽射高出
74'穆勒尝试了一脚远射~偏出了门框                   71'第71分钟，韦尔纳反击距门24米处抽射高出
80'游客8625: 小猪没上？---看台上                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
80'斯图加特用44号马克西姆换下了莱特纳                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
80'回过头斯图加特创造了一次机会~                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
81'禁区内的头球~偏了                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
81'拉姆边路带球被对方后卫一掌盖翻                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
81'阿隆索的定位球传中~                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
81'后点位置并没有队友接应                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
81'丹特怎么倒在了对方禁区内                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
82'哎呀~别又受伤一个啊                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
82'还好趟了一下，感觉还行                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
82'就是脖子有点疼                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
82'斯图加特右路传中~找到科斯蒂奇                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
83'头球攻门~被诺伊尔轻松没收                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
83'又一个~~~                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
83'里贝里~~~                   80'第80分钟，阿拉巴左脚任意球被乌尔赖希抱住
85'拜仁打算换上皮萨罗了                   85'第85分钟，莱万右肋及时转移，里贝里禁区左侧距门12米处左脚低射入远角，2比0
85'换下了送出助攻的莱万                   85'第85分钟，莱万右肋及时转移，里贝里禁区左侧距门12米处左脚低射入远角，2比0
