11'奥斯卡斜传到禁区前沿，科斯塔胸部停球下来                   11'第11分钟，阿扎尔传球，威廉禁区弧内射门稍稍偏出右下角
11'科斯塔回做，阿扎尔再横敲，威廉调整一下推射球门右下角，可惜没有兜住，球偏出右立柱                   11'第11分钟，阿扎尔传球，威廉禁区弧内射门稍稍偏出右下角
12'回复：用户ety3ea2lvo 车路士不赢我喝两瓶（喝两瓶啥？）                   11'第11分钟，阿扎尔传球，威廉禁区弧内射门稍稍偏出右下角
13'法布雷加斯尝试送一记斜长传到禁区，稍为靠近门将，埃利奥特将球没收                   11'第11分钟，阿扎尔传球，威廉禁区弧内射门稍稍偏出右下角
14'纽卡斯尔右路的进攻，扬迈特下底传中，库尔图瓦出击将球没收                   11'第11分钟，阿扎尔传球，威廉禁区弧内射门稍稍偏出右下角
14'切尔西反击，阿扎尔盘过一人突进到禁区前沿大力打门偏出                   11'第11分钟，阿扎尔传球，威廉禁区弧内射门稍稍偏出右下角
17'阿梅奥比左路的变向，伊万诺维奇很稳健将球踢出边线                   17'第17分钟，圣詹姆斯公园全场球迷依旧为MH17航班空难中的两名遇难纽卡斯尔球迷鼓掌纪念
17'西索科来接应，米克尔协防将球断下                   17'第17分钟，圣詹姆斯公园全场球迷依旧为MH17航班空难中的两名遇难纽卡斯尔球迷鼓掌纪念
17'法布雷加斯长传找到了威廉，威廉再一顺                   17'第17分钟，圣詹姆斯公园全场球迷依旧为MH17航班空难中的两名遇难纽卡斯尔球迷鼓掌纪念
17'科斯塔护好球回传中场                   17'第17分钟，圣詹姆斯公园全场球迷依旧为MH17航班空难中的两名遇难纽卡斯尔球迷鼓掌纪念
18'阿扎尔护球失误被断了                   17'第17分钟，圣詹姆斯公园全场球迷依旧为MH17航班空难中的两名遇难纽卡斯尔球迷鼓掌纪念
18'佩雷斯前场速写 示分给西索科                    17'第17分钟，圣詹姆斯公园全场球迷依旧为MH17航班空难中的两名遇难纽卡斯尔球迷鼓掌纪念
18'西索科斜传禁区比较低被特里将球勾出禁区                   17'第17分钟，圣詹姆斯公园全场球迷依旧为MH17航班空难中的两名遇难纽卡斯尔球迷鼓掌纪念
19'米克尔中场断球，分到左路阿扎尔                   17'第17分钟，圣詹姆斯公园全场球迷依旧为MH17航班空难中的两名遇难纽卡斯尔球迷鼓掌纪念
19'阿扎尔运球到禁区前沿横拔，似乎与科斯塔产生一点误会，科斯塔没有什么反应                   17'第17分钟，圣詹姆斯公园全场球迷依旧为MH17航班空难中的两名遇难纽卡斯尔球迷鼓掌纪念
20'但球横流过来没有纽卡斯尔球员上抢，威廉过来左脚推射球门左下角，球擦着立柱出了底线                   17'第17分钟，圣詹姆斯公园全场球迷依旧为MH17航班空难中的两名遇难纽卡斯尔球迷鼓掌纪念
26'科斯塔左路接应阿扎尔直传进了禁区，调整后打球门近角，埃利奥特将球抱住                   26'第26分钟，阿扎尔传球，迭戈-科斯塔禁区左侧18码处劲射被埃利奥特没收
27'切尔西前场连续配合，科斯塔距离球门25米大力抽射偏出                   26'第26分钟，阿扎尔传球，迭戈-科斯塔禁区左侧18码处劲射被埃利奥特没收
27'纽卡斯尔将球分到右路，扬迈特套上接应                   26'第26分钟，阿扎尔传球，迭戈-科斯塔禁区左侧18码处劲射被埃利奥特没收
27'阿斯皮利奎塔没有让他趟过去                   26'第26分钟，阿扎尔传球，迭戈-科斯塔禁区左侧18码处劲射被埃利奥特没收
28'卡贝拉前场反断，不断带，被阿扎尔断球了                   26'第26分钟，阿扎尔传球，迭戈-科斯塔禁区左侧18码处劲射被埃利奥特没收
28'威廉中路接应再分右路的阿扎尔                   26'第26分钟，阿扎尔传球，迭戈-科斯塔禁区左侧18码处劲射被埃利奥特没收
28'球迂回到中场，分左路的阿斯皮利奎塔                   26'第26分钟，阿扎尔传球，迭戈-科斯塔禁区左侧18码处劲射被埃利奥特没收
28'阿斯皮利奎塔下底传中，被科洛奇尼头球解围                   26'第26分钟，阿扎尔传球，迭戈-科斯塔禁区左侧18码处劲射被埃利奥特没收
29'伊万诺维奇右路的传中也是过不了科洛奇尼                   26'第26分钟，阿扎尔传球，迭戈-科斯塔禁区左侧18码处劲射被埃利奥特没收
32'阿梅奥比左路传到弧顶，机会                   32'纽卡斯尔首次机会出现在第32分钟，阿约泽-佩雷斯直传，科尔巴克小禁区前的捅射被库尔图瓦冷静出击扑出
32'佩雷斯弧顶接球转身一顺，科尔巴克插上左脚打门被库尔图瓦用脚挡出底线                   32'纽卡斯尔首次机会出现在第32分钟，阿约泽-佩雷斯直传，科尔巴克小禁区前的捅射被库尔图瓦冷静出击扑出
33'这是本场比赛双方合计最接近进球的一脚射门                   32'纽卡斯尔首次机会出现在第32分钟，阿约泽-佩雷斯直传，科尔巴克小禁区前的捅射被库尔图瓦冷静出击扑出
33'球最后反弹碰科尔巴克的脚出底线                   32'纽卡斯尔首次机会出现在第32分钟，阿约泽-佩雷斯直传，科尔巴克小禁区前的捅射被库尔图瓦冷静出击扑出
34'西索科生生断下阿扎尔的脚下球，米克尔倒地将西索科绊倒                   32'纽卡斯尔首次机会出现在第32分钟，阿约泽-佩雷斯直传，科尔巴克小禁区前的捅射被库尔图瓦冷静出击扑出
34'这段时间纽卡斯尔气势起来了                   32'纽卡斯尔首次机会出现在第32分钟，阿约泽-佩雷斯直传，科尔巴克小禁区前的捅射被库尔图瓦冷静出击扑出
35'西索科的传中被特里头球解围                   32'纽卡斯尔首次机会出现在第32分钟，阿约泽-佩雷斯直传，科尔巴克小禁区前的捅射被库尔图瓦冷静出击扑出
35'阿扎尔的带球被抢断                   32'纽卡斯尔首次机会出现在第32分钟，阿约泽-佩雷斯直传，科尔巴克小禁区前的捅射被库尔图瓦冷静出击扑出
35'扬迈特右路的突破被阿斯皮利奎塔拦截出边线                   32'纽卡斯尔首次机会出现在第32分钟，阿约泽-佩雷斯直传，科尔巴克小禁区前的捅射被库尔图瓦冷静出击扑出
49'法布雷加斯任意球送到禁区，阿伦维克出击将球击出禁区                   49'第49分钟，法布雷加斯开出角球，卡希尔小禁区边缘头球攻门偏出
49'阿扎尔来到右路下底横扫门前，泰勒将球挡向高处挡出底线                   49'第49分钟，法布雷加斯开出角球，卡希尔小禁区边缘头球攻门偏出
49'切尔西角球                   49'第49分钟，法布雷加斯开出角球，卡希尔小禁区边缘头球攻门偏出
50'法布雷加斯角球发到门前，卡希尔头球顶得稍稍有点偏                   49'第49分钟，法布雷加斯开出角球，卡希尔小禁区边缘头球攻门偏出
50'阿伦维克大脚开上来，阿斯皮利奎塔将球踢出边线                   49'第49分钟，法布雷加斯开出角球，卡希尔小禁区边缘头球攻门偏出
50'阿扎尔左路带球上前，回防的科尔巴克将球捅出边线                   49'第49分钟，法布雷加斯开出角球，卡希尔小禁区边缘头球攻门偏出
51'阿斯皮利奎塔与法布雷加斯配合失误                   49'第49分钟，法布雷加斯开出角球，卡希尔小禁区边缘头球攻门偏出
51'球出了底线                   49'第49分钟，法布雷加斯开出角球，卡希尔小禁区边缘头球攻门偏出
52'科尔巴克中场断球，交给奥斯卡                   49'第49分钟，法布雷加斯开出角球，卡希尔小禁区边缘头球攻门偏出
52'奥斯卡带球到前场分给阿扎尔                   49'第49分钟，法布雷加斯开出角球，卡希尔小禁区边缘头球攻门偏出
57'法布雷加斯任意球搓到小禁区线上，米克尔抢点甩头攻门偏出                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
57'科洛奇尼长传交给西塞                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
57'连续配合，纽卡斯尔的机会                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
57'阿梅奥比左路下底传中，卡希尔踢漏了，门前西塞近距离推射破门                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
58'[此时此刻值得来杯嘉士伯]                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
58'穆里尼奥在圣詹姆斯公园的魔咒依然没有解除，先丢一球了                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
58'切尔西需要加快节奏了，留给他们的时间大概有35分钟                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
59'另外切尔西两项纪录来到临界点是否就此打住呢                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
60'纽卡斯尔气势起来了，科尔巴克传中，卡希尔解围再次踢嗤了，出了底线                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
60'切尔西门前风声鹤唳                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
60'纽卡斯尔角球发到禁区，连续几下争高点，最后西索科头球顶高了                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
60'切尔西换人，14号许尔勒换下了8号奥斯卡                   57'纽卡斯尔第57分钟打破僵局，萨米-阿梅奥比左路传中，卡希尔拦截令皮球偏转，西塞近距离破门
48'西索科以来的拦截踢倒了阿斯皮利奎塔                   48'纽卡斯尔3分钟后险些扩大比分，但西索科角球混战中近距离头球攻门偏出
48'西索科吃到本场比赛首张黄牌                   48'纽卡斯尔3分钟后险些扩大比分，但西索科角球混战中近距离头球攻门偏出
49'法布雷加斯任意球送到禁区，阿伦维克出击将球击出禁区                   48'纽卡斯尔3分钟后险些扩大比分，但西索科角球混战中近距离头球攻门偏出
49'阿扎尔来到右路下底横扫门前，泰勒将球挡向高处挡出底线                   48'纽卡斯尔3分钟后险些扩大比分，但西索科角球混战中近距离头球攻门偏出
49'切尔西角球                   48'纽卡斯尔3分钟后险些扩大比分，但西索科角球混战中近距离头球攻门偏出
50'法布雷加斯角球发到门前，卡希尔头球顶得稍稍有点偏                   48'纽卡斯尔3分钟后险些扩大比分，但西索科角球混战中近距离头球攻门偏出
50'阿伦维克大脚开上来，阿斯皮利奎塔将球踢出边线                   48'纽卡斯尔3分钟后险些扩大比分，但西索科角球混战中近距离头球攻门偏出
50'阿扎尔左路带球上前，回防的科尔巴克将球捅出边线                   48'纽卡斯尔3分钟后险些扩大比分，但西索科角球混战中近距离头球攻门偏出
51'阿斯皮利奎塔与法布雷加斯配合失误                   48'纽卡斯尔3分钟后险些扩大比分，但西索科角球混战中近距离头球攻门偏出
51'球出了底线                   48'纽卡斯尔3分钟后险些扩大比分，但西索科角球混战中近距离头球攻门偏出
78'伊万诺维奇下底倒三角传到禁区边缘，阿扎尔打门打在门柱上                   78'切尔西第78分钟险些扳平比分，伊万诺维奇右路传中，阿扎尔14码处扫射打中右侧立柱弹回
78'运气欠佳呀，切尔西                   78'切尔西第78分钟险些扳平比分，伊万诺维奇右路传中，阿扎尔14码处扫射打中右侧立柱弹回
78'西塞梅开二度！                   78'切尔西第78分钟险些扳平比分，伊万诺维奇右路传中，阿扎尔14码处扫射打中右侧立柱弹回
78'[此时此刻值得来杯嘉士伯]                   78'切尔西第78分钟险些扳平比分，伊万诺维奇右路传中，阿扎尔14码处扫射打中右侧立柱弹回
79'纽卡斯尔中场断球，科尔巴克推进到前场交给西索科西索科带球间球到了身后，他倒地横传，西塞插上推射空门球进！                   78'切尔西第78分钟险些扳平比分，伊万诺维奇右路传中，阿扎尔14码处扫射打中右侧立柱弹回
80'两球落后切尔西比较难了                   78'切尔西第78分钟险些扳平比分，伊万诺维奇右路传中，阿扎尔14码处扫射打中右侧立柱弹回
80'科斯塔禁区内倒地，但裁判吹的是他拉人犯规                   78'切尔西第78分钟险些扳平比分，伊万诺维奇右路传中，阿扎尔14码处扫射打中右侧立柱弹回
80'科斯塔向主裁判咆哮，黄牌逃不掉了                   78'切尔西第78分钟险些扳平比分，伊万诺维奇右路传中，阿扎尔14码处扫射打中右侧立柱弹回
81'德罗巴身位占优之际被科洛奇尼拉倒，另一侧泰勒对科斯塔犯规                   78'切尔西第78分钟险些扳平比分，伊万诺维奇右路传中，阿扎尔14码处扫射打中右侧立柱弹回
81'德罗巴身位占优之际被科洛奇尼拉倒，另一侧泰勒对科斯塔犯规                   81'第81分钟，史蒂文-泰勒对许尔勒犯规累计两张黄牌被罚下，这是他职业生涯第4张红牌
82'泰勒吃到第二张黄牌变红牌下被罚下场                   81'第81分钟，史蒂文-泰勒对许尔勒犯规累计两张黄牌被罚下，这是他职业生涯第4张红牌
82'切尔西前场右路的任意球机会                   81'第81分钟，史蒂文-泰勒对许尔勒犯规累计两张黄牌被罚下，这是他职业生涯第4张红牌
83'纽卡斯尔换人，28号阿梅奥比下、6号威廉森上                   81'第81分钟，史蒂文-泰勒对许尔勒犯规累计两张黄牌被罚下，这是他职业生涯第4张红牌
83'德罗巴扳回一球！                   81'第81分钟，史蒂文-泰勒对许尔勒犯规累计两张黄牌被罚下，这是他职业生涯第4张红牌
83' [此时此刻值得来杯嘉士伯]                   81'第81分钟，史蒂文-泰勒对许尔勒犯规累计两张黄牌被罚下，这是他职业生涯第4张红牌
83'法布雷加斯任意球送到前点，德罗巴高高跃起甩头攻门球进！                   81'第81分钟，史蒂文-泰勒对许尔勒犯规累计两张黄牌被罚下，这是他职业生涯第4张红牌
84'留给切尔西还有大概10分钟的时间                   81'第81分钟，史蒂文-泰勒对许尔勒犯规累计两张黄牌被罚下，这是他职业生涯第4张红牌
84'切尔西前场断球，伊万诺维奇回到中后卫位置                   81'第81分钟，史蒂文-泰勒对许尔勒犯规累计两张黄牌被罚下，这是他职业生涯第4张红牌
84'米克尔挑传                   81'第81分钟，史蒂文-泰勒对许尔勒犯规累计两张黄牌被罚下，这是他职业生涯第4张红牌
89'科斯塔左脚打门，阿伦维克单掌将球托出横梁                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
89'法布雷加斯的角球被威廉森顶出来                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
89'菲利佩来一脚远射，阿伦维克侧扑扑出                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
90'菲利佩再吊禁区，德罗巴头球点下来                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
90'扬迈特回传差点失误                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
90'阿扎尔左路传中，德罗巴头球攻门力量不大                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
91'下半场补时6分钟                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
91'法布雷加斯挑传右肋部，许尔勒越位了                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
91'阿扎尔左路得球，人球分过，扬迈特滑铲将球铲出底线                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
92'库尔图瓦冲到对方禁区                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
92'法布雷加斯的角球过不了第一点                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
92'法布雷加斯角球发到门前，阿伦维克将球摘下                   89'第89分钟，德罗巴传球，迭戈-科斯塔禁区边缘的左脚劲射被阿林维克托出横梁
94'伊万诺维奇界外球掷到门前，德罗巴后蹭，特里头球攻门偏出                   94'第94分钟，德罗巴头球摆渡，特里近距离头球攻门偏出
94'米克尔长传到禁区前沿，德罗巴摆渡下来                   94'第94分钟，德罗巴头球摆渡，特里近距离头球攻门偏出
94'伊万诺维奇凌空抽射打飞了，好像有角球                   94'第94分钟，德罗巴头球摆渡，特里近距离头球攻门偏出
95'没有，是门球                   94'第94分钟，德罗巴头球摆渡，特里近距离头球攻门偏出
95'最后一分钟                   94'第94分钟，德罗巴头球摆渡，特里近距离头球攻门偏出
96'菲利佩左路传中，德罗巴抢点头球攻门没有顶上力量                   94'第94分钟，德罗巴头球摆渡，特里近距离头球攻门偏出
96'最后30秒                   94'第94分钟，德罗巴头球摆渡，特里近距离头球攻门偏出
96'切尔西不败金身笈笈可危                   94'第94分钟，德罗巴头球摆渡，特里近距离头球攻门偏出
96'全场比赛结束                   94'第94分钟，德罗巴头球摆渡，特里近距离头球攻门偏出
