6'埃瓦尔进球！！                   6'埃瓦尔第6分钟取得领先，卡帕右路传中，无人防守的弗兰-里科小禁区前头球破门
6'弗兰-里克的进球！！                   6'埃瓦尔第6分钟取得领先，卡帕右路传中，无人防守的弗兰-里科小禁区前头球破门
7'卡帕右路拿球，45度斜传球到禁区中路，无人防守的弗兰-里克甩头攻门，顶进球门右下角！                   6'埃瓦尔第6分钟取得领先，卡帕右路传中，无人防守的弗兰-里科小禁区前头球破门
7'开场看似场面不占优，结果首次进攻便取得进球                   6'埃瓦尔第6分钟取得领先，卡帕右路传中，无人防守的弗兰-里科小禁区前头球破门
7'这也是双方五次交锋中，埃瓦尔的第一个进球！！                   6'埃瓦尔第6分钟取得领先，卡帕右路传中，无人防守的弗兰-里科小禁区前头球破门
9'贝尔右路拿球，内切到禁区，趟大啦                   6'埃瓦尔第6分钟取得领先，卡帕右路传中，无人防守的弗兰-里科小禁区前头球破门
9'列斯戈出击，抢先将球揽入怀中！！                   6'埃瓦尔第6分钟取得领先，卡帕右路传中，无人防守的弗兰-里科小禁区前头球破门
17'伊斯科前场中路拿球，斜塞禁区右侧找贝尔                   17'皇马第17分钟扳平比分，C罗扣过卡帕后左路禁区边缘传中，贝尔远点近距离力压卢纳头球破门，1-1
17'贝尔停球一趟，起脚打门，被后卫倒地挡出！！                   17'皇马第17分钟扳平比分，C罗扣过卡帕后左路禁区边缘传中，贝尔远点近距离力压卢纳头球破门，1-1
17'贝尔进球，1-1！！！                   17'皇马第17分钟扳平比分，C罗扣过卡帕后左路禁区边缘传中，贝尔远点近距离力压卢纳头球破门，1-1
18'C罗左路拿球，面对卡帕的防守，一扣再下底，左脚起球到后点，贝尔插上头球顶进球网！！                   17'皇马第17分钟扳平比分，C罗扣过卡帕后左路禁区边缘传中，贝尔远点近距离力压卢纳头球破门，1-1
20'埃瓦尔前场进攻，莱昂右路拿球，内切到禁区                   17'皇马第17分钟扳平比分，C罗扣过卡帕后左路禁区边缘传中，贝尔远点近距离力压卢纳头球破门，1-1
20'面对补防的皇马球员，起脚打近角，被纳瓦斯挡出底线                   17'皇马第17分钟扳平比分，C罗扣过卡帕后左路禁区边缘传中，贝尔远点近距离力压卢纳头球破门，1-1
20'埃瓦尔获得右侧角球机会，本场埃瓦尔第一个角球                   17'皇马第17分钟扳平比分，C罗扣过卡帕后左路禁区边缘传中，贝尔远点近距离力压卢纳头球破门，1-1
20'莱昂角球开出到禁区，第一点被皇马球员解围！！                   17'皇马第17分钟扳平比分，C罗扣过卡帕后左路禁区边缘传中，贝尔远点近距离力压卢纳头球破门，1-1
44'卡瓦哈尔后场防守，身后踢倒了佩尼亚，犯规！！                   44'第44分钟，贝尔右路传中，C罗头球攻门偏出
45'贝尔抗议，先被主裁判出示了黄牌警告！！                   44'第44分钟，贝尔右路传中，C罗头球攻门偏出
45'卡瓦哈尔也是领到一张黄牌！！                   44'第44分钟，贝尔右路传中，C罗头球攻门偏出
45'埃瓦尔获得前场左路的任意球机会！！                   44'第44分钟，贝尔右路传中，C罗头球攻门偏出
45'莱昂任意球斜传到后点，直接出了底线！！                   44'第44分钟，贝尔右路传中，C罗头球攻门偏出
46'下半场比赛开始！！！                   44'第44分钟，贝尔右路传中，C罗头球攻门偏出
46'C罗左路拿球，强突没机会，回传克罗斯                   44'第44分钟，贝尔右路传中，C罗头球攻门偏出
46'克罗斯再给伊斯科，伊斯科拿球遭遇夹击，被断啦                   44'第44分钟，贝尔右路传中，C罗头球攻门偏出
46'纳乔换下的瓦拉内！！                   44'第44分钟，贝尔右路传中，C罗头球攻门偏出
47'佩尼亚右路拿球，强突被补防的佩佩抢断                   44'第44分钟，贝尔右路传中，C罗头球攻门偏出
53'克罗斯中场拿球，斜传右路给前插的贝尔                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
53'贝尔边路传中到后点，莫拉塔头球摆渡到中路                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
54'伊斯科停球一拨，C罗拔脚怒射，打在防守球员身上出底线                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
