2'弗罗西诺内球员托内夫大禁区外尝试左脚射门,可惜皮球偏出球门.                   1'第1分钟，主队托内夫和古切尔射门稍稍偏出
4'德罗西为罗马赢得一个任意球.                   1'第1分钟，主队托内夫和古切尔射门稍稍偏出
4'弗罗西诺内球员索迪莫拼抢犯规,对手获得控球权.                   1'第1分钟，主队托内夫和古切尔射门稍稍偏出
44'进球啦！！！罗马球员法尔克大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是迪涅. 弗罗西诺内 0-1 罗马.                   44' 第44分钟，迪涅左侧掷入边线球，对方后卫冒顶，雅戈-法尔克在门前5米处推射入网，1比0
45'+1'弗罗西诺内球员托内夫大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   44' 第44分钟，迪涅左侧掷入边线球，对方后卫冒顶，雅戈-法尔克在门前5米处推射入网，1比0
45'+2'弗罗西诺内球员基布萨一脚直塞球给索迪莫,但是边裁举旗显示后者已经越位.                   44' 第44分钟，迪涅左侧掷入边线球，对方后卫冒顶，雅戈-法尔克在门前5米处推射入网，1比0
45'+3'上半场结束,弗罗西诺内 0-1 罗马,稍事休息,我们一会来看看下半场两队的表现.                   44' 第44分钟，迪涅左侧掷入边线球，对方后卫冒顶，雅戈-法尔克在门前5米处推射入网，1比0
46'弗罗西诺内球员莱亚利一脚直塞球给托内夫,但是边裁举旗显示后者已经越位.                   44' 第44分钟，迪涅左侧掷入边线球，对方后卫冒顶，雅戈-法尔克在门前5米处推射入网，1比0
47'射门!!!弗罗西诺内球员阿里安度-罗西大禁区外右脚射门,被对方守门员横身扑出.给他传球的是基布萨.                   44' 第44分钟，迪涅左侧掷入边线球，对方后卫冒顶，雅戈-法尔克在门前5米处推射入网，1比0
84'罗马球员弗洛伦齐大禁区右侧右脚射门,命中门柱横梁.给他传球的是纳因戈兰.                   83'第83分钟，萨拉赫传球，弗洛伦齐跟进射门击中横梁
85'罗马球员热尔维尼奥大禁区外右脚射门,被防守球员封堵.                   83'第83分钟，萨拉赫传球，弗洛伦齐跟进射门击中横梁
85'弗罗西诺内球员萨马科一脚直塞球给索迪莫,但是边裁举旗显示后者已经越位.                   83'第83分钟，萨拉赫传球，弗洛伦齐跟进射门击中横梁
