1'上半场比赛开始了                   1'巴萨第1分钟就试图控制比赛
1'巴黎圣日耳曼率先中场开球                   1'巴萨第1分钟就试图控制比赛
1'梅西来了，禁区前沿的突破受阻                   1'巴萨第1分钟就试图控制比赛
2'巴黎的反击，拉维齐右路推进到前场，与卡瓦尼作二过一配合，给太大了                   1'巴萨第1分钟就试图控制比赛
2'蒙托亚右路拿球，梅西过渡一脚                   1'巴萨第1分钟就试图控制比赛
2'梅西送直传，拉基维奇接应回做                   1'巴萨第1分钟就试图控制比赛
2'蒙托亚带球内切，球被卡巴耶断下                   1'巴萨第1分钟就试图控制比赛
3'巴萨前场反抢，被突破了                   1'巴萨第1分钟就试图控制比赛
3'马图伊迪拿球，回传到后卫线                   1'巴萨第1分钟就试图控制比赛
3'拉比奥特也在中场接应                   1'巴萨第1分钟就试图控制比赛
3'巴黎脚下控球能力还是很强                   1'巴萨第1分钟就试图控制比赛
4'马图伊迪背身拿球回传，马克斯维尔开大脚                   1'巴萨第1分钟就试图控制比赛
4'中圈附近卡瓦尼头球摆渡，马斯切拉诺将球抢了回来                   1'巴萨第1分钟就试图控制比赛
14'还是内马尔，左路送到弧顶处，梅西幅度很小的调整左脚兜弧线打门击中了左立柱！                   14'巴萨第14分钟险些破门，苏亚雷斯传球，无人贴防的梅西禁区弧内左脚射门憾中左侧立柱弹回
15'马克斯维尔左路的挑传被皮克大脚破坏                   14'巴萨第14分钟险些破门，苏亚雷斯传球，无人贴防的梅西禁区弧内左脚射门憾中左侧立柱弹回
15'球已经到前场，西里古冲出禁区将球开出边线                   14'巴萨第14分钟险些破门，苏亚雷斯传球，无人贴防的梅西禁区弧内左脚射门憾中左侧立柱弹回
16'阿尔巴左路助攻上来传中传大了                   14'巴萨第14分钟险些破门，苏亚雷斯传球，无人贴防的梅西禁区弧内左脚射门憾中左侧立柱弹回
16'球还在禁区内，拉基维奇头球回传，内马尔的打门没有压住皮球                   14'巴萨第14分钟险些破门，苏亚雷斯传球，无人贴防的梅西禁区弧内左脚射门憾中左侧立柱弹回
17'伊涅斯塔拿球，巴黎也不敢轻易全线紧逼                   14'巴萨第14分钟险些破门，苏亚雷斯传球，无人贴防的梅西禁区弧内左脚射门憾中左侧立柱弹回
17'皮克长传，马克斯维尔卡住位置将球让出底线                   14'巴萨第14分钟险些破门，苏亚雷斯传球，无人贴防的梅西禁区弧内左脚射门憾中左侧立柱弹回
17'镜头给到了头发已经花白的布兰科                   14'巴萨第14分钟险些破门，苏亚雷斯传球，无人贴防的梅西禁区弧内左脚射门憾中左侧立柱弹回
18'内马尔进球了！！！                   18'巴萨第18分钟取得领先，帕斯托雷中场丢球，梅西快攻中直传，内马尔禁区左肋8码处单刀推射入网
