1'裁判员一声哨响，上半场比赛开始                   1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
1'开场双方中场就拼抢激烈                    1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
1'巴拉多利德获得角球机会                   1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
2'巴拉多利德前场配合失误                   1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
2'巴萨后场控球                    1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
2'维尔马伦给到左侧边路队友                   1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
3'再横传给比达尔                   1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
3'再给登贝莱                   1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
3'回传给布斯克茨                   1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
4'给到梅西                    1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
44'巴拉多利德左侧边路传中                   43'巴萨第43分钟打破僵局，登贝莱传球，梅西禁区内射门被封堵，皮克禁区边缘拿球被米切尔拉倒，梅西主罚点球命中
44'被禁区内的皮克解围                   43'巴萨第43分钟打破僵局，登贝莱传球，梅西禁区内射门被封堵，皮克禁区边缘拿球被米切尔拉倒，梅西主罚点球命中
46'裁判员一声哨响，下半场比赛开始                   43'巴萨第43分钟打破僵局，登贝莱传球，梅西禁区内射门被封堵，皮克禁区边缘拿球被米切尔拉倒，梅西主罚点球命中
46'巴萨中场控球                   43'巴萨第43分钟打破僵局，登贝莱传球，梅西禁区内射门被封堵，皮克禁区边缘拿球被米切尔拉倒，梅西主罚点球命中
46'给到比达尔                   43'巴萨第43分钟打破僵局，登贝莱传球，梅西禁区内射门被封堵，皮克禁区边缘拿球被米切尔拉倒，梅西主罚点球命中
46'再给到右侧的阿莱尼亚                   43'巴萨第43分钟打破僵局，登贝莱传球，梅西禁区内射门被封堵，皮克禁区边缘拿球被米切尔拉倒，梅西主罚点球命中
49'起脚打门偏出球门                   49'第49分钟，阿尔巴左路斜传，梅西10码处凌空垫射被马西普神勇扑出
49'梅西给到左侧的阿尔巴                   49'第49分钟，阿尔巴左路斜传，梅西10码处凌空垫射被马西普神勇扑出
50'阿尔巴拿球被断                   49'第49分钟，阿尔巴左路斜传，梅西10码处凌空垫射被马西普神勇扑出
50'巴拉多利德起右侧边路下底                   49'第49分钟，阿尔巴左路斜传，梅西10码处凌空垫射被马西普神勇扑出
51'被巴萨后卫解围出底线                   49'第49分钟，阿尔巴左路斜传，梅西10码处凌空垫射被马西普神勇扑出
51'巴拉多利德获得角球机会                   49'第49分钟，阿尔巴左路斜传，梅西10码处凌空垫射被马西普神勇扑出
51'被巴萨后卫解围                   49'第49分钟，阿尔巴左路斜传，梅西10码处凌空垫射被马西普神勇扑出
52'梅西拿球分到禁区弧顶处的比达尔                   49'第49分钟，阿尔巴左路斜传，梅西10码处凌空垫射被马西普神勇扑出
52'比达尔起右脚打门                   49'第49分钟，阿尔巴左路斜传，梅西10码处凌空垫射被马西普神勇扑出
