3'宏运队前场大范围转移到左路，胡延强右路起跳接应，落地时踩到了张笑非脚踝上                   1'第1分钟辽宁队便发动猛攻，并持续对亚泰队球门形成威胁
4'辽宁队长传到禁区，准确找到了邱卡，但被亚泰队破坏出底线                   1'第1分钟辽宁队便发动猛攻，并持续对亚泰队球门形成威胁
9'长春亚泰前场抢断直塞球给出了底线                   9'第9分钟，辽宁队前场小范围配合，王亮斜传到后点，邱卡力压吕建军近距离头球冲顶被宋振瑜奋力挡出
9'辽宁队前场小范围配合，王亮传到后点，邱卡的射门被宋振瑜挡出                   9'第9分钟，辽宁队前场小范围配合，王亮斜传到后点，邱卡力压吕建军近距离头球冲顶被宋振瑜奋力挡出
10'肇俊哲底线再传出来，最后射门高出横梁                   9'第9分钟，辽宁队前场小范围配合，王亮斜传到后点，邱卡力压吕建军近距离头球冲顶被宋振瑜奋力挡出
10'开场10分钟辽足一直处于进攻状态                   9'第9分钟，辽宁队前场小范围配合，王亮斜传到后点，邱卡力压吕建军近距离头球冲顶被宋振瑜奋力挡出
11'辽足界外球到禁区，被亚泰顶出                   9'第9分钟，辽宁队前场小范围配合，王亮斜传到后点，邱卡力压吕建军近距离头球冲顶被宋振瑜奋力挡出
11'辽足再度后场长传球到禁区，被宋振瑜得到                   9'第9分钟，辽宁队前场小范围配合，王亮斜传到后点，邱卡力压吕建军近距离头球冲顶被宋振瑜奋力挡出
12'亚泰后场倒球 不急于进攻                   9'第9分钟，辽宁队前场小范围配合，王亮斜传到后点，邱卡力压吕建军近距离头球冲顶被宋振瑜奋力挡出
12'亚泰右路起球被吴高俊挡出底线                   9'第9分钟，辽宁队前场小范围配合，王亮斜传到后点，邱卡力压吕建军近距离头球冲顶被宋振瑜奋力挡出
18'亚泰右路下底，吴高俊防守将球破坏                   18'第18分钟胡延强右路突破后传中，邱卡拍马赶到头槌攻门擦柱而出
19'裁判给了门球                   18'第18分钟胡延强右路突破后传中，邱卡拍马赶到头槌攻门擦柱而出
19'亚泰后场传递，直接出了边线                   18'第18分钟胡延强右路突破后传中，邱卡拍马赶到头槌攻门擦柱而出
20'张笑非后场拼抢撞到了胡延强                   18'第18分钟胡延强右路突破后传中，邱卡拍马赶到头槌攻门擦柱而出
20'辽足前场任意球机会，王亮主罚                   18'第18分钟胡延强右路突破后传中，邱卡拍马赶到头槌攻门擦柱而出
20'王亮的任意球太靠近门将了，宋振瑜把球没收                   18'第18分钟胡延强右路突破后传中，邱卡拍马赶到头槌攻门擦柱而出
21'弋腾将亚泰进攻破坏出底线                   18'第18分钟胡延强右路突破后传中，邱卡拍马赶到头槌攻门擦柱而出
21'胡兹蒂角球开出，张鹭出击失误了                   18'第18分钟胡延强右路突破后传中，邱卡拍马赶到头槌攻门擦柱而出
21'亚泰队员打门，好在辽足后卫将球挡出                   18'第18分钟胡延强右路突破后传中，邱卡拍马赶到头槌攻门擦柱而出
21'张鹭开场之后显得有些紧张                   18'第18分钟胡延强右路突破后传中，邱卡拍马赶到头槌攻门擦柱而出
22'埃尼尼奥射门被张鹭得到                   22'长春亚泰只能稳守反击，第22分钟埃尼奥的射门被张鹭扑住
22'胡延强左路拿球再次被放倒                   22'长春亚泰只能稳守反击，第22分钟埃尼奥的射门被张鹭扑住
23'王亮继续罚右路任意球，这个球有点远                   22'长春亚泰只能稳守反击，第22分钟埃尼奥的射门被张鹭扑住
23'王亮横向转移，辽宁前场继续组织进攻                   22'长春亚泰只能稳守反击，第22分钟埃尼奥的射门被张鹭扑住
24'长春中场断球给右路贝切莱                   22'长春亚泰只能稳守反击，第22分钟埃尼奥的射门被张鹭扑住
24'长春耐心前场组织进攻                   22'长春亚泰只能稳守反击，第22分钟埃尼奥的射门被张鹭扑住
24'长春队踢的不紧不慢，显得很有自信                   22'长春亚泰只能稳守反击，第22分钟埃尼奥的射门被张鹭扑住
25'顶住辽宁压力后，亚泰这段时间进攻有起色                   22'长春亚泰只能稳守反击，第22分钟埃尼奥的射门被张鹭扑住
46'下半场开始了                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
46'辽宁队后场传递，给张鹭，张鹭大脚开到前场                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
46'辽宁后场长传，没有威胁，直接出了底线                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
47'宋振瑜开门球                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
47'下半场双方都没有进行换人                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
47'在另一场保级大战中，申鑫1-0领先建业                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
47'金泰延右路拿球再次被放倒                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
48'亚泰左路进攻，转移到右路，但还是没能传进去                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
48'下半场辽宁队开始非常积极                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
49'下半场亚泰换上了曹添堡和西亚斯                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
49'辽宁队也换人了，用吴高俊换下了王亮                   46'随后场面有所平淡，宫磊指出“辽宁队第1分钟占据控球上的优势，但是在控制比赛、配合上打的更流畅的是长春亚泰
47'宋振瑜开门球                   47'”2分钟后辽宁队再度进球――胡延强右路下底低传门前，王万鹏准备解围时意外滑倒，邱卡跟进推射入网，2-0
47'下半场双方都没有进行换人                   47'”2分钟后辽宁队再度进球――胡延强右路下底低传门前，王万鹏准备解围时意外滑倒，邱卡跟进推射入网，2-0
47'在另一场保级大战中，申鑫1-0领先建业                   47'”2分钟后辽宁队再度进球――胡延强右路下底低传门前，王万鹏准备解围时意外滑倒，邱卡跟进推射入网，2-0
47'金泰延右路拿球再次被放倒                   47'”2分钟后辽宁队再度进球――胡延强右路下底低传门前，王万鹏准备解围时意外滑倒，邱卡跟进推射入网，2-0
48'亚泰左路进攻，转移到右路，但还是没能传进去                   47'”2分钟后辽宁队再度进球――胡延强右路下底低传门前，王万鹏准备解围时意外滑倒，邱卡跟进推射入网，2-0
48'下半场辽宁队开始非常积极                   47'”2分钟后辽宁队再度进球――胡延强右路下底低传门前，王万鹏准备解围时意外滑倒，邱卡跟进推射入网，2-0
49'下半场亚泰换上了曹添堡和西亚斯                   47'”2分钟后辽宁队再度进球――胡延强右路下底低传门前，王万鹏准备解围时意外滑倒，邱卡跟进推射入网，2-0
49'辽宁队也换人了，用吴高俊换下了王亮                   47'”2分钟后辽宁队再度进球――胡延强右路下底低传门前，王万鹏准备解围时意外滑倒，邱卡跟进推射入网，2-0
49'下半场亚泰换上了曹添堡和西亚斯                   49'第49分钟，老将王亮也被吴高俊换下
