2'辽宁队左路进攻，埃杜中路接球直接起脚射门，球高出横梁。                   2'第2分钟，贵州队左路进攻，张成林突破传中直接被辽宁队守门员张鹭没收了
2'今天辽宁外援特里夫诺维奇首发出场，赛前传言还是很多。                   2'第2分钟，贵州队左路进攻，张成林突破传中直接被辽宁队守门员张鹭没收了
3'金泰妍右路控球助攻，辽宁右路发起进攻。                   2'第2分钟，贵州队左路进攻，张成林突破传中直接被辽宁队守门员张鹭没收了
3'金泰妍右路起球，转移，詹姆斯控球，突破，对方后卫将球断下。                   2'第2分钟，贵州队左路进攻，张成林突破传中直接被辽宁队守门员张鹭没收了
3'詹姆斯中路控球，辽宁队开场进攻很主动。                   2'第2分钟，贵州队左路进攻，张成林突破传中直接被辽宁队守门员张鹭没收了
4'辽宁队间歇期这场比赛后，要连续4个客场，压力还是很大                   2'第2分钟，贵州队左路进攻，张成林突破传中直接被辽宁队守门员张鹭没收了
4'辽宁获得角球。                   2'第2分钟，贵州队左路进攻，张成林突破传中直接被辽宁队守门员张鹭没收了
5'肇俊哲发出左路角球，门前特里夫诺维奇门前无人盯防，垫射，高出横梁。                   2'第2分钟，贵州队左路进攻，张成林突破传中直接被辽宁队守门员张鹭没收了
5'今天辽宁队主场上座率还是很高。                   2'第2分钟，贵州队左路进攻，张成林突破传中直接被辽宁队守门员张鹭没收了
7'郑涛掷出后场边线球，辽宁后场控球。                   7'第7分钟，辽宁队詹姆斯左路拿球后连续摆脱，斜传球被对方后卫把球破坏出了底线，辽宁队再次获得角球机会，肇俊哲角球开向中路，第一点被贵州队顶出，张野挑传打到禁区内，贵州队后卫将球解围
7'詹姆斯左路得球，突破，转移到右路，于海将球解围出底线，角球。                   7'第7分钟，辽宁队詹姆斯左路拿球后连续摆脱，斜传球被对方后卫把球破坏出了底线，辽宁队再次获得角球机会，肇俊哲角球开向中路，第一点被贵州队顶出，张野挑传打到禁区内，贵州队后卫将球解围
8'肇俊哲发出角球，贵州后卫将球头球解围。                   7'第7分钟，辽宁队詹姆斯左路拿球后连续摆脱，斜传球被对方后卫把球破坏出了底线，辽宁队再次获得角球机会，肇俊哲角球开向中路，第一点被贵州队顶出，张野挑传打到禁区内，贵州队后卫将球解围
8'肇俊哲是辽宁场上队长。                   7'第7分钟，辽宁队詹姆斯左路拿球后连续摆脱，斜传球被对方后卫把球破坏出了底线，辽宁队再次获得角球机会，肇俊哲角球开向中路，第一点被贵州队顶出，张野挑传打到禁区内，贵州队后卫将球解围
8'孙继海后场断球，一路向前啊，前场没有机会，横传于海。                   7'第7分钟，辽宁队詹姆斯左路拿球后连续摆脱，斜传球被对方后卫把球破坏出了底线，辽宁队再次获得角球机会，肇俊哲角球开向中路，第一点被贵州队顶出，张野挑传打到禁区内，贵州队后卫将球解围
8'金泰妍右路边线控球，回传。                   7'第7分钟，辽宁队詹姆斯左路拿球后连续摆脱，斜传球被对方后卫把球破坏出了底线，辽宁队再次获得角球机会，肇俊哲角球开向中路，第一点被贵州队顶出，张野挑传打到禁区内，贵州队后卫将球解围
9'孙继海是贵州场上队长，刚才孙继海禁区内有一个无意手球，裁判没有判罚。                   7'第7分钟，辽宁队詹姆斯左路拿球后连续摆脱，斜传球被对方后卫把球破坏出了底线，辽宁队再次获得角球机会，肇俊哲角球开向中路，第一点被贵州队顶出，张野挑传打到禁区内，贵州队后卫将球解围
9'詹姆斯左路控球，连续晃动过人，弧顶前沿一脚远射，球偏出。                   7'第7分钟，辽宁队詹姆斯左路拿球后连续摆脱，斜传球被对方后卫把球破坏出了底线，辽宁队再次获得角球机会，肇俊哲角球开向中路，第一点被贵州队顶出，张野挑传打到禁区内，贵州队后卫将球解围
