1'裁判一声哨响，比赛正式开始！                   1'第1分钟毅腾队攻势占优
3'吉祥边路下底传中，第一点被对方后卫破坏                   1'第1分钟毅腾队攻势占优
4'休斯后场大脚传中找闫相闯，结果传大了                   1'第1分钟毅腾队攻势占优
4'毅腾获得前场定位球                   1'第1分钟毅腾队攻势占优
10'休斯大脚长传找罗德瑞格，门将出击将球拿到                   10'第10分钟里卡多带球前突，在禁区前沿被吴曦直接拉倒，刘小龙主罚任意球绕过人墙滑门而出
10'毅腾获得禁区前沿定位球                   10'第10分钟里卡多带球前突，在禁区前沿被吴曦直接拉倒，刘小龙主罚任意球绕过人墙滑门而出
11'直接起脚打门，球偏出右侧立柱出了底线                   10'第10分钟里卡多带球前突，在禁区前沿被吴曦直接拉倒，刘小龙主罚任意球绕过人墙滑门而出
13'任航中路背后推人被吹了犯规                   10'第10分钟里卡多带球前突，在禁区前沿被吴曦直接拉倒，刘小龙主罚任意球绕过人墙滑门而出
26'毅腾场面上还是暂时占据优势                   25'第25分钟阎相闯高速下底送出传中，韩德明包抄到位，尹信荣紧贴前锋将球顶出底线
26'闫相闯右路突破传中，韩德明头球被门将托出                   25'第25分钟阎相闯高速下底送出传中，韩德明包抄到位，尹信荣紧贴前锋将球顶出底线
26'毅腾获得角球                   25'第25分钟阎相闯高速下底送出传中，韩德明包抄到位，尹信荣紧贴前锋将球顶出底线
27'角球开到前点，头球后蹭给里卡多，里卡多头球，皮球窜进网窝                   25'第25分钟阎相闯高速下底送出传中，韩德明包抄到位，尹信荣紧贴前锋将球顶出底线
31'埃利亚斯和韩芳腾撞在一块，韩方藤痛苦倒地                   30'第30分钟毅腾队卷土重来，韩德明包抄抢点头球攻门被邓小飞下意识扑出，外围跟进的阎相闯外脚背抽射，皮球擦着横梁飞出底线
31'队医赶紧进场                   30'第30分钟毅腾队卷土重来，韩德明包抄抢点头球攻门被邓小飞下意识扑出，外围跟进的阎相闯外脚背抽射，皮球擦着横梁飞出底线
33'好在韩方藤没有什么大碍                   30'第30分钟毅腾队卷土重来，韩德明包抄抢点头球攻门被邓小飞下意识扑出，外围跟进的阎相闯外脚背抽射，皮球擦着横梁飞出底线
34'吴曦抬脚过高，蹬在了对方的肚子上，领到了一张黄牌                   34'”第34分钟吴曦蹬踏踹倒亚当休斯被出示黄牌
37'舜天中场传球出现失误，中场组织不起来                   34'”第34分钟吴曦蹬踏踹倒亚当休斯被出示黄牌
41'罗德瑞格外围远射，被门将扑出                   41'第41分钟罗德瑞格禁区内大力抽射又被邓小飞横身扑出
