1'上半场比赛开始！！                   1'做客的曼联第1分钟展开积极攻势，但拉什福德和费莱尼先后跌入越位陷阱
2'曼联首先开球！！                   1'做客的曼联第1分钟展开积极攻势，但拉什福德和费莱尼先后跌入越位陷阱
4'曼联后场拿球给到边路                   1'做客的曼联第1分钟展开积极攻势，但拉什福德和费莱尼先后跌入越位陷阱
4'没什么机会将球回敲                   1'做客的曼联第1分钟展开积极攻势，但拉什福德和费莱尼先后跌入越位陷阱
4'曼联后场横向转移                   1'做客的曼联第1分钟展开积极攻势，但拉什福德和费莱尼先后跌入越位陷阱
27'弗雷泽底线接球                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
27'想扣过防守                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
27'没有成功                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
27'拉什福德这边前场抢断                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
27'右路拿球到了禁区里                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
27'直接选择了打门                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
27'贝戈维奇将球扑出底线                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
27'曼联的角球机会                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
28'角球送禁区                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
28'落点并不是很理想                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
28'0-1！！！                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
28'林加德！！！                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
29'曼联前场右路送直塞到禁区，林加德前插后横敲到中路，斯莫林跟进铲射破门！！！                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
29'进球的是斯莫林！！！                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
30'而林加德这次助攻确实非常的关键！！                   27'第27分钟，拉什福德边路铲断阿克后突入禁区右侧劲射，贝戈维奇奋力扑出
56'伯恩茅斯左路进攻上来                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
56'边路传球给到禁区                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
56'威尔逊这边门前准备垫射                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
56'但似乎曼联这边防守球员有拉人的动作啊                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
56'裁判这边并没有吹                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
57'伯恩茅斯这边换人                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
57'埃比下，穆塞特上！                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
57'伯恩茅斯这段时间攻势很猛                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
58'伯恩茅斯右路断抢下来                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
58'边路的传球被挡了一下                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
59'底线伯恩茅斯再传                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
59'威尔逊的打门将球打偏                   56'第56分钟，约书亚-金反击中左路传中，小禁区边缘内抢点的威尔逊在卢克-肖防守下摔倒，裁判拒绝判罚点球
70'威尔逊禁区前沿停球失误                   70'曼联第70分钟扩大比分，博格巴反击中直传，卢卡库禁区左肋12码处单刀推射远角入网，2-0
70'0-2！！！                   70'曼联第70分钟扩大比分，博格巴反击中直传，卢卡库禁区左肋12码处单刀推射远角入网，2-0
70'卢卡库！！！                   70'曼联第70分钟扩大比分，博格巴反击中直传，卢卡库禁区左肋12码处单刀推射远角入网，2-0
71'博格巴中场带球往前走，前场突然送直塞到禁区里，卢卡库前插不做调整直接接球后推射远角得分！！                   70'曼联第70分钟扩大比分，博格巴反击中直传，卢卡库禁区左肋12码处单刀推射远角入网，2-0
71'曼联这边继续换人                   70'曼联第70分钟扩大比分，博格巴反击中直传，卢卡库禁区左肋12码处单刀推射远角入网，2-0
72'埃雷拉下，马蒂奇上！                   70'曼联第70分钟扩大比分，博格巴反击中直传，卢卡库禁区左肋12码处单刀推射远角入网，2-0
73'曼联后场拿球控一下                   70'曼联第70分钟扩大比分，博格巴反击中直传，卢卡库禁区左肋12码处单刀推射远角入网，2-0
