8'尤文图斯球员莫拉塔大禁区右侧左脚射门,被防守球员封堵.给他传球的是利希施泰纳.                   8'开场8分钟，莫拉塔右路突至禁区边缘抽射，托内利顶出左上角
8'Lorenzo Tonelli将球处理出底线,尤文图斯获得角球.                   8'开场8分钟，莫拉塔右路突至禁区边缘抽射，托内利顶出左上角
9'比坦特为恩波利赢得一个任意球.                   8'开场8分钟，莫拉塔右路突至禁区边缘抽射，托内利顶出左上角
9'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   8'开场8分钟，莫拉塔右路突至禁区边缘抽射，托内利顶出左上角
10'恩波利球员Manuel Pucciarelli大禁区外右脚射门,被防守球员封堵.给他传球的是马卡罗内.                   8'开场8分钟，莫拉塔右路突至禁区边缘抽射，托内利顶出左上角
10'博格巴将球处理出底线,恩波利获得角球.                   8'开场8分钟，莫拉塔右路突至禁区边缘抽射，托内利顶出左上角
10'恩波利球员安德烈-科斯塔拼抢犯规,对手获得控球权.                   8'开场8分钟，莫拉塔右路突至禁区边缘抽射，托内利顶出左上角
10'巴尔扎利为尤文图斯赢得一个任意球.                   8'开场8分钟，莫拉塔右路突至禁区边缘抽射，托内利顶出左上角
11'鲁伊将球处理出底线,尤文图斯获得角球.                   8'开场8分钟，莫拉塔右路突至禁区边缘抽射，托内利顶出左上角
23'马卡罗内为恩波利赢得一个任意球.                   23'尤文第23分钟错过进球，莫拉塔左路内切距门24米处弧线球击中远立柱与横梁交界处
23'尤文图斯球员莫拉塔拼抢犯规,对手获得控球权.                   23'尤文第23分钟错过进球，莫拉塔左路内切距门24米处弧线球击中远立柱与横梁交界处
24'射门!!!恩波利球员Manuel Pucciarelli大禁区外右脚射门,被对方守门员横身扑出.给他传球的是布切尔.                   23'尤文第23分钟错过进球，莫拉塔左路内切距门24米处弧线球击中远立柱与横梁交界处
24'布冯将球处理出底线,恩波利获得角球.                   23'尤文第23分钟错过进球，莫拉塔左路内切距门24米处弧线球击中远立柱与横梁交界处
44'进球啦！！！尤文图斯球员曼祖基奇大禁区中央头球,球从右下角飞进球门,球进了!助攻的是博格巴. 尤文图斯 1-0 恩波利.                   44'尤文第44分钟取得领先
45'+1'尤文图斯球员利希施泰纳拼抢犯规,对手获得控球权.                   44'尤文第44分钟取得领先
45'+1'鲁伊为恩波利在左路,赢得一个任意球.                   44'尤文第44分钟取得领先
45'+1'黄牌！尤文图斯球员利希施泰纳因为恶意犯规,被主裁判出示黄牌.                   44'尤文第44分钟取得领先
45'+2'上半场结束,尤文图斯 1-0 恩波利,稍事休息,我们一会来看看下半场两队的表现.                   44'尤文第44分钟取得领先
46'尤文图斯球员曼祖基奇拼抢犯规,对手获得控球权.                   44'尤文第44分钟取得领先
46'鲁伊为恩波利赢得一个任意球.                   44'尤文第44分钟取得领先
49'鲁加尼为尤文图斯赢得一个任意球.                   49'补时第4分钟，莫拉塔突入禁区左侧回传，扎扎在门前14米处左脚推射被斯科鲁普斯基托出
49'恩波利球员马卡罗内拼抢犯规,对手获得控球权.                   49'补时第4分钟，莫拉塔突入禁区左侧回传，扎扎在门前14米处左脚推射被斯科鲁普斯基托出
51'射门!!!尤文图斯球员莫拉塔小禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是曼祖基奇.                   49'补时第4分钟，莫拉塔突入禁区左侧回传，扎扎在门前14米处左脚推射被斯科鲁普斯基托出
52'尤文图斯球员莫拉塔拼抢犯规,对手获得控球权.                   49'补时第4分钟，莫拉塔突入禁区左侧回传，扎扎在门前14米处左脚推射被斯科鲁普斯基托出
52'鲁伊为恩波利赢得一个任意球.                   49'补时第4分钟，莫拉塔突入禁区左侧回传，扎扎在门前14米处左脚推射被斯科鲁普斯基托出
