5'毕津浩争顶时犯规                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
5'郑智过顶长传到禁区，戈麦斯奋力抢在王军辉之前将球勾出来                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
5'建业的反击，梅方飞铲铲倒了伊沃，动作相当难看                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
6'主裁判给了黄牌算是轻判了                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
6'这球放在亚洲赛场绝对是红牌无疑                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
7'伊沃经过队医的治疗后艰难地站起来，他也向裁判投诉两句                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
7'比赛继续，徐洋护球回传给戈麦斯                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
7'戈麦斯传球被王军辉断球，人球分过被伊沃拦截出边线                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
7'但裁判最后判是郑智触球出界                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
8'郑智与助理裁判理论，不明智的做法呀                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
8'恒大淘宝将球权抢回                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
8'冯潇霆长传上来，戈麦斯顶到第一点                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
8'郑智争第二点蹬踏李智超犯规                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
11'黄博文发前点，邹正后蹭被后卫挡出来                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
11'建业的机会，单刀了                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
11'扎哈拉带球突进，郑龙在回追将对方绊倒，红牌！                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
12'这是郑智中场头球回传给于汉超顶小了，扎哈拉得球形成单刀，郑智背后的拉人犯规，红牌不可避免了！                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
