1'裁判哨响！                   1'曼城第1分钟试图控制比赛
1'上半场开始了！                   1'曼城第1分钟试图控制比赛
1'曼城中圈开球！                   1'曼城第1分钟试图控制比赛
1'伯纳多-席尔瓦右侧突破横传！                   1'曼城第1分钟试图控制比赛
1'球被解围了！                   1'曼城第1分钟试图控制比赛
2'沃克右侧突破传中！                   1'曼城第1分钟试图控制比赛
2'被挡出底线！                   1'曼城第1分钟试图控制比赛
2'战术角球给出来！                   1'曼城第1分钟试图控制比赛
2'曼城左侧传中！                   1'曼城第1分钟试图控制比赛
2'斯特林越位了！                   1'曼城第1分钟试图控制比赛
4'麦迪逊推进中场！                   1'曼城第1分钟试图控制比赛
4'被放倒犯规！                   1'曼城第1分钟试图控制比赛
4'莱斯特城任意球短传！                   1'曼城第1分钟试图控制比赛
11'大卫-席尔瓦中路吊禁区！                   11'第11分钟，沃克尔斜传，福登14码处胸部停球后左脚扫射被没收
12'福登得球凌空扫射！                   11'第11分钟，沃克尔斜传，福登14码处胸部停球后左脚扫射被没收
12'球被舒梅切尔没收了！                   11'第11分钟，沃克尔斜传，福登14码处胸部停球后左脚扫射被没收
13'阿尔布莱顿右侧分中圈！                   11'第11分钟，沃克尔斜传，福登14码处胸部停球后左脚扫射被没收
13'瓦尔迪被孔帕尼绊倒犯规！                   11'第11分钟，沃克尔斜传，福登14码处胸部停球后左脚扫射被没收
14'马奎尔长传前场左侧！                   11'第11分钟，沃克尔斜传，福登14码处胸部停球后左脚扫射被没收
14'出界了！                   11'第11分钟，沃克尔斜传，福登14码处胸部停球后左脚扫射被没收
14'瓦尔迪左侧横传中路蒂勒曼斯！                   11'第11分钟，沃克尔斜传，福登14码处胸部停球后左脚扫射被没收
32'中路挑传禁区！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
32'佩雷拉破坏出底线！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
32'左侧角球给前点！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
32'阿圭罗头球后蹭攻门！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
32'舒梅切尔挡了一下！球打中横梁弹出！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
33'京多安中路长传禁区！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
33'被解围出去！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
34'斯特林左侧突破禁区！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
34'恩迪迪铲球解围！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
35'曼城左侧长传禁区！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
35'后大卫-席尔瓦禁区线上远射！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
35'偏出右侧底线！                   32'第32分钟，贝纳尔多连过3人切入禁区右侧受阻，福登外围劲射被佩雷拉挡出，京多安开出角球，阿圭罗前点头球攻门被舒梅切尔在门线上拍出，回放显示皮球并未完全过线
70'京多安中路直塞禁区！                   69'第69分钟，阿圭罗小禁区边缘捅射被舒梅切尔神勇救出
70'阿圭罗插上右脚推射！                   69'第69分钟，阿圭罗小禁区边缘捅射被舒梅切尔神勇救出
70'挡出底线！                   69'第69分钟，阿圭罗小禁区边缘捅射被舒梅切尔神勇救出
70'曼城左侧角球给前点！                   69'第69分钟，阿圭罗小禁区边缘捅射被舒梅切尔神勇救出
70'被解围了！                   69'第69分钟，阿圭罗小禁区边缘捅射被舒梅切尔神勇救出
70'拉波尔特横传身边孔帕尼！                   69'第69分钟，阿圭罗小禁区边缘捅射被舒梅切尔神勇救出
71'中路突然起脚远射！                   69'第69分钟，阿圭罗小禁区边缘捅射被舒梅切尔神勇救出
71'打右上角！！                   69'第69分钟，阿圭罗小禁区边缘捅射被舒梅切尔神勇救出
71'球进了！！！                   69'第69分钟，阿圭罗小禁区边缘捅射被舒梅切尔神勇救出
71'曼城取得领先！！                   69'第69分钟，阿圭罗小禁区边缘捅射被舒梅切尔神勇救出
87'乔杜里左侧内切突破！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
